clean_name,C2_EAV_pct,burden_C2_neg10,burden_C2_nochange,burden_C2_plus10,burden_C2_plus20,burden_C2_plus30,burden_C2_plus40,C2_av,C2_eav_original,C2_DistrictRev,C2_current_nonTIF_EAV_post_exemps,C2_current_TIF_increment_EAV,C2_current_Exempt_EAV,C2_current_GHE,C2_Total_EAV,C2_exe_neg10,C2_exe_0,C2_exe_plus10,C2_exe_plus20,C2_exe_plus30,C2_exe_plus40,C2_PC_permuni,agency_num,MuniLevy,current_nonTIF_EAV_post_exemps,current_TIF_increment_EAV,current_Exempt_EAV,Total_EAV,cur_muni_comp_rate,tr_neg10,tr_nochange,tr_plus10,tr_plus20,tr_plus30,tr_plus40,tax_rate_current,taxrate_noexemps,taxrate_noTIFs,taxrate_noTIFs_orExemps,C2_neg10_taxableEAV,C2_nochange,C2_plus10_taxableEAV,C2_plus20_taxableEAV,C2_plus30_taxableEAV,C2_plus40_taxableEAV,burden_C2_noexemps
Alsip,0.37981300375738763,0.3655095276059194,0.32140240230495293,0.27129983158763177,0.219394219099389,0.1636107645936085,0.11417515953871589,90145642,270680457,26425669.63,205466034.1733957,187943.37446975862,65022693.59940674,44440053,270676671.1472722,0,44929996,88394423,127979995,165045374,193991257,5852,030010000,82505440.33,639279708.8630517,3196718.2760156062,70191265.44183755,712667692.5809048,0.12906000172715407,0.12067142845949472,0.12906000172715407,0.13858882688845117,0.14846056598705024,0.159069817713429,0.16847179510833646,0.12906000172715407,0.11629149509722433,0.1284178482584876,0.11576986187097804,249906087.17339572,205466034.17339572,161511664.17339572,121926092.17339572,84860713.17339572,55914830.17339572,0.38125411407819226
Arlington Heights,0.6840836504892623,0.6798129082671782,0.6573385491927143,0.6326756190418581,0.6042404636602275,0.5732120032164785,0.5390841585567346,796346019,2391188050,209178270.8,2055918583.1053326,2609659.6690487973,332659817.6005157,221426314,2391188060.374897,0,215426634,429921386,639738635,836789034,1022881740,27767,030020000,319606289.91,3127640369.837174,34173673.47607394,333647437.58868927,3495461480.901937,0.10218767253174918,0.09540605014214966,0.10218767253174918,0.10945357472337149,0.11792764675659374,0.12717463194032488,0.13734535517419363,0.10218767253174918,0.09233739223427627,0.1010832027221583,0.09143464794454886,2277344897.1053324,2055918583.1053324,1847423511.1053324,1637606262.1053324,1440555863.1053324,1254463157.1053324,0.6900837299866774
Barrington,0.653647553431553,0.6719894382801652,0.6583263709720394,0.6432248157918973,0.6269171078962817,0.60917694070283,0.5901834966804975,82393703,247403569,18644697.19,226343003.74689212,1378280.6993615744,19682271.63700582,14321424,247403556.08325952,0,14445134,28874435,43266736,57559278,71489928,2160,030030000,28298165.78,343815793.69620216,14998829.057611395,19682271.63700582,378496894.3908194,0.08230618342391927,0.07901487022776993,0.08230618342391927,0.0859440157441347,0.08987239968496966,0.09414585051917419,0.09872120476000763,0.08230618342391927,0.07784956366703054,0.07886569828960306,0.0747645917294649,240664427.74689215,226343003.74689215,211789992.74689215,197397691.74689215,183105149.74689215,169174499.74689215,0.6768269183451466
Barrington Hills,0.9687812484435866,0.967218351064978,0.9663053235304636,0.9653157099411258,0.9642790923504413,0.9631800533804913,0.962011805043888,67840811,203705599,17634943.42,196058570.1595108,0,7374911.451533616,5650990,203433481.6110444,0,5720000,11440000,17160000,22872684,28582684,1032,030040000,18247263.55,202895053.33903906,0,7374911.451533616,210269964.79057267,0.08993449199330009,0.08749752936014672,0.08993449199330009,0.09257587053590825,0.09534270750179573,0.0982761534285624,0.10139432613959691,0.08993449199330009,0.08678017123450865,0.08993449199330009,0.08678017123450865,201709560.1595108,196058570.1595108,190269560.1595108,184549560.1595108,178836876.1595108,173126876.1595108,0.96748711502217
Bartlett,0.832961665202147,0.8368499407717972,0.8196770067110987,0.798327952741568,0.7721470968647246,0.7405819070325317,0.7001011679324298,122238370,367045264,39305780.6,315228873.39083165,0,51777030.01310489,40480000,367005903.40393656,0,40626093,81191412,120702402,157735319,193818743,5439,030050000,48906288.83,384576938.0010637,4296879.8383838385,51777030.01310489,440650847.8525525,0.12716906292978164,0.11505820622525072,0.12716906292978164,0.14222504186083693,0.16068854919194986,0.18294924672667567,0.2114974510580963,0.12716906292978164,0.11207939520424388,0.12576390229025833,0.11098648526001402,355708873.39083165,315228873.39083165,274517461.39083165,235006471.39083165,197973554.39083165,161890130.39083165,0.8410738306658866
Bedford Park,0.018836826752028003,0.020853828003988894,0.01721137008608284,0.013194430736950074,0.00958836178026639,0.006431128634942314,0.004397552996054143,3472961,10428255,1163001.16,8004137.370956643,0,2424117.872020402,1730000,10428255.242977044,0,1817080,3623053,5309396,6775795,7715379,235,030060000,61689669.73,465049402.2802292,85270381.95180146,3290180.8262972175,553609965.0583279,0.1326518632805963,0.13216022264188265,0.1326518632805963,0.1331940495382805,0.13368077857813956,0.13410692601899385,0.13438140782455174,0.1326518632805963,0.13171995696116154,0.11209785927665258,0.11143164614730232,9734137.37095664,8004137.370956642,6111084.370956641,4424741.370956641,2958342.3709566407,2018758.3709566407,0.02226644003439931
Bellwood,0.7060529183860478,0.7163661642288017,0.6660649406237367,0.5911804115182978,0.4805715254658512,0.30793283761640483,0.09723908322397586,88055589,264404518,29212619.82,168396772.0685444,14519534.162212411,81488183.66090347,44837119,264404489.89166027,0,45839506,91147419,135123019,175668582,204140051,5890,030070000,43823561.59,252823353.69708726,40171041.94271801,81488183.66090347,374482579.3007088,0.17333668329748483,0.14722667471739465,0.17333668329748483,0.212207222766074,0.2696213124617525,0.3592333993643591,0.4685988449875103,0.17333668329748483,0.13108599821690398,0.14957133051744376,0.11702429969328365,213233891.0685444,168396772.0685444,122086472.06854439,78110872.06854439,37565309.06854439,9093840.068544388,0.7474613580621466
Berkeley,0.7082865201254195,0.7198612407313535,0.681673372867558,0.6305305284304352,0.5610014133999253,0.4604542197294176,0.30445321166104194,32125998,96464723,10597765.6,73059103.0021165,128085.97674018085,23277520.47710721,14610000,96464709.45596388,0,14736095,29445573,44070577,58553276,72735480,1778,030090000,15594888.9,107176113.82528082,5740857.981495263,23277520.47710721,136194492.2838833,0.14550713161164705,0.12805145357025716,0.14550713161164705,0.1688845306798383,0.2006662957892223,0.24662642760222728,0.31793450326349,0.14550713161164705,0.11954353731419597,0.13810934397608562,0.11450454888802751,87669103.00211649,73059103.00211649,58223530.00211649,43598526.00211649,29115827.002116486,14933623.002116486,0.7384740486103897
Berwyn,0.8002686590908215,0.8141245243078181,0.7895801554538817,0.7568906160771183,0.7138272191547866,0.6546364611403832,0.573897654260519,266025190,798793788,87681479.67,629961142.3968612,2993622.194736187,165838982.95543912,105396898,798793747.5470365,0,106589652,212709477,316644243,417194564,509299318,14081,030100000,111162471.85,797843180.3858277,34464866.7088704,165848982.95506424,998157030.0497622,0.139328723466989,0.12306942950799991,0.139328723466989,0.16098357040601616,0.1895108273201904,0.22872206454247615,0.282209335521759,0.139328723466989,0.11535060269103581,0.1335592900225224,0.11136771920993041,735358040.3968612,629961142.3968612,522648563.3968612,418713797.3968612,318163476.3968612,226058722.3968612,0.8257825015339445
Blue Island,0.6320973086080109,0.6518313864105343,0.5988805785940524,0.520135688526004,0.4384308482418157,0.3760305434466583,0.3479462719166724,66584109,199932064,22328698.93,145977892.7775391,1578709.5806458346,52375463.32655868,37108062,199932065.6847436,0,39744024,77128893,106783115,124199725,130955218,6107,030110000,37498994.62,243751255.2506555,20093100.541020773,52455146.321828164,316299502.1135044,0.1538412369669188,0.13350571692872654,0.1538412369669188,0.18407990046625866,0.21546663358001855,0.23945780497294383,0.25028680170647466,0.1538412369669188,0.1265975158569412,0.14212543795937063,0.1185553387515085,183085954.7775391,145977892.7775391,105957061.7775391,76302839.7775391,58886229.777539104,52130736.777539104,0.6696457438161052
Bridgeview,0.4015546431239947,0.38679102756823114,0.3454325443268595,0.29967497623438727,0.24867009708643592,0.19339543424461494,0.13834675741535085,78980751,237155501,22506646.44,173182044.51730123,10150083.784236185,53838049.57860368,33813935,237170177.8801411,0,33370826,66570843,98381704,128313224,154305703,4316,030120000,65534363.03,501348374.2673382,35172637.94121815,54072335.57342801,590593347.7819843,0.13071621729255786,0.12245698528306219,0.13071621729255786,0.13985394047404975,0.15003954442960832,0.16107781829455942,0.1720709630647679,0.13071621729255786,0.11799049237610905,0.12214687130375707,0.11096359834752458,206995979.51730123,173182044.51730123,140425136.51730123,108614275.51730123,78682755.51730123,52690276.51730123,0.40873537855833536
Broadview,0.3809526954379768,0.359372131554243,0.31688520700077516,0.2671552598560027,0.21295242860034738,0.1524701353996967,0.09321264307973638,42579999,127854968,11427104.56,92783929.56058021,743087.2129642749,34364465.38358643,19418705,127891482.15713091,0,19788441,39287742,58084091,76219892,91642126,2613,030130000,35666753.81,292799813.65729463,8454734.897336807,34364465.38358643,335619013.9382179,0.12181276130095454,0.11423650961956379,0.12181276130095454,0.13068058592301934,0.1403460134810909,0.15113119222423893,0.16169796495590874,0.12181276130095454,0.10901787296144036,0.11839407564507515,0.10627155294772925,112202634.5605802,92783929.5605802,72914892.5605802,54118543.560580194,35982742.560580194,20560508.560580194,0.3886377672920664
Brookfield,0.8974455471774028,0.900770065563017,0.8885138156976935,0.8690499705681752,0.8448583450114525,0.8136043258510104,0.771341428598816,152321360,457375308,47437410.1,377685030.09310955,941744.3947164153,78748508.45724927,52502561,457375282.9450753,0,58034594,115683871,172114861,223333527,270325382,8023,030140000,53101216.84,425075022.3805327,5817760.980437139,78748508.45724927,509641291.81821907,0.12492198798842409,0.1111886710932349,0.12492198798842409,0.14673152647693385,0.17383861580939078,0.20885922603642798,0.2562154538590481,0.12492198798842409,0.1053964604465789,0.12323533577380842,0.10419331732433557,430187591.09310955,377685030.09310955,314503720.09310955,258072730.09310955,206854064.09310955,159862209.09310955,0.9059393033735033
Buffalo Grove,0.8277760108864418,0.8174714534204184,0.7947103695305084,0.7657108291162948,0.7296046699370885,0.6856366895138748,0.6360916103545899,116539439,349932819,33143192.12,281527297.87323594,0,68405458.82807945,44174717,349932756.7013154,0,44330006,88022792,129471265,167088262,198584251,5962,030150000,41682124.78,354251446.3974517,81630.8009802562,68405458.82807945,422738536.02651143,0.11766253943035374,0.1046169368611966,0.11766253943035374,0.1342837372942986,0.1549781209725494,0.18017853766377753,0.2085754898957398,0.11766253943035374,0.09861929206564904,0.11763543248506086,0.09860024868276018,325702014.87323594,281527297.87323594,237679222.87323594,196230749.87323594,158613752.87323594,127117763.87323594,0.8279357378878979
Burbank,0.7843034055661239,0.7826671095494228,0.7522016407031142,0.705480551318103,0.646623377157167,0.5670076337070172,0.46260841759154775,163539734,491060748,46418400.66,377723172.430629,805127.5124094719,112532454.82473773,70391750,491060754.76777625,0,75236290,150051389,220421039,285167894,340997417,9319,030160000,61709566.75,502156804.7598985,11421432.419236716,112532454.82473773,626110692.0038729,0.12288903817504941,0.10778049518591182,0.12288903817504941,0.14605912595652543,0.1752477837945424,0.2147311046847278,0.26650513293520633,0.12288903817504941,0.1003914836444336,0.12015611698997249,0.09856015483859248,448114922.4306291,377723172.4306291,298063533.4306291,227693883.43062907,162947028.43062907,107117505.43062907,0.797566607210035
