clean_name,rank,has_HO_exemp,median_AV,median_EAV,mean_bill_neg10,mean_bill_cur,mean_bill_plus10,mean_bill_plus20,mean_bill_plus30,mean_bill_plus40,tr_neg10,cur_comp_TC_rate,tr_plus10,tr_plus20,tr_plus30,tr_plus40,pincount,zerodol_bills_ghe0,zerodol_bills_current,zerodol_bills_ghe20,zerodol_bills_ghe30,zerodol_bills_ghe40,zerodol_bills_ghe50,agency_name,count_pins,min,quant25,quant50,quant75,max
Alsip,q25,0,15357,46112,5569,5950,6396,6851,6851,6851,12.07,12.89,13.86,14.85,15.91,16.85,122,0,0,0,0,0,0,VILLAGE OF ALSIP,4059,2543,15404,17039,19531,42034
Arlington Heights,q25,0,28145,84511,8052,8567,9238,9953,9953,9953,9.54,10.15,10.95,11.79,12.72,13.73,225,0,0,0,0,0,0,VILLAGE OF ARLINGTON HEIGHTS,18469,648,28041,32235,38890,172325
Barrington,q25,0,31281,93928,7386,7687,8034,8401,8401,8401,7.9,8.22,8.59,8.99,9.41,9.87,10,0,0,0,0,0,0,VILLAGE OF BARRINGTON,1754,6428,31082,39640,49739,124636
Barrington Hills,q25,0,51888,155802,13648,14225,14440,14872,14872,14872,8.75,9.12,9.26,9.53,9.83,10.14,6,0,0,0,0,0,0,VILLAGE OF BARRINGTON HILLS,824,10885,51822,67567,88905,533986
Bartlett,q25,0,23074,69282,7975,8604,9858,11138,11138,11138,11.51,12.41,14.22,16.07,18.29,21.15,30,0,0,0,0,0,0,VILLAGE OF BARTLETT,3347,0,22985,25899,30070,71576
Bedford Park,q25,0,13245,39771,5308,5639,5350,5369,5369,5369,13.22,14.04,13.32,13.37,13.41,13.44,5,0,0,0,0,0,0,VILLAGE OF BEDFORD PARK,209,2358,13413,14852,16588,42031
Bellwood,q25,0,14562,43725,6417,7537,9250,11752,11752,11752,14.72,17.29,21.22,26.96,35.92,46.86,142,0,0,0,0,0,0,VILLAGE OF BELLWOOD,4914,2578,14492,15794,17326,44438
Berkeley,q25,0,17449,52394,6679,7516,8809,10467,10467,10467,12.81,14.41,16.89,20.07,24.66,31.79,63,0,0,0,0,0,0,VILLAGE OF BERKELEY,1689,2030,17315,18034,18790,37964
Berwyn,q25,0,16877,50677,6251,7107,8177,9626,9626,9626,12.31,13.99,16.1,18.95,22.87,28.22,163,0,0,0,0,0,0,CITY OF BERWYN,9858,2447,16925,18746,20147,62249
Blue Island,q25,0,8314,24964,3322,3781,4581,5362,5362,5362,13.35,15.2,18.41,21.55,23.95,25.03,115,0,0,0,0,0,0,CITY OF BLUE ISLAND,4098,1563,8245,10662,12949,61940
Bridgeview,q25,0,16544,49678,6073,6479,6936,7441,7441,7441,12.25,13.06,13.99,15,16.11,17.21,112,0,0,0,0,0,0,VILLAGE OF BRIDGEVIEW,3156,0,16545,18031,20518,86234
Broadview,q25,0,15576,46770,5342,5681,6110,6562,6562,6562,11.42,12.15,13.07,14.03,15.11,16.17,83,0,0,0,0,0,0,VILLAGE OF BROADVIEW,2270,0,15506,16956,17965,30350
Brookfield,q25,0,18871,56664,6310,6672,8327,9866,9866,9866,11.12,11.75,14.67,17.38,20.89,25.62,65,0,0,0,0,0,0,VILLAGE OF BROOKFIELD,6019,2559,18959,21413,23612,68132
Buffalo Grove,q25,0,22984,69014,7227,8130,9276,10706,10706,10706,10.46,11.77,13.43,15.5,18.02,20.86,67,0,0,0,0,0,0,VILLAGE OF BUFFALO GROVE,3080,3512,23034,26464,29748,52062
Burbank,q25,0,15285,45896,4943,5636,6698,8037,8037,8037,10.78,12.29,14.61,17.52,21.47,26.65,111,0,0,0,0,0,0,CITY OF BURBANK,8431,964,15233,17322,19900,79380
Burnham,q25,0,5964,17906,3660,4307,5326,6242,6242,6242,20.24,23.82,29.46,34.52,35.49,35.62,48,0,0,0,0,0,0,VILLAGE OF BURNHAM,986,903,6209,9198,9691,19961
Burr Ridge,q25,0,53339,160161,11308,11643,11995,12371,12371,12371,7.06,7.26,7.48,7.72,7.97,8.23,5,0,0,0,0,0,0,VILLAGE OF BURR RIDGE,1145,15915,53373,68838,94065,340699
Calumet City,q25,0,6843,20547,4395,5409,6697,7757,7757,7757,21.47,26.41,32.71,37.89,40.62,41.23,914,0,0,0,0,0,0,CITY OF CALUMET CITY,8791,810,6792,7541,11086,27618
Calumet Park,q25,0,7003,21028,3521,4323,5584,6308,6308,6308,16.8,20.63,26.64,30.1,30.49,30.57,143,0,0,0,0,0,0,VILLAGE OF CALUMET PARK,2051,1118,6868,7541,8163,20651
Chicago,q25,0,12999,39032,2524,2628,2737,2850,2850,2850,6.46,6.73,7.01,7.3,7.59,7.87,8311,1,1,1,1,1,1,CITY OF CHICAGO,278358,0,13000,20999,32000,2798999
Chicago Heights,q25,0,5408,16238,2963,3379,4025,4552,4552,4552,18.27,20.84,24.82,28.07,29.64,30.07,340,0,0,0,0,0,0,CITY OF CHICAGO HEIGHTS,7527,882,5381,8665,11250,33074
Chicago Ridge,q25,0,15700,47140,5398,5861,6412,6927,6927,6927,11.49,12.48,13.65,14.75,15.77,16.71,32,0,0,0,0,0,0,VILLAGE OF CHICAGO RIDGE,1964,1484,15604,16840,18236,37434
Cicero,q25,0,12696,38122,4774,5479,6441,7747,7747,7747,12.53,14.38,16.9,20.33,24.85,29.64,164,0,0,0,0,0,0,TOWN CICERO,8296,1767,12684,15687,16992,39774
Country Club Hills,q25,0,9399,28222,5724,6939,8708,11052,11052,11052,20.25,24.55,30.8,39.09,45.78,49.58,379,0,0,0,0,0,0,CITY OF COUNTRY CLUB HILLS,4744,965,9436,11110,13958,42237
