clean_name,rank,has_HO_exemp,median_AV,median_EAV,mean_bill_neg10,mean_bill_cur,mean_bill_plus10,mean_bill_plus20,mean_bill_plus30,mean_bill_plus40,tr_neg10,cur_comp_TC_rate,tr_plus10,tr_plus20,tr_plus30,tr_plus40,pincount,zerodol_bills_ghe0,zerodol_bills_current,zerodol_bills_ghe20,zerodol_bills_ghe30,zerodol_bills_ghe40,zerodol_bills_ghe50,agency_name,count_pins,min,quant10,quant25,quant50,quant75,quant90,quant99,max
Alsip,q10,0,14269,42846,5167,5488,5934,6356,6356,6356,12.07,12.82,13.86,14.85,15.91,16.85,78,0,0,0,0,0,0,VILLAGE OF ALSIP,4059,2543,14213,15404,17039,19531,22910,31532,42034
Arlington Heights,q10,0,24460,73448,7012,7395,8044,8667,8667,8667,9.54,10.06,10.95,11.79,12.72,13.73,136,0,0,0,0,0,0,VILLAGE OF ARLINGTON HEIGHTS,18469,648,24496,28041,32235,38890,47297,74844,172325
Barrington,q10,0,25840,77590,6136,6382,6674,6979,6979,6979,7.9,8.22,8.59,8.99,9.41,9.87,21,0,0,0,0,0,0,VILLAGE OF BARRINGTON,1754,6428,26004,31082,39640,49739,65500,87221,124636
Barrington Hills,q10,0,43154,129579,11338,11553,11996,12354,12354,12354,8.75,8.92,9.26,9.53,9.83,10.14,1,0,0,0,0,0,0,VILLAGE OF BARRINGTON HILLS,824,10885,43023,51822,67567,88905,129106,275515,533986
Bartlett,q10,0,19596,58841,6753,7302,8348,9432,9432,9432,11.51,12.44,14.22,16.07,18.29,21.15,81,0,0,0,0,0,0,VILLAGE OF BARTLETT,3347,0,19628,22985,25899,30070,35361,45321,71576
Bedford Park,q10,0,8719,26180,3527,3474,3555,3568,3568,3568,13.22,13.01,13.32,13.37,13.41,13.44,10,0,0,0,0,0,0,VILLAGE OF BEDFORD PARK,209,2358,8994,13413,14852,16588,22889,36472,42031
Bellwood,q10,0,12705,38149,5611,6576,8087,10275,10275,10275,14.72,17.25,21.22,26.96,35.92,46.86,37,0,0,0,0,0,0,VILLAGE OF BELLWOOD,4914,2578,12597,14492,15794,17326,18199,23673,44438
Berkeley,q10,0,16684,50097,6402,7348,8444,10033,10033,10033,12.81,14.7,16.89,20.07,24.66,31.79,29,0,0,0,0,0,0,VILLAGE OF BERKELEY,1689,2030,16545,17315,18034,18790,20187,32990,37964
Berwyn,q10,0,14611,43872,5394,6134,7056,8306,8306,8306,12.31,13.99,16.1,18.95,22.87,28.22,77,0,0,0,0,0,0,CITY OF BERWYN,9858,2447,14606,16925,18746,20147,22729,31947,62249
Blue Island,q10,0,6734,20220,2670,3111,3682,4309,4309,4309,13.35,15.54,18.41,21.55,23.95,25.03,117,0,0,0,0,0,0,CITY OF BLUE ISLAND,4098,1563,6608,8245,10662,12949,15377,22840,61940
Bridgeview,q10,0,14530,43629,5347,5758,6107,6552,6552,6552,12.25,13.19,13.99,15,16.11,17.21,65,0,0,0,0,0,0,VILLAGE OF BRIDGEVIEW,3156,0,14576,16545,18031,20518,24194,41588,86234
Broadview,q10,0,14487,43500,4920,5095,5628,6044,6044,6044,11.42,11.83,13.07,14.03,15.11,16.17,36,0,0,0,0,0,0,VILLAGE OF BROADVIEW,2270,0,14166,15506,16956,17965,18820,25287,30350
Brookfield,q10,0,11233,33729,3756,3976,4957,5873,5873,5873,11.12,11.76,14.67,17.38,20.89,25.62,67,0,0,0,0,0,0,VILLAGE OF BROOKFIELD,6019,2559,11225,18959,21413,23612,27016,37346,68132
Buffalo Grove,q10,0,21255,63822,6687,7520,8583,9905,9905,9905,10.46,11.77,13.43,15.5,18.02,20.86,58,0,0,0,0,0,0,VILLAGE OF BUFFALO GROVE,3080,3512,21221,23034,26464,29748,33541,41829,52062
Burbank,q10,0,9625,28901,3112,3549,4218,5061,5061,5061,10.78,12.29,14.61,17.52,21.47,26.65,34,0,0,0,0,0,0,CITY OF BURBANK,8431,964,9764,15233,17322,19900,24766,35875,79380
Burnham,q10,0,5236,15722,3167,3728,4608,5401,5401,5401,20.24,23.83,29.46,34.52,35.49,35.62,66,0,0,0,0,0,0,VILLAGE OF BURNHAM,986,903,5126,6209,9198,9691,10268,12497,19961
Burr Ridge,q10,0,35626,106976,7549,7595,8008,8259,8259,8259,7.06,7.1,7.48,7.72,7.97,8.23,4,0,0,0,0,0,0,VILLAGE OF BURR RIDGE,1145,15915,35770,53373,68838,94065,124078,199169,340699
Calumet City,q10,0,5875,17641,3772,4548,5748,6658,6658,6658,21.47,25.87,32.71,37.89,40.62,41.23,343,0,0,0,0,0,0,CITY OF CALUMET CITY,8791,810,5806,6792,7541,11086,12029,14798,27618
Calumet Park,q10,0,5637,16926,2843,3491,4510,5095,5095,5095,16.8,20.63,26.64,30.1,30.49,30.57,119,0,0,0,0,0,0,VILLAGE OF CALUMET PARK,2051,1118,5660,6868,7541,8163,9581,12763,20651
Chicago,q10,0,6999,21016,1353,1417,1468,1528,1528,1528,6.46,6.76,7.01,7.3,7.59,7.87,7218,0,0,0,0,0,0,CITY OF CHICAGO,278358,0,6999,13000,20999,32000,50999,155999,2798999
Chicago Heights,q10,0,3876,11629,2130,2802,2894,3272,3272,3272,18.27,24.17,24.82,28.07,29.64,30.07,503,0,0,0,0,0,0,CITY OF CHICAGO HEIGHTS,7527,882,3884,5381,8665,11250,12573,20068,33074
Chicago Ridge,q10,0,13380,40174,4617,5021,5484,5924,5924,5924,11.49,12.5,13.65,14.75,15.77,16.71,36,0,0,0,0,0,0,VILLAGE OF CHICAGO RIDGE,1964,1484,13410,15604,16840,18236,20615,30465,37434
Cicero,q10,0,10259,30805,3853,4423,5198,6253,6253,6253,12.53,14.38,16.9,20.33,24.85,29.64,101,0,0,0,0,0,0,TOWN CICERO,8296,1767,10240,12684,15687,16992,17999,22090,39774
Country Club Hills,q10,0,8874,26646,5378,6591,8182,10384,10384,10384,20.25,24.81,30.8,39.09,45.78,49.58,319,0,0,0,0,0,0,CITY OF COUNTRY CLUB HILLS,4744,965,8782,9436,11110,13958,17648,28477,42237
Countryside,q10,0,20104,60366,4564,4637,4996,5218,5218,5218,7.57,7.69,8.28,8.65,8.99,9.32,15,0,0,0,0,0,0,CITY OF COUNTRYSIDE,1274,2695,20120,24168,28496,42380,57819,78847,133986
Crestwood,q10,0,14390,43209,4268,4689,5272,5810,5810,5810,9.89,10.86,12.21,13.46,14.52,15.54,23,0,0,0,0,0,0,VILLAGE OF CRESTWOOD,2188,2596,14309,15856,17608,19389,23940,31201,42250
Des Plaines,q10,0,16731,50238,4715,5101,5487,5964,5964,5964,9.37,10.14,10.91,11.85,12.91,14.04,279,0,0,0,0,0,0,CITY OF DES PLAINES,14017,2072,16806,18557,23375,27183,32126,49904,81257
Dixmoor,q10,0,2196,6594,1042,1181,1312,1326,1326,1326,15.65,17.75,19.71,19.92,20,20.01,127,0,0,0,0,0,0,VILLAGE OF DIXMOOR,914,753,2249,2907,3934,5225,6403,12435,16164
Dolton,q10,0,4771,14326,2871,3766,4653,5937,5937,5937,19.97,26.23,32.37,41.3,46.42,46.97,364,0,0,0,0,0,0,VILLAGE OF DOLTON,7415,0,4780,6618,9250,11516,12743,14743,58512
East Hazelcrest,q10,0,4521,13575,2551,2930,3380,3669,3669,3669,18.52,21.27,24.54,26.64,28.11,28.72,26,0,0,0,0,0,0,VILLAGE OF EAST HAZELCREST,392,2291,4638,5839,7213,10909,13685,18140,19850
Elgin,q10,0,13379,40173,4127,4598,5208,5966,5966,5966,10.3,11.48,13,14.89,17.1,19.12,155,0,0,0,0,0,0,CITY OF ELGIN,4327,0,13344,14922,16927,20044,25382,31645,143552
Elk Grove Village,q10,0,18531,55643,5053,5294,5534,5804,5804,5804,9.07,9.5,9.94,10.42,10.93,11.44,212,0,0,0,0,0,0,VILLAGE OF ELK GROVE VILLAGE,8009,11624,18527,19941,26103,29099,33701,46604,76095
