clean_name,MuniLevy,tr_neg10,tr_nochange,tr_plus10,tr_plus20,tr_plus30,tr_plus40,tax_rate_current,taxrate_noexemps,taxrate_noTIFs,taxrate_noTIFs_orExemps,current_nonTIF_EAV_post_exemps,current_TIF_increment_EAV,current_Exempt_EAV,current_GHE,Total_EAV,exe_neg10,exe_0,exe_plus10,exe_plus20,exe_plus30,exe_plus40,neg10_taxable_eav,plus10_taxable_eav,plus20_taxable_eav,plus30_taxable_eav,plus40_taxable_eav,scenario_noexemptions_taxable_eav
Alsip,82505440.33,0.12067142845949472,0.12906000172715407,0.13858882688845117,0.14846056598705024,0.159069817713429,0.16847179510833646,0.12906000172715407,0.11629149509722433,0.1284178482584876,0.11576986187097804,639279708.8630517,3196718.2760156062,70191265.44183755,44440053,712667692.5809048,0,44929996,88394423,127979995,165045374,193991257,683719761.8630517,595325338.8630517,555739766.8630517,518674387.86305165,489728504.86305165,709470974.3048892
Arlington Heights,319606289.91,0.09540605014214966,0.10218767253174918,0.10945357472337149,0.11792764675659374,0.12717463194032488,0.13734535517419363,0.10218767253174918,0.09233739223427627,0.1010832027221583,0.09143464794454886,3127640369.837174,34173673.47607394,333647437.58868927,222317934,3495461480.901937,0,215436634,429941386,639768635,836829034,1022931740,3349958303.837174,2920016917.837174,2710189668.837174,2513129269.837174,2327026563.837174,3461287807.4258633
Barrington,28298165.78,0.07901487022776993,0.08230618342391927,0.0859440157441347,0.08987239968496966,0.09414585051917419,0.09872120476000763,0.08230618342391927,0.07784956366703054,0.07886569828960306,0.0747645917294649,343815793.69620216,14998829.057611395,19682271.63700582,14321424,378496894.3908194,0,14445134,28874435,43266736,57559278,71489928,358137217.69620216,329262782.69620216,314870481.69620216,300577939.69620216,286647289.69620216,363498065.33320796
Barrington Hills,18247263.55,0.08749752936014672,0.08993449199330009,0.09257587053590825,0.09534270750179573,0.0982761534285624,0.10139432613959691,0.08993449199330009,0.08678017123450865,0.08993449199330009,0.08678017123450865,202895053.33903906,0,7374911.451533616,5650990,210269964.79057267,0,5720000,11440000,17160000,22872684,28582684,208546043.33903906,197106043.33903906,191386043.33903906,185673359.33903906,179963359.33903906,210269964.79057267
Bartlett,48906288.83,0.11505820622525072,0.12716906292978164,0.14222504186083693,0.16068854919194986,0.18294924672667567,0.2114974510580963,0.12716906292978164,0.11207939520424388,0.12576390229025833,0.11098648526001402,384576938.0010637,4296879.8383838385,51777030.01310489,40480000,440650847.8525525,0,40626093,81191412,120702402,157735319,193818743,425056938.0010637,343865526.0010637,304354536.0010637,267321619.0010637,231238195.0010637,436353968.0141686
Bedford Park,61689669.73,0.13216022264188265,0.1326518632805963,0.1331940495382805,0.13368077857813956,0.13410692601899385,0.13438140782455174,0.1326518632805963,0.13171995696116154,0.11209785927665258,0.11143164614730232,465049402.2802292,85270381.95180146,3290180.8262972175,1730000,553609965.0583279,0,1817080,3623053,5309396,6775795,7715379,466779402.2802292,463156349.2802292,461470006.2802292,460003607.2802292,459064023.2802292,468339583.10652643
Bellwood,43823561.59,0.14722667471739465,0.17333668329748483,0.212207222766074,0.2696213124617525,0.3592333993643591,0.4685988449875103,0.17333668329748483,0.13108599821690398,0.14957133051744376,0.11702429969328365,252823353.69708726,40171041.94271801,81488183.66090347,44837119,374482579.3007088,0,45839506,91147419,135123019,175668582,204140051,297660472.6970873,206513053.6970873,162537453.6970873,121991890.69708729,93520421.69708729,334311537.35799074
Bensenville,3051321.88,0.11728452229350111,0.11728452229350111,0.11728452229350111,0.11728452229350111,0.11728452229350111,0.11728452229350111,0.11728452229350111,0.11728452229350111,0.11728452229350111,0.11728452229350111,26016407.11264659,0,0,0,26016407.11264659,0,0,0,0,0,0,26016407.11264659,26016407.11264659,26016407.11264659,26016407.11264659,26016407.11264659,26016407.11264659
Berkeley,15594888.9,0.12805145357025716,0.14550713161164705,0.1688845306798383,0.2006662957892223,0.24662642760222728,0.31793450326349,0.14550713161164705,0.11954353731419597,0.13810934397608562,0.11450454888802751,107176113.82528082,5740857.981495263,23277520.47710721,14610000,136194492.2838833,0,14736095,29445573,44070577,58553276,72735480,121786113.82528083,92340540.82528083,77715536.82528083,63232837.82528083,49050633.82528083,130453634.30238804
Berwyn,111162471.85,0.12306942950799991,0.139328723466989,0.16098357040601616,0.1895108273201904,0.22872206454247615,0.282209335521759,0.139328723466989,0.11535060269103581,0.1335592900225224,0.11136771920993041,797843180.3858277,34464866.7088704,165848982.95506424,105406898,998157030.0497622,0,106599652,212729477,316674243,417234564,509349318,903250078.3858275,690520601.3858275,586575835.3858275,486015514.38582754,393900760.38582754,963692163.3408918
Blue Island,37498994.62,0.13350571692872654,0.1538412369669188,0.18407990046625866,0.21546663358001855,0.23945780497294383,0.25028680170647466,0.1538412369669188,0.1265975158569412,0.14212543795937063,0.1185553387515085,243751255.2506555,20093100.541020773,52455146.321828164,37128062,316299502.1135044,0,39764024,77168893,106843115,124279725,131055218,280879317.25065553,203710424.25065553,174036202.25065553,156599592.25065553,149824099.25065553,296206401.57248366
Bridgeview,65534363.03,0.12245698528306219,0.13071621729255786,0.13985394047404975,0.15003954442960832,0.16107781829455942,0.1720709630647679,0.13071621729255786,0.11799049237610905,0.12214687130375707,0.11096359834752458,501348374.2673382,35172637.94121815,54072335.57342801,33813935,590593347.7819843,0,33370826,66570843,98381704,128313224,154305703,535162309.26733816,468591466.26733816,436780605.26733816,406849085.26733816,380856606.26733816,555420709.8407662
Broadview,35666753.81,0.11423650961956379,0.12181276130095454,0.13068058592301934,0.1403460134810909,0.15113119222423893,0.16169796495590874,0.12181276130095454,0.10901787296144036,0.11839407564507515,0.10627155294772925,292799813.65729463,8454734.897336807,34364465.38358643,19418705,335619013.9382179,0,19788441,39287742,58084091,76219892,91642126,312218518.6572947,272930776.6572947,254134427.6572947,235998626.6572947,220576392.6572947,327164279.0408811
Brookfield,53101216.84,0.1111886710932349,0.12492198798842409,0.14673152647693385,0.17383861580939078,0.20885922603642798,0.2562154538590481,0.12492198798842409,0.1053964604465789,0.12323533577380842,0.10419331732433557,425075022.3805327,5817760.980437139,78748508.45724927,52502561,509641291.81821907,0,58034594,115683871,172114861,223333527,270325382,477577583.3805326,361893712.3805326,305462722.3805326,254244056.38053262,207252201.38053262,503823530.8377819
