class_code,assess_ratio,loa_2022,class_desc,improvement_ind,vacant_ind,land,comparable_props,building type,Alea_cat,incent_prop,Option2,Res_nonRes,class_1dig,major_class_code,major_class_type,assessment_level,last2dig,used_in2021
0,0,0,Exempt or Railroad property,0,0,0,,Exempt,Exempt,Non-Incentive,Exempt,NonRes,0,0,Exempt and Railroad,0%,0,
100,0.1,0.1,Vacant land,0,1,1,100,Land,Land,Non-Incentive,Land,NonRes,1,1,Land,10%,0,
180,0.1,0.1,Minor improvement,1,1,1,100,Land,Land,Non-Incentive,,NonRes,1,1,Land,10%,80,
190,0.1,0.1,"Minor improvement on vacant land, Other minor improvement which does not add value",1,1,1,100,Land,Land,Non-Incentive,Land,NonRes,1,1,Land,10%,90,
192,0.1,0.1,,1,1,1,100,Land,Land,Non-Incentive,Land,NonRes,1,1,Land,10%,92,
193,0.1,0.1,,1,1,1,100,Land,Land,Non-Incentive,,NonRes,1,1,Land,10%,93,
200,0.1,0.1,Residential land,0,0,1,,Land,Owner Occupied,Non-Incentive,Single-Family,Res,2,2,Residential,10%,0,
201,0.1,0.1,Residential garage,0,0,0,,Res. Garage,Owner Occupied,Non-Incentive,Single-Family,Res,2,2,Residential,10%,1,
202,0.1,0.1,"One story residence, any age, up to 999 sq. ft.",0,0,0,,Single-Family,Owner Occupied,Non-Incentive,Single-Family,Res,2,2,Residential,10%,2,
203,0.1,0.1,"One story residence, any age, 1,000 to 1,800 sq. ft.",0,0,0,,Single-Family,Owner Occupied,Non-Incentive,Single-Family,Res,2,2,Residential,10%,3,
204,0.1,0.1,"One story residence, any age, 1,801 sq. ft. and over",0,0,0,,Single-Family,Owner Occupied,Non-Incentive,Single-Family,Res,2,2,Residential,10%,4,
205,0.1,0.1,"Two or more story residence, over 62 years, up to 2,200 sq. ft",0,0,0,,Single-Family,Owner Occupied,Non-Incentive,Single-Family,Res,2,2,Residential,10%,5,
206,0.1,0.1,"Two or more story residence, over 62 years, 2,201 to 4,999 sq. ft.",0,0,0,,Single-Family,Owner Occupied,Non-Incentive,Single-Family,Res,2,2,Residential,10%,6,
207,0.1,0.1,"Two or more story residence, up to 62 years, up to 2,000 sq. ft.",0,0,0,,Single-Family,Owner Occupied,Non-Incentive,Single-Family,Res,2,2,Residential,10%,7,
208,0.1,0.1,"Two or more story residence, up to 62 years, 3,801 to 4,999 sq. ft.",0,0,0,,Single-Family,Owner Occupied,Non-Incentive,Single-Family,Res,2,2,Residential,10%,8,
209,0.1,0.1,"Two or more story residence, any age, 5,000 sq. ft. and over",0,0,0,,Single-Family,Owner Occupied,Non-Incentive,Single-Family,Res,2,2,Residential,10%,9,
210,0.1,0.1,"Old style townhouse, over 62 years",0,0,0,,Multi-Family,Owner Occupied,Non-Incentive,Multi-Family,Res,2,2,Residential,10%,10,
211,0.1,0.1,"Two to six residential apartments, any age",0,0,0,,Multi-Family,Rental,Non-Incentive,Multi-Family,Res,2,2,Residential,10%,11,
212,0.1,0.1,"Two to six mixed-use apartments, any age, up to 20,000 sq. ft.",0,0,0,,Multi-Family,Rental,Non-Incentive,Multi-Family,Res,2,2,Residential,10%,12,
213,0.1,0.1,Cooperative,0,0,0,,Multi-Family,Owner Occupied,Non-Incentive,Multi-Family,Res,2,2,Residential,10%,13,
218,0.1,0.1,A residential building licensed as a Bed & Breakfast by the municipality,0,0,0,,B&B,Owner Occupied,Non-Incentive,Other,Res,2,2,Residential,10%,18,
219,0.1,0.1,A residential building licensed as a Bed & Breakfast by the municipality,0,0,0,,B&B,Owner Occupied,Non-Incentive,Other,Res,2,2,Residential,10%,19,
220,0.1,0.1,,,,,,,,Non-Incentive,,Res,2,2,Residential,10%,20,
221,0.1,0.1,,,,,,,,Non-Incentive,,Res,2,2,Residential,10%,21,
224,0.1,0.1,Farm building,0,0,0,,Other,Owner Occupied,Non-Incentive,Single-Family,Res,2,2,Residential,10%,24,
225,0.1,0.1,Single-room occupancy rental building,0,0,0,,Multi-Family,Rental,Non-Incentive,Other,Res,2,2,Residential,10%,25,
234,0.1,0.1,"Spllit level residence, with a lower level below grade, all ages, all sizes",0,0,0,,Single-Family,Owner Occupied,Non-Incentive,Single-Family,Res,2,2,Residential,10%,34,
236,0.1,0.1,Any residence located on a parcel used primarily for commercial or industrial purposes,0,0,0,,Mixed Use,Owner Occupied,Non-Incentive,Multi-Family,Res,2,2,Residential,10%,36,
239,0.1,0.1,"Non-equalized land under agricultural use, valued at farm pricing",0,0,0,,Other,Owner Occupied,Non-Incentive,Other,Res,2,2,Residential,10%,39,
240,0.1,0.1,First-time agricultural use of land valued at market price,0,0,0,,Other,Owner Occupied,Non-Incentive,Other,Res,2,2,Residential,10%,40,
241,0.1,0.1,Vacant land under common ownership with adjacent residence,0,1,1,,Land,Owner Occupied,Non-Incentive,Land,Res,2,2,Residential,10%,41,
278,0.1,0.1,"Two or more story residence, up to 62 years, 2,001 to 3,800 sq. ft.",0,0,0,278,Single-Family,Owner Occupied,Non-Incentive,Single-Family,Res,2,2,Residential,10%,78,
