year,cpi,ptell_cook,levy_year,year_taxes_paid
1992,141.9,0.029,1993,1994
1993,145.8,0.05,1994,1995
1994,149.7,0.027,1995,1996
1995,153.5,0.025,1996,1997
1996,158.96,0.036,1997,1998
1997,161.3,0.015,1998,1999
1998,163.9,0.016,1999,2000
1999,168.3,0.027,2000,2001
2000,174,0.034,2001,2002
2001,176.7,0.016,2002,2003
2002,180.9,0.024,2003,2004
2003,184.3,0.019,2004,2005
2004,190.3,0.033,2005,2006
2005,196.8,0.034,2006,2007
2006,201.8,0.025,2007,2008
2007,210.036,0.041,2008,2009
2008,210.228,0.001,2009,2010
2009,215.949,0.027,2010,2011
2010,219.179,0.015,2011,2012
2011,225.672,0.03,2012,2013
2012,229.601,0.017,2013,2014
2013,233.049,0.015,2014,2015
2014,234.812,0.008,2015,2016
2015,236.525,0.007,2016,2017
2016,241.432,0.021,2017,2018
2017,246.524,0.021,2018,2019
2018,251.233,0.019,2019,2020
2019,256.974,0.023,2020,2021
2020,260.474,0.014,2021,2022
2021,278.802,0.05,2022,2023
2022,296.797,0.05,2023,2024
2023,306.746,0.034,2024,2025
2024,315.605,0.029,2025,2026
