tax_code,class,av,eav,pins_in_class,parcel_count_in_class,final_tax_to_dist,final_tax_to_tif,tax_amt_exe,tax_amt_pre_exe,tax_amt_post_exe,rpm_tif_to_cps,rpm_tif_to_rpm,rpm_tif_to_dist,tif_share,total_bill
10002,0,0,0,24,24,0,0,0,0,0,0,0,0,0,0
10002,100,55422,166416,4,4,15558.23,0,0,15558.23,15558.23,0,0,0,0,15558.23
10002,190,48120,144490,2,2,13508.35,0,0,13508.35,13508.35,0,0,0,0,13508.35
10002,203,127724,383516,3,3,33237.19,0,2617.7198050745083,35854.91,33237.19,0,0,0,0,33237.19
10002,204,1076977,3233839,13,13,290551.84,0,11779.739122835288,302331.58,290551.84,0,0,0,0,290551.84
10002,205,71348,214237,2,2,20029.010000000002,0,0,20029.010000000002,20029.010000000002,0,0,0,0,20029.010000000002
10002,208,1064697,3196966,15,15,284673.82,0,14210.478941833046,298884.3,284673.82,0,0,0,0,284673.82
10002,209,1355334,4069662,16,16,359087.01,0,21385.648927542275,380472.65,359087.01,0,0,0,0,359087.01
10002,224,25668,77073,1,1,7205.55,0,0,7205.55,7205.55,0,0,0,0,7205.55
10002,239,28408,28408,6,6,2655.87,0,0,2655.87,2655.87,0,0,0,0,2655.87
10002,241,37333,112099,7,7,10480.119999999999,0,0,10480.119999999999,10480.119999999999,0,0,0,0,10480.119999999999
10002,278,402813,1209527,8,8,105136.18000000001,0,7942.535848568212,113078.72,105136.18000000001,0,0,0,0,105136.18000000001
10002,590,16572,49761,1,1,4652.15,0,0,4652.15,4652.15,0,0,0,0,4652.15
10003,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0
10003,100,61205,183780,3,3,14755.69,0,0,14755.69,14755.69,0,0,0,0,14755.69
10003,204,56544,169785,1,1,12829.15,0,802.899956471858,13632.05,12829.15,0,0,0,0,12829.15
10004,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0
10005,209,89366,268339,1,1,23408.09,0,906.0999240740465,24314.190000000002,23408.09,0,0,0,0,23408.09
10012,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
10012,100,159113,477768,11,11,38374.36,0,0,38374.36,38374.36,0,0,0,0,38374.36
10012,203,35540,106716,1,1,8571.44,0,0,8571.44,8571.44,0,0,0,0,8571.44
10012,204,1377338,4135733,27,27,307925.38,0,24256.638602919535,332182.02,307925.38,0,0,0,0,307925.38
10012,205,116029,348401,3,3,23000.48,0,4983.132832992486,27983.6,23000.48,0,0,0,0,23000.48
10012,208,1760271,5285563,27,27,400119.13,0,24417.278593667346,424536.41,400119.13,0,0,0,0,400119.13
10012,209,1140779,3425419,13,13,265812.57,0,9317.119463373067,275129.69,265812.57,0,0,0,0,265812.57
10012,234,103399,310476,3,3,22527.82,0,2409.5998612171725,24937.420000000002,22527.82,0,0,0,0,22527.82
10012,241,33604,100903,7,7,8104.5599999999995,0,0,8104.5599999999995,8104.5599999999995,0,0,0,0,8104.5599999999995
10012,278,1581925,4750048,30,30,353712.28,0,27811.440958177853,381523.72000000003,353712.28,0,0,0,0,353712.28
10019,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,NA,0
10021,0,0,0,104,99,0,0,0,0,0,0,0,0,0,0
10021,100,262141,787138,82,82,64647.61,0,0,64647.61,64647.61,0,0,0,0,64647.61
10021,201,58931,176954,10,10,14533.24,0,0,14533.24,14533.24,0,0,0,0,14533.24
10021,202,2028643,6091405,77,77,437461.18,0,62825.99624361837,500287.19,437461.18,0,0,0,0,437461.18
10021,203,9855643,29593536,341,341,2147315.94,0,283201.0572831791,2430517.0100000002,2147315.94,0,0,0,0,2147315.94
10021,204,6050187,18166899,143,143,1361699.86,0,130347.61065612496,1492047.42,1361699.86,0,0,0,0,1361699.86
10021,205,5171133,15527358,140,140,1172992.5,0,102269.17243628053,1275261.68,1172992.5,0,0,0,0,1172992.5
10021,206,6711142,20151550,131,131,1546597.57,0,108449.29025365063,1655046.83,1546597.57,0,0,0,0,1546597.57
10021,207,803843,2413699,23,23,185098.04,0,13139.074371478988,198237.12,185098.04,0,0,0,0,185098.04
10021,208,2358077,7080598,29,29,565431.98,0,16097.478899167276,581529.46,565431.98,0,0,0,0,565431.98
10021,209,197703,593643,2,2,47277.55,0,1478.339898903117,48755.89,47277.55,0,0,0,0,47277.55
10021,211,1614505,4847873,39,39,386986.09,0,11169.679236156886,398155.77,386986.09,0,0,0,0,386986.09
10021,212,32842,98615,1,1,8099.26,0,0,8099.26,8099.26,0,0,0,0,8099.26
10021,234,1714781,5148973,60,60,374348.11,0,48537.101950770295,422885.2,374348.11,0,0,0,0,374348.11
10021,241,115696,347400,37,37,28531.9,0,0,28531.9,28531.9,0,0,0,0,28531.9
10021,278,13585271,40792494,271,271,3148017.75,0,202269.33951772793,3350287.08,3148017.75,0,0,0,0,3148017.75
10021,290,7962,23907,2,2,1963.4700000000003,0,0,1963.4700000000003,1963.4700000000003,0,0,0,0,1963.4700000000003
10021,295,2067043,6206709,48,48,480578.99,0,29177.912454656438,509756.9,480578.99,0,0,0,0,480578.99
10021,299,2992695,8986157,199,8,644237.92,0,93795.24600577347,738033.15,644237.92,0,0,0,0,644237.92
10021,314,340962,1023807,3,3,84085.27,0,0,84085.27,84085.27,0,0,0,0,84085.27
10021,390,2047,6147,1,1,504.86,0,0,504.86,504.86,0,0,0,0,504.86
10021,396,601189,1805190,10,10,148260.24,0,0,148260.24,148260.24,0,0,0,0,148260.24
10021,399,27484,82526,1,1,6777.87,0,0,6777.87,6777.87,0,0,0,0,6777.87
10021,497,1541976,4630091,1,1,380269.35000000003,0,0,380269.35000000003,380269.35000000003,0,0,0,0,380269.35000000003
10021,500,20,60,1,1,4.92,0,0,4.92,4.92,0,0,0,0,4.92
10021,517,4068214,12215625,32,32,1003269.08,0,0,1003269.08,1003269.08,0,0,0,0,1003269.08
10021,522,594560,1785285,5,5,146625.44,0,0,146625.44,146625.44,0,0,0,0,146625.44
10021,528,523716,1572562,3,3,129154.52,0,0,129154.52,129154.52,0,0,0,0,129154.52
10021,531,200000,600540,4,4,49322.33,0,0,49322.33,49322.33,0,0,0,0,49322.33
10021,533,54138,162560,1,1,13351.06,0,0,13351.06,13351.06,0,0,0,0,13351.06
10021,580,895926,2690197,4,4,220945.84,0,0,220945.84,220945.84,0,0,0,0,220945.84
10021,590,3367691,10112164,19,19,830511.9199999999,0,0,830511.9199999999,830511.9199999999,0,0,0,0,830511.9199999999
10021,592,5572762,16733333,18,18,1374308.62,0,0,1374308.62,1374308.62,0,0,0,0,1374308.62
10021,593,2470101,7416973,5,5,609155.97,0,0,609155.97,609155.97,0,0,0,0,609155.97
10021,597,8638135,25937728,8,8,2130265.44,0,0,2130265.44,2130265.44,0,0,0,0,2130265.44
