clean_name,taxrate_change,tax_rate_current,taxrate_new,tax_code,agency_name,pins_in_class,MuniLevy,nonTIF_EAV_post_exemps,TIF_increment_EAV,Exempt_EAV,Total_EAV,nonTIF_EAV_pre_exemps
Park Forest,0.15954840268600723,0.43943,0.27988159731399276,32021,VILLAGE OF PARK FOREST,163,1238213.45,2817771.7725234963,0,1606289.908855564,4424061.68137906,4424061.68137906
Park Forest,0.09694534957754791,0.43894,0.3419946504224521,12035,VILLAGE OF PARK FOREST,3,15484.51,35277.05381145487,0,9999.999443245504,45277.05325470037,45277.053254700375
Riverdale,0.13966382220393267,0.31375,0.1740861777960673,37040,VILLAGE OF RIVERDALE,64,216147.98,688917.8645418327,0,552696.9651731713,1241614.8297150042,1241614.829715004
Riverdale,0.13587785748215755,0.31375,0.17787214251784242,37041,VILLAGE OF RIVERDALE,263,923207.38,2942493.6414342634,0,2247792.858360907,5190286.4997951705,5190286.4997951705
Phoenix,0.17262486169396524,0.29954000000000003,0.1269151383060348,37053,VILLAGE OF PHOENIX,30,47332.53,158017.3933364492,137031.28129799024,214928.89685208185,509977.57148652134,372946.29018853104
Riverdale,0.1041975856095643,0.2962,0.19200241439043572,14005,VILLAGE OF RIVERDALE,13,55855.6,188573.93652937203,0,102336.98861356906,290910.92514294107,290910.92514294107
Harvey,0.10357843654373405,0.282,0.17842156345626592,37046,CITY OF HARVEY,98,141874.75,503101.95035461,0,292063.9884013065,795165.9387559164,795165.9387559164
Hazelcrest,0.0940989407142638,0.28026,0.1861610592857362,37065,VILLAGE OF HAZELCREST,63,182691.35,651863.8050381788,0,329497.98297995556,981361.7880181344,981361.7880181344
Hazelcrest,0.07711494823866416,0.28026,0.20314505176133585,37207,VILLAGE OF HAZELCREST,10,28550.53,101871.58352957967,6816.598872475559,38670.99800247001,147359.18040452525,140542.5815320497
Ford Heights,0.17017438845417798,0.27959,0.10941561154582201,12034,VILLAGE OF FORD HEIGHTS,6,4923.5999999999995,17610.071890983225,0,27388.99113521073,44999.06302619396,44999.06302619395
Ford Heights,0.08953109141276608,0.27959,0.19005890858723393,12222,VILLAGE OF FORD HEIGHTS,8,14531.76,51975.24947244179,23418.72026896527,24483.99207544998,99877.96181685705,76459.24154789177
Dolton,0.10671903101945462,0.27915,0.17243096898054538,37035,VILLAGE OF DOLTON,177,666972.35,2389297.3311839513,0,1478756.962910119,3868054.2940940703,3868054.2940940703
Calumet City,0.084900596873969,0.27863,0.19372940312603099,37031,CITY OF CALUMET CITY,81,350955.24,1259574.4894663175,0,551999.9764483144,1811574.4659146317,1811574.4659146317
Harvey,0.13456657200068986,0.27647,0.14190342799931013,37051,CITY OF HARVEY,52,119565.58,432472.1669620574,0,410111.98823242646,842584.1551944838,842584.1551944839
