tax_code_num,class_code,av,eav,exe_homeowner,exe_senior,exe_freeze,exe_longtime_homeowner,exe_disabled,exe_vet_returning,exe_vet_dis,exe_abate,pin_count
10001,0,0,0,0,0,0,0,0,0,0,0,3
10001,100,58890,176832,0,0,0,0,0,0,0,0,27
10001,202,132504,397869,40000,0,0,0,0,0,0,0,6
10001,203,1087863,3266525,280000,136000,129945,0,2000,0,0,0,37
10001,204,566127,1699911,100000,32000,0,0,0,0,0,0,17
10001,205,75724,227376,10000,8000,2000,0,0,0,0,0,2
10001,207,272395,817920,60000,24000,0,0,0,0,0,0,8
10001,209,75270,226013,10000,0,0,0,0,0,0,0,1
10001,234,466229,1399945,100000,40000,24990,0,0,0,0,0,14
10001,241,43384,130269,0,0,0,0,0,0,0,0,10
10001,278,1429409,4292089,280000,40000,100481,0,0,0,0,0,30
10002,0,0,0,0,0,0,0,0,0,0,0,24
10002,100,55422,166416,0,0,0,0,0,0,0,0,4
10002,190,48120,144490,0,0,0,0,0,0,0,0,2
10002,203,127724,383516,20000,8000,0,0,0,0,0,0,3
10002,204,1076977,3233839,100000,24000,2000,0,0,0,0,0,13
10002,205,71348,214237,0,0,0,0,0,0,0,0,2
10002,208,1064697,3196966,120000,32000,0,0,0,0,0,0,15
10002,209,1355334,4069662,120000,16000,92748,0,0,0,0,0,16
10002,224,25668,77073,0,0,0,0,0,0,0,0,1
10002,239,28408,85300,0,0,0,0,0,0,0,0,6
10002,241,37333,112099,0,0,0,0,0,0,0,0,7
10002,278,402813,1209527,60000,16000,8956,0,0,0,0,0,8
10002,590,16572,49761,0,0,0,0,0,0,0,0,1
10003,0,0,0,0,0,0,0,0,0,0,0,12
10003,100,61205,183780,0,0,0,0,0,0,0,0,3
10003,204,56544,169785,10000,0,0,0,0,0,0,0,1
10004,0,0,0,0,0,0,0,0,0,0,0,11
10005,209,89366,268339,10000,0,0,0,0,0,0,0,1
10009,0,0,0,0,0,0,0,0,0,0,0,30
10009,100,121072,363543,0,0,0,0,0,0,0,0,31
10009,202,232644,698560,40000,16000,8130,0,0,0,0,0,9
10009,203,1084784,3257278,280000,72000,132631,0,0,0,0,0,36
10009,204,564625,1695400,100000,24000,61269,0,0,0,0,0,14
10009,205,85247,255971,10000,0,0,0,0,0,0,0,2
10009,206,323011,969905,20000,0,0,0,0,0,0,0,5
10009,207,168851,507008,50000,0,0,0,0,0,0,0,6
10009,208,244399,733856,20000,0,0,0,0,0,0,0,3
10009,209,678016,2035879,50000,8000,0,0,0,0,0,0,6
10009,224,25640,76989,0,0,0,0,0,0,0,0,1
10009,234,200615,602388,60000,24000,0,0,0,0,0,0,6
10009,239,14277,42870,0,0,0,0,0,0,0,0,7
10009,241,84800,254628,0,0,0,0,0,0,0,0,11
10009,278,930639,2794429,140000,48000,17857,0,0,0,0,0,19
10009,590,576454,1730918,0,0,0,0,0,0,0,0,1
10009,592,249938,750489,0,0,0,0,0,0,0,0,1
10012,0,0,0,0,0,0,0,0,0,0,0,3
10012,100,159113,477768,0,0,0,0,0,0,0,0,11
10012,203,35540,106716,0,0,0,0,0,0,0,0,1
10012,204,1377338,4135733,220000,80000,2000,0,0,0,0,0,27
10012,205,116029,348401,30000,8000,24041,0,0,0,0,0,3
10012,208,1760271,5285563,240000,64000,0,0,0,0,0,0,27
10012,209,1140779,3425419,100000,16000,0,0,0,0,0,0,13
10012,234,103399,310476,20000,8000,2000,0,0,0,0,0,3
10012,241,33604,100903,0,0,0,0,0,0,0,0,7
10012,278,1581925,4750048,240000,96000,10258,0,0,0,0,0,30
10013,0,0,0,0,0,0,0,0,0,0,0,1
10015,0,0,0,0,0,0,0,0,0,0,0,5
10015,190,4844,14545,0,0,0,0,0,0,0,0,1
10015,203,80449,241564,0,0,0,0,0,0,0,0,1
10015,206,40290,120979,10000,0,0,0,0,0,0,0,1
10015,278,56334,169154,10000,0,0,0,0,0,0,0,1
10021,0,0,0,0,0,0,0,0,0,0,0,104
10021,100,262141,787138,0,0,0,0,0,0,0,0,82
10021,201,58931,176954,0,0,0,0,0,0,0,0,10
10021,202,2028643,6091405,401000,128000,235958,0,0,0,0,0,77
10021,203,9855643,29593536,2270000,600000,572205,0,6000,0,0,0,341
10021,204,6050187,18166899,1140000,256000,189089,0,2000,0,0,0,143
10021,205,5171133,15527358,950000,176000,119211,0,0,0,0,0,140
10021,206,6711142,20151550,1020000,208000,89959,0,0,0,2500,0,131
10021,207,803843,2413699,130000,24000,5979,0,0,0,0,0,23
10021,208,2358077,7080598,170000,24000,2000,0,0,0,0,0,29
10021,209,197703,593643,10000,8000,0,0,0,0,0,0,2
10021,211,1614505,4847873,120000,16000,0,0,0,0,0,0,39
10021,212,32842,98615,0,0,0,0,0,0,0,0,1
10021,234,1714781,5148973,430000,104000,56979,0,0,0,0,0,60
10021,241,115696,347400,0,0,0,0,0,0,0,0,37
10021,278,13585271,40792494,2035290,272000,155505,0,0,0,0,0,271
10021,290,7962,23907,0,0,0,0,0,0,0,0,2
10021,295,2067043,6206709,240000,104000,11265,0,0,0,0,0,48
10021,299,2992695,8986157,820000,232000,90034,0,0,0,0,0,199
10021,314,340962,1023807,0,0,0,0,0,0,0,0,3
10021,390,2047,6147,0,0,0,0,0,0,0,0,1
10021,396,601189,1805190,0,0,0,0,0,0,0,0,10
10021,399,27484,82526,0,0,0,0,0,0,0,0,1
10021,497,1541976,4630091,0,0,0,0,0,0,0,0,1
10021,500,20,60,0,0,0,0,0,0,0,0,1
10021,517,4068214,12215625,0,0,0,0,0,0,0,0,32
10021,522,594560,1785285,0,0,0,0,0,0,0,0,5
