tax_code_num,class_code,major_class_code,major_class_type,Alea_cats,av,eav,exe_homeowner,exe_senior,exe_freeze,exe_longtime_homeowner,exe_disabled,exe_vet_returning,exe_vet_dis,exe_abate,pin_count
10002,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,24
10002,100,1,Vacant,Nonresidential,55422,166416,0,0,0,0,0,0,0,0,4
10002,190,1,Vacant,Nonresidential,48120,144490,0,0,0,0,0,0,0,0,2
10002,203,2,Residential,Owner Occupied,127724,383516,20000,8000,0,0,0,0,0,0,3
10002,204,2,Residential,Owner Occupied,1076977,3233839,100000,24000,2000,0,0,0,0,0,13
10002,205,2,Residential,Owner Occupied,71348,214237,0,0,0,0,0,0,0,0,2
10002,208,2,Residential,Owner Occupied,1064697,3196966,120000,32000,0,0,0,0,0,0,15
10002,209,2,Residential,Owner Occupied,1355334,4069662,120000,16000,92748,0,0,0,0,0,16
10002,224,2,Residential,NA,25668,77073,0,0,0,0,0,0,0,0,1
10002,239,2,Residential,NA,28408,85300,0,0,0,0,0,0,0,0,6
10002,241,2,Residential,Nonresidential,37333,112099,0,0,0,0,0,0,0,0,7
10002,278,2,Residential,Owner Occupied,402813,1209527,60000,16000,8956,0,0,0,0,0,8
10002,590,5A,Commercial,NA,16572,49761,0,0,0,0,0,0,0,0,1
10003,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,12
10003,100,1,Vacant,Nonresidential,61205,183780,0,0,0,0,0,0,0,0,3
10003,204,2,Residential,Owner Occupied,56544,169785,10000,0,0,0,0,0,0,0,1
10004,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,11
10005,209,2,Residential,Owner Occupied,89366,268339,10000,0,0,0,0,0,0,0,1
10012,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,3
10012,100,1,Vacant,Nonresidential,159113,477768,0,0,0,0,0,0,0,0,11
10012,203,2,Residential,Owner Occupied,35540,106716,0,0,0,0,0,0,0,0,1
10012,204,2,Residential,Owner Occupied,1377338,4135733,220000,80000,2000,0,0,0,0,0,27
10012,205,2,Residential,Owner Occupied,116029,348401,30000,8000,24041,0,0,0,0,0,3
10012,208,2,Residential,Owner Occupied,1760271,5285563,240000,64000,0,0,0,0,0,0,27
10012,209,2,Residential,Owner Occupied,1140779,3425419,100000,16000,0,0,0,0,0,0,13
10012,234,2,Residential,Owner Occupied,103399,310476,20000,8000,2000,0,0,0,0,0,3
10012,241,2,Residential,Nonresidential,33604,100903,0,0,0,0,0,0,0,0,7
10012,278,2,Residential,Owner Occupied,1581925,4750048,240000,96000,10258,0,0,0,0,0,30
10021,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,104
10021,100,1,Vacant,Nonresidential,262141,787138,0,0,0,0,0,0,0,0,82
10021,201,2,Residential,NA,58931,176954,0,0,0,0,0,0,0,0,10
10021,202,2,Residential,Owner Occupied,2028643,6091405,401000,128000,235958,0,0,0,0,0,77
10021,203,2,Residential,Owner Occupied,9855643,29593536,2270000,600000,572205,0,6000,0,0,0,341
10021,204,2,Residential,Owner Occupied,6050187,18166899,1140000,256000,189089,0,2000,0,0,0,143
10021,205,2,Residential,Owner Occupied,5171133,15527358,950000,176000,119211,0,0,0,0,0,140
10021,206,2,Residential,Owner Occupied,6711142,20151550,1020000,208000,89959,0,0,0,2500,0,131
10021,207,2,Residential,Owner Occupied,803843,2413699,130000,24000,5979,0,0,0,0,0,23
