clean_name,agency_name,muni_av,muni_eav,Non-Residential,Other Residential,Owner Occupied,Rental,perc_rental,perc_owned,perc_nonres,perc_residential
Alsip,VILLAGE OF ALSIP,237343504,712671491,419082117,883958,252207646,40497770,0.0568252982074177,0.35389046592295914,0.5880438915999798,0.41195610840002017
Arlington Heights,VILLAGE OF ARLINGTON HEIGHTS,1164106179,3495461492,939291591,64602590,2315588232,175979079,0.05034502007896816,0.6624556549398828,0.2687174764046864,0.7312825235953135
Barrington,VILLAGE OF BARRINGTON,126052198,378496935,126775024,745728,240519823,10456360,0.027626009705996695,0.6354604245342171,0.3349433305186474,0.6650566694813527
Barrington Hills,VILLAGE OF BARRINGTON HILLS,70117588,210542084,6836485,5952940,197752659,0,0,0.9392547810061574,0.03247087171417948,0.9675291282858205
Bartlett,VILLAGE OF BARTLETT,146764612,440690214,64327351,1129304,359756621,15476938,0.03511976782856358,0.8163481047936317,0.14596954721576821,0.8540304527842317
Bedford Park,VILLAGE OF BEDFORD PARK,184370740,553609997,543181742,99584,9895046,433625,7.832680087964524e-4,0.017873676511661694,0.9811631743348016,0.018836825665198398
Bellwood,VILLAGE OF BELLWOOD,124715295,374482615,105529235,1112819,240297248,27543313,0.0735503115411646,0.6416779801647133,0.2818000910402743,0.7181999089597257
Bensenville,VILLAGE OF BENSENVILLE,8664342,26016422,26016422,0,0,0,0,0,1,0
Berkeley,VILLAGE OF BERKELEY,45357351,136194509,36977573,346895,93474221,5395820,0.039618484178389306,0.6863288519216292,0.2715056082033381,0.728494391796662
Berwyn,CITY OF BERWYN,332419873,998157078,162560162,4588987,572985886,258022043,0.25849843545366313,0.5740438039552729,0.16286030083132869,0.8371396991686713
Blue Island,CITY OF BLUE ISLAND,105338372,316299503,93393763,3401400,144701399,74802941,0.2364940200364463,0.4574822205775012,0.2952700276610931,0.7047299723389069
Bridgeview,VILLAGE OF BRIDGEVIEW,196682542,590578684,335362762,2249922,212899131,40066869,0.06784340526587648,0.36049240646145636,0.5678544977759475,0.43214550222405246
Broadview,VILLAGE OF BROADVIEW,111760254,335582516,202084231,661111,114788865,18048309,0.053782030169891214,0.34205853859204033,0.6021893911779361,0.39781060882206387
Brookfield,VILLAGE OF BROOKFIELD,169727701,509641323,49350200,5614797,402973442,51702884,0.1014495521981054,0.7907000939953215,0.09683319968934309,0.9031668003106569
Buffalo Grove,VILLAGE OF BUFFALO GROVE,140786211,422738600,68741812,93882,349838937,4063969,0.00961343250888374,0.8275538051173941,0.16261068187291153,0.8373893181270885
Burbank,CITY OF BURBANK,208515910,626110693,126266646,1475123,460194356,38174568,0.06097095677616865,0.7350047861265324,0.20166824718325008,0.79833175281675
Burnham,VILLAGE OF BURNHAM,19144564,57485356,23987505,481548,28322775,4693528,0.08164736772265967,0.4926954788276861,0.41728027221402264,0.5827197277859774
Burr Ridge,VILLAGE OF BURR RIDGE,152154638,456874676,121679202,8776089,326419385,0,0,0.7144615408712214,0.26632949557484337,0.7336705044251566
Calumet City,CITY OF CALUMET CITY,155774296,467743492,148669564,4041230,241745451,73287247,0.15668255839677186,0.5168333822590097,0.31784421706074745,0.6821557829392526
Calumet Park,VILLAGE OF CALUMET PARK,33265842,99887296,37962618,765882,49750307,11408489,0.11421361331074574,0.4980644085109682,0.38005451664243667,0.6199454833575633
Chicago,CITY OF CHICAGO,40518891617,121666077734,47623521858,1017430232,48317224474,24707901170,0.2030796227689626,0.39712979471267684,0.39142810177640375,0.6085718982235963
Chicago Heights,CITY OF CHICAGO HEIGHTS,146962533,441284524,201687048,2391734,197492895,39712847,0.08999374516927315,0.44754094979319964,0.45704536876076807,0.5429546312392319
Chicago Ridge,VILLAGE OF CHICAGO RIDGE,126233654,379041703,186845926,679317,139924918,51591542,0.13611046381352926,0.3691544146528911,0.4929429255967647,0.5070570744032352
Cicero,CITY OF CICERO,360396204,1082161644,360869285,5088545,386442205,329761609,0.30472490947017894,0.35710210867536535,0.3334707776798639,0.6665292223201361
Country Club Hills,CITY OF COUNTRY CLUB HILLS,103269775,310088097,113051438,575217,193050814,3410628,0.010998900096445817,0.6225676376091276,0.3645784507491108,0.6354215492508892
Countryside,CITY OF COUNTRYSIDE,124446315,373674927,195098753,862550,159045529,18668095,0.04995811506507634,0.4256253698284659,0.5221082253666969,0.4778917746333031
Crestwood,VILLAGE OF CRESTWOOD,139843415,419907828,220619701,882953,182671680,15733494,0.037468922822748614,0.4350280414396085,0.5254003052307946,0.4745996947692054
Deer Park,VILLAGE OF DEER PARK,213918,642330,48475,41614,552241,0,0,0.8597465477246898,0.075467438855417,0.924532561144583
Deerfield,VILLAGE OF DEERFIELD,60140188,180582942,164340902,0,0,16242040,0.08994227151310892,0,0.910057728486891,0.08994227151310896
Des Plaines,CITY OF DES PLAINES,831496724,2496735173,1067810947,21140736,1299570623,108212867,0.04334174812380071,0.5205079966244381,0.42768290307576007,0.5723170969242399
Dixmoor,VILLAGE OF DIXMOOR,15342041,46067500,26060057,454423,11643806,7909214,0.17168750203505725,0.2527553264231834,0.5656928854398438,0.43430711456015625
Dolton,VILLAGE OF DOLTON,101921188,306038718,81303419,2130114,206397448,16207737,0.052959759817056876,0.6744161305760011,0.26566383342384803,0.734336166576152
East Dundee,VILLAGE OF EAST DUNDEE,1612361,4841436,4841436,0,0,0,0,0,1,0
East Hazelcrest,VILLAGE OF EAST HAZELCREST,8690225,26094149,12278563,169020,9897114,3749452,0.14368937649585736,0.3792847967565449,0.4705485126186717,0.5294514873813283
Elgin,CITY OF ELGIN,173944186,522302159,160112915,6194513,331491053,24503678,0.046914755334181955,0.6346729518305514,0.3065522748490113,0.6934477251509887
Elk Grove Village,VILLAGE OF ELK GROVE VILLAGE,856766322,2572612371,1734768870,990186,788377527,48475788,0.018843020637872847,0.3064501811027014,0.6743219031189212,0.32567809688107885
Elmwood Park,VILLAGE OF ELMWOOD PARK,191953956,576380157,72596958,843096,410513104,92426999,0.1603577046806627,0.7122262954656158,0.12595325692310397,0.874046743076896
Evanston,CITY OF EVANSTON,1164593021,3496923555,758006395,48447223,2091496962,598972975,0.17128569314692954,0.5980962778009599,0.21676378767736604,0.783236212322634
Evergreen Park,VILLAGE OF EVERGREEN PARK,181383976,544641676,161083817,1572074,355316047,26669738,0.04896749399691551,0.6523849765033405,0.2957610922892357,0.7042389077107643
Flossmoor,VILLAGE OF FLOSSMOOR,91794463,275631220,40234589,1261595,231859736,2275300,0.008254870402561799,0.8411954785092922,0.1459725389598464,0.8540274610401536
Ford Heights,VILLAGE OF FORD HEIGHTS,6306876,18937594,10904737,1182292,5345335,1505230,0.07948369787629833,0.2822605131359348,0.5758248381499783,0.4241751618500217
Forest Park,VILLAGE OF FOREST PARK,155986053,468379306,130372165,791511,229945609,107270021,0.2290238266846059,0.490938873802422,0.2783474063220035,0.7216525936779965
Forestview,VILLAGE OF FORESTVIEW,25662593,77057066,62455557,24820,14087429,489260,0.006349320385491968,0.18281813377114567,0.8105104468939941,0.1894895531060059
Frankfort,VILLAGE OF FRANKFORT,31486,94543,0,94543,0,0,0,0,0,0
Franklin Park,VILLAGE OF FRANKLIN PARK,307696797,923921202,642219344,1035014,254602422,26064422,0.028210654700399438,0.2755672469133358,0.6951018578313781,0.3048981421686219
Glencoe,VILLAGE OF GLENCOE,311355591,934907470,51378276,10597825,868367984,4563385,0.0048811087154967325,0.9288277309411166,0.05495546634149794,0.945044533658502
Glenview,VILLAGE OF GLENVIEW,1102299495,3309874666,879534632,39017039,2284849878,106473117,0.03216832289564405,0.6903131110886602,0.2657304945818151,0.7342695054181849
Glenwood,VILLAGE OF GLENWOOD,52035728,156247736,43772467,556315,106841966,5076988,0.03249319401338398,0.683798490366606,0.28014784803025883,0.7198521519697412
Golf,VILLAGE OF GOLF,14240077,42758673,4874886,208527,37675260,0,0,0.8811138736695594,0.11400929116766556,0.8859907088323344
Hanover Park,VILLAGE OF HANOVER PARK,115546226,346950733,70272749,581659,257322882,18773443,0.054109823713789355,0.7416698035913935,0.2025438839467735,0.7974561160532265
Harvey,CITY OF HARVEY,85170624,255741658,128477318,4686644,96169256,26408440,0.10326217561317289,0.37604063707133706,0.5023714908425283,0.4976285091574717
Harwood Heights,VILLAGE OF HARWOOD HEIGHTS,103009529,309306650,96634772,465848,171102533,41103497,0.13288914738819874,0.5531809063917636,0.3124238421644022,0.6875761578355978
Hazelcrest,VILLAGE OF HAZELCREST,62656811,188139589,40369210,3956512,137930114,5883753,0.031273338223355,0.7331264766396401,0.21457052295357146,0.7854294770464285
Hickory Hills,CITY OF HICKORY HILLS,120662795,362314140,81998389,1077364,252946560,26291827,0.07256638396723904,0.6981415630093819,0.22631848980555935,0.7736815101944406
Hillside,VILLAGE OF HILLSIDE,102161988,306761812,165162760,522048,125717450,15359554,0.05006996763990949,0.4098210568661004,0.538407173054513,0.461592826945487
Hinsdale,VILLAGE OF HINSDALE,71538147,214807606,6678192,3433560,204695854,0,0,0.9529264713280218,0.03108917847164127,0.9689108215283587
Hodgkins,VILLAGE OF HODGKINS,81376560,244349400,227420745,118478,9320596,7489581,0.030651112709914573,0.03814454220063565,0.9307194738354176,0.06928052616458236
Hoffman Estates,VILLAGE OF HOFFMAN ESTATES,615133630,1847061568,625226875,7126518,1148324427,66383748,0.03594019233039448,0.6217033838473542,0.33849812363157783,0.6615018763684222
Homer Glen,VILLAGE OF HOMER GLEN,63637,191082,191082,0,0,0,0,0,1,0
Hometown,CITY OF HOMETOWN,21515598,64604867,7390713,2586731,54421708,205715,0.0031842028248429024,0.8423778350940649,0.11439870311937954,0.8856012968806205
Homewood,VILLAGE OF HOMEWOOD,156840932,470946346,147400636,3310951,304091835,16142924,0.03427762873013139,0.6457037783238263,0.31298817211759405,0.687011827882406
Indian Head Park,VILLAGE OF INDIAN HEAD PARK,59648967,179107950,15107885,487969,162207045,1305051,0.007286393485046309,0.9056384431846828,0.0843507225670329,0.9156492774329671
Inverness,VILLAGE OF INVERNESS,159557199,479102384,18315486,1972728,458814170,0,0,0.9576536985046603,0.038228751539670904,0.9617712484603291
Justice,VILLAGE OF JUSTICE,74665092,224196869,30779154,897834,139152777,53367104,0.23803679434970165,0.6206722583623592,0.13728627940829985,0.8627137205917002
Kenilworth,VILLAGE OF KENILWORTH,101609688,305103427,8550023,3600533,289735049,3217822,0.010546659641420547,0.9496289564784207,0.028023359436077394,0.9719766405639226
La Grange,VILLAGE OF LA GRANGE,276977764,831681113,125235544,3002283,652701237,50742049,0.06101142397831511,0.78479747441373,0.1505812047940543,0.8494187952059458
La Grange Park,VILLAGE OF LA GRANGE PARK,156511637,469957471,35523822,9636495,391118669,33678485,0.0716628356356101,0.8322426881899703,0.07558943987933751,0.9244105601206625
Lansing,VILLAGE OF LANSING,169972007,510374937,166394182,2305721,304711293,36963741,0.07242467903552247,0.5970342015442659,0.3260234191319626,0.6739765808680374
Lemont,VILLAGE OF LEMONT,268519890,806284609,156401550,1664580,631699809,16518670,0.020487393428590177,0.7834700079212352,0.1939780919221292,0.8060219080778708
Lincolnwood,VILLAGE OF LINCOLNWOOD,252883680,759333847,279738196,12748879,455632170,11214602,0.01476900054476302,0.6000419601998855,0.3683994821318692,0.6316005178681308
Lynwood,VILLAGE OF LYNWOOD,61435907,184473590,41903673,1035647,123687140,17847130,0.09674626053518014,0.670486978650982,0.22715269432334462,0.7728473056766554
Lyons,VILLAGE OF LYONS,80750330,242468959,79594470,861843,125665296,36347350,0.14990516786109517,0.5182737473624407,0.328266638040047,0.671733361959953
Markham,CITY OF MARKHAM,57330163,172145145,76751710,1533313,93247727,612395,0.0035574340478786086,0.541680841478277,0.4458546304050573,0.5541453695949428
Matteson,VILLAGE OF MATTESON,179282274,538330904,228064089,2662497,287071209,20533109,0.03814217026633864,0.5332616182109433,0.4236503743429896,0.5763496256570104
Maywood,VILLAGE OF MAYWOOD,120106151,360642733,71690032,2025032,232209328,54718341,0.1517245073672398,0.6438763539427814,0.19878407476465082,0.8012159252353492
Mc Cook,VILLAGE OF MC COOK,55249910,165898898,160395886,6960,3667287,1828765,0.011023370390320496,0.022105553708982442,0.966829122638295,0.03317087736170499
Melrose Park,VILLAGE OF MELROSE PARK,268506633,806244938,504421830,2653231,194164157,105005720,0.13024047042140932,0.24082527262949463,0.6256434071403745,0.3743565928596255
Merrionette Park,VILLAGE OF MERRIONETTE PARK,18568676,55756160,29845732,30968,21452301,4427159,0.07940215036329618,0.38475212424958966,0.5352903069364892,0.46470969306351084
Midlothian,VILLAGE OF MIDLOTHIAN,88611137,266072583,55363194,1704673,190586459,18418257,0.06922267898605697,0.7162949930846502,0.2080755310290651,0.7919244689709349
Morton Grove,VILLAGE OF MORTON GROVE,354849898,1065507698,318138042,3386545,733290011,10693100,0.010035685354569817,0.6882071451725917,0.29857883016439735,0.7014211698356027
