clean_name,agency_name,muni_av,muni_eav,Commercial,Industrial,Other Residential,Owner Occupied,Rental,Vacant,perc_rental,perc_owned,perc_commercial,perc_industrial,perc_nonres,perc_residential
Alsip,VILLAGE OF ALSIP,237343504,712671491,132343103,280810844,184110,252877543,40527721,5928170,0.05686732458335421,0.35483044599576946,0.18570000999240197,0.3940256451201301,0.579725655112532,0.41169777057912366
Arlington Heights,VILLAGE OF ARLINGTON HEIGHTS,1164106179,3495461492,767379852,161386451,247791,2378586741,177335369,10525288,0.050733034652467,0.6804785995908778,0.21953606233577125,0.046170284344245326,0.2657063466800166,0.7312116342433448
Barrington,VILLAGE OF BARRINGTON,126052198,378496935,115355388,10107170,23907,241235497,10462507,1312466,0.02764225026022998,0.6373512562261567,0.3047723173768897,0.026703439487561504,0.3314757568644512,0.6649935064863867
Barrington Hills,VILLAGE OF BARRINGTON HILLS,70117588,210542084,49761,0,406339,203299260,0,6786724,0,0.9655991625883213,2.3634704784246364e-4,0,0,0
Bartlett,VILLAGE OF BARTLETT,146764612,440690214,33786926,24544021,75695,360629678,15657490,5996404,0.035529470595414676,0.8183292175396479,0.07666820121401652,0.05569449971947868,0.1323627009334952,0.8538586881350626
Bedford Park,VILLAGE OF BEDFORD PARK,184370740,553609997,149094377,389271637,0,9994630,433625,4815728,7.832680087964524e-4,0.01805355765640193,0.26931301423012416,0.7031513865527251,0.9724644007828493,0.018836825665198384
Bellwood,VILLAGE OF BELLWOOD,124715295,374482615,43636747,60776184,45488,241345659,27562233,1116304,0.0736008345807989,0.6444776054557299,0.11652542802287363,0.16229373959055482,0.27881916761342845,0.7180784400365288
Bensenville,VILLAGE OF BENSENVILLE,8664342,26016422,414652,25269322,0,0,0,332448,0,0,0.015938087105136903,0.9712835223844386,0.9872216094895755,0
Berkeley,VILLAGE OF BERKELEY,45357351,136194509,9544189,27228558,24458,93671364,5521114,204826,0.04053844784594069,0.687776362555116,0.07007763433399507,0.19992405126993776,0.27000168560393284,0.7283148104010567
Berwyn,CITY OF BERWYN,332419873,998157078,157351117,4709376,440662,576825753,258330501,499669,0.2588074629672666,0.5778907605962996,0.1576416382432345,0.004718071036911487,0.16235970928014598,0.8366982235635663
