agency_name,median_av,nochange_av,nochange_ratio,cur_comp_TC_rate,new_comp_TC_rate,current_taxable_eav,new_taxable_eav,muni_median_av,muni_median_eav,muni_mean_av,muni_mean_eav,av,eav,equalized_AV,pins_in_muni,current_exemptions,HO_exemps,final_tax_to_dist,final_tax_to_tif,tax_amt_exe,tax_amt_pre_exe,tax_amt_post_exe,rpm_tif_to_cps,rpm_tif_to_rpm,rpm_tif_to_dist,tif_share,total_bill_current,median_eav,avg_av,avg_eav,C2_pins_in_muni,C2_current_exemptions,C2_HO_exemps,rate_change,nobillchange_propertyEAV
CITY OF BERWYN,19030,28548,1.5001576458223858,13.927533547351524,12.302777307512283,798149015.2011787,903555913.2011787,19078,57286,21343,64087,332419873,998157078,998157078,15575,165848989,105406898,111162471.85,4813287.29,23193437.88800637,139169196.12,115975759.14,0,0,0,0.013045128874575344,115975759.14,57141,18892,56728,14081,165838989,105396898,1.6247562398392414,85721
CITY OF BLUE ISLAND,10688,25293,2.366485778443114,15.315241310076546,13.29866546091566,244847559.76602092,281975621.7660209,9828,29511,13219,39691,105338372,316299503,316299503,7969,52455150,37128062,37498994.62,3094287.38,7993015.053036922,48586296.42,40593282,0,0,0,0.028084333900576984,40593282,32093,10903,32738,6107,52375467,37108062,2.016575849160887,75947
CITY OF BURBANK,17199,27088,1.5749752892610036,12.288955479795447,10.778089258557221,502154693.71223706,572546443.7122371,17188,51610,20908,62781,208515910,626110693,626110693,9973,112532459,70391750,61709566.75,1403579.83,13829113.373412019,76942258.98,63113146.58,0,0,0,0.0042847780317832145,63113146.58,51643,17549,52695,9319,112532459,70391750,1.510866221238226,81337
CITY OF CALUMET CITY,7378,19031,2.5794253185145024,25.81480631592571,21.297228790878666,359327560.7215172,435548280.7215172,7024,21091,10081,30269,155774296,467743492,467743492,15453,102654891,76220720,92759713.84,2326186.8,26580728.204775773,121666629.35,95085900.64,0,0,0,0.014079732328233611,95085900.64,22156,8482,25470,11456,102351813,76220720,4.517577525047045,57143
CITY OF CHICAGO,21119,84228,3.988257019745253,6.7287594668992705,6.462706459750722,97149448822.43416,101148841826.43416,20000,60054,45900,137825,40518891617,121666077734,121666077734,882760,6839135255,3999393004,6536952734.68,1197629344.1200001,458877011.1851899,8193448128.39,7734582078.8,98902408.37452525,73056434.7161399,18264108.679034974,0.11863077291075062,7734582078.8,63414,29123,87446,732952,6838385728,3998997904,0.26605300714854874,252910
CITY OF CHICAGO HEIGHTS,8286,24361,2.9400193096789766,20.97208505974687,18.104996080264605,354965653.09514594,411177657.09514594,5985,17968,10391,31194,146962533,441177222,441284524,14143,75926867,56212004,74443698.7,3306386.5300000003,15883127.74772858,93633212.88,77750085.23,0,0,0,0.00501609934475373,77750085.23,24877,8367,25112,9118,75908867,56202004,2.867088979482265,73148
CITY OF COUNTRY CLUB HILLS,9952,18634,1.872387459807074,24.78453591505309,20.355035687583694,194633733.7738957,236988371.7738957,9843.5,29557.5,16126,48405,103269775,309985717,310088097,6404,60648614,42354638,48239067.65,12894939.31,15016863.28508441,76150869.95,61134006.96,0,0,0,0.0031530242435705807,61134006.96,29884,10890,32681,5964,60648614,42354638,4.429500227469397,55953
CITY OF COUNTRYSIDE,24084,78472,3.258262747051985,7.88183376052728,7.547330968034369,341565860.0264489,356704289.0264489,24674,74089,45568,136827,124446315,373674927,373674927,2731,24803815,15138429,26921653.27,669326.4400000001,1950763.325837382,29541742.77,27590979.71,0,0,0,0.005029695183870377,27590979.71,72317,24872,74682,2225,24803815,15138429,0.3345027924929109,235628
CITY OF DES PLAINES,19330,46995,2.431195033626487,10.074636164224817,9.360691522569219,2194490905.042141,2361865828.042141,19282.5,57899.5,34413,103333,831496724,2496735173,2496735173,24162,259975207,167374923,221086974.34,4340153.19,26145647.251103252,251570984.03,225427127.53,0,0,0,0.0023867271836010675,225427127.53,58042,20712,62192,21677,259975207,167374923,0.7139446416555977,141112
CITY OF ELGIN,15559,31621,2.0323285558197828,11.479743681388818,10.270696747370039,446736286.2216419,499325234.2216419,15421,46305,22204,66669,173944186,522287515,522302159,7834,68588480,52588948,51284180.59,980320.17,7871354.925415732,60133996.2,52264500.76,0,0,0,0.002032142691124585,52264500.760000005,46719,16294,48924,6979,68588480,52588948,1.2090469340187795,94949
CITY OF EVANSTON,28661,73748,2.573113289836363,8.883143923197935,8.481994105537424,3227904788.3170366,3380566226.3170366,27795,83460,46976,141056,1164593021,3496923555,3496923555,24791,227438408,152661438,286739428.05,4163347.16,20188962.194228433,311091737.17,290902775.21,0,0,0,0.005362966522258279,290902775.21000004,86060,35342,106121,22043,226428408,152651438,0.40114981766051017,221442
CITY OF HARVEY,4155,20743,4.992298435619735,26.90418480306727,22.584671210342947,203424316.77677304,242330975.77677304,3851,11563,5937,17828,85170624,255741658,255741658,14345,45848696,38906659,54729654.12,2480878.66,12318815.421558542,69529347.4,57210532.78,0,0,0,0.022402213235707562,57210532.78,12476,4345,13047,9383,45848696,38906659,4.319513592724324,62285
CITY OF HICKORY HILLS,19947,32036,1.6060560485286008,12.003339140534262,10.7554940958573,306931655.00579345,342541655.00579345,19904,59766,23357,70134,120662795,362314140,362314140,5166,55390019,35610000,36842047.48,167066.11000000002,6649402.174887445,43658516.41,37009113.59,0,0,0,8.012603849198607e-4,37009113.589999996,59895,18984,57003,4681,55390019,35610000,1.2478450446769624,96193
CITY OF HOMETOWN,10946,15735,1.437511419696693,12.562,9.903274385993347,46262264.607546575,58682264.607546575,10941,32853,12784,38387,21515598,64604867,64604867,1683,18342593,12420000,5811465.68,0,2304196.0612798077,8115662.14,5811465.68,0,0,0,0,5811465.68,32866,11576,34760,1646,18342593,12420000,2.658725614006652,47248
CITY OF MARKHAM,5265,17597,3.342260208926876,26.517209380586813,21.498805362980743,120267555.57976536,148341263.57976538,4198,12605,6029,18103,57330163,172141750,172145145,9509,36651937,28073708,31891599.53,4215747.2299999995,9836484.143920602,45942177.25,36107346.76,0,0,0,0.04090130461561037,36107346.76,15809,5908,17738,5365,36631112,28053708,5.01840401760607,52840
CITY OF NORTH LAKE,15774,54873,3.4786991251426396,13.585376761433869,12.760855908716628,414065945.2278808,440820107.2278808,15771,47356,37468,112505,151557381,455081275,455081275,4045,39651754,26754162,56252418.7,0,5392262.030868723,61642378.94,56252418.7,0,0,0,0,56252418.7,47365,14627,43921,3479,39171754,26554162,0.8245208527172405,164767
CITY OF OAK FOREST,17096,24154,1.4128451099672439,14.328193087903832,12.35262163280642,475547257.92691195,551602172.926912,17002,51050.5,18584,55796,197885925,594115956,594192068,10648,108682274,76054915,68137329.34,1636755.5,15503385.924354324,85274257.76,69774084.84,0,0,0,0.012341590937733566,69774084.84,51334,16708,50162,9681,108672274,76044915,1.9755714550974126,72527
CITY OF PALOS HEIGHTS,24841,36437,1.466808904633469,10.996777758007116,9.99166614955346,432544461.1751444,476056269.1751444,24658,74041,30395,91267,170819396,512919446,512919446,5620,71624362,43511808,47565953.1,1131296.36,7880299.185381278,56577548.93,48697249.46,0,0,0,0.0019385260417055159,48697249.46,74590,25487,76531,5079,71624362,43511808,1.0051116084536567,109409
CITY OF PALOS HILLS,16222,26805,1.6523856491184812,10.902124714249428,9.54759925113545,371779747.0893312,424524434.0893312,14737,44251,19080,57292,150235875,451113342,451113342,7874,85533565,52744687,40531891.69,0,9339364.251471229,49871255.93,40531891.69,0,0,0,0,40531891.69,48710,17096,51334,7150,85533565,52744687,1.354525463113978,80487
CITY OF PARK RIDGE,31602,51517,1.630181634073793,10.119997491280671,9.465780970378272,1656929977.3490376,1771446779.3490376,31304,93997,38519,115660,629508627,1890225594,1890225594,16343,180913625,114516802,167681272.14,5206629.4,18308635.64435826,191186471.63,172887901.54,0,0,0,0.015156904660921434,172887901.54,94891,35064,105286,15265,180913625,114516802,0.6542165209023985,154689
