clean_name,rank,has_HO_exemp,median_AV,median_EAV,mean_bill_cur,mean_bill_new,mean_change,perceived_savings,cur_comp_TC_rate,new_comp_TC_rate,pincount,rate_change
Alsip,q25,0,14465,43434,5548,5087,-461,0,12.84,11.78,66,-1.0600000000000005
Arlington Heights,q25,0,14182,42584,4399,4105,-294,0,10.27,9.59,6,-0.6799999999999997
Bedford Park,q25,0,14470,43449,6310,6140,-170,0,14.53,14.14,4,-0.3899999999999988
Bellwood,q25,0,14398,43232,7477,6176,-1301,0,17.3,14.3,124,-3
Berkeley,q25,0,14322,43005,6272,5382,-890,0,14.59,12.52,1,-2.0700000000000003
Berwyn,q25,0,14342,43065,5866,5128,-738,0,13.63,11.92,45,-1.7100000000000009
Blue Island,q25,0,14208,42662,6465,5484,-981,0,15.08,12.79,39,-2.290000000000001
Bridgeview,q25,0,14370,43148,5774,5279,-495,0,13.35,12.21,40,-1.1399999999999988
Broadview,q25,0,14607,43860,5342,5015,-327,0,12.25,11.5,32,-0.75
Brookfield,q25,0,14523,43608,5306,4682,-624,0,12.24,10.8,8,-1.4399999999999995
Burbank,q25,0,14314,42982,5277,4595,-682,0,12.29,10.7,94,-1.5899999999999999
Calumet City,q25,0,14318,42993,11079,8664,-2415,0,25.87,20.24,19,-5.630000000000003
Calumet Park,q25,0,14196,42624,8792,7869,-923,0,20.63,18.46,2,-2.169999999999998
Chicago,q25,0,14000,42038,2824,2461,-363,0,6.71,5.85,2611,-0.8600000000000003
Chicago Heights,q25,0,14358,43113,8840,7228,-1612,0,20.56,16.81,23,-3.75
Chicago Ridge,q25,0,14160,42518,5340,4676,-664,0,12.5,10.94,27,-1.5600000000000005
Cicero,q25,0,14288,42903,6178,5273,-905,0,14.38,12.27,107,-2.110000000000001
Country Club Hills,q25,0,14343,43068,10830,8544,-2286,0,25.07,19.78,39,-5.289999999999999
Countryside,q25,0,14634,43940,3492,3366,-126,0,7.95,7.66,2,-0.29000000000000004
Crestwood,q25,0,14340,43059,4731,4388,-343,0,10.96,10.16,17,-0.8000000000000007
Des Plaines,q25,0,14494,43521,4443,4104,-339,0,10.24,9.46,19,-0.7799999999999994
Dixmoor,q25,0,14314,42981,7628,6542,-1086,0,17.75,15.22,1,-2.5299999999999994
Dolton,q25,0,14303,42948,10828,8563,-2265,0,25.26,19.98,15,-5.280000000000001
East Hazelcrest,q25,0,14020,42098,8956,7589,-1367,0,21.27,18.03,2,-3.2399999999999984
Elmwood Park,q25,0,14189,42605,5366,4758,-608,0,12.51,11.09,5,-1.42
Evanston,q25,0,14268,42843,3799,3624,-175,0,8.85,8.44,15,-0.41000000000000014
Evergreen Park,q25,0,14310,42968,5473,4820,-653,0,12.73,11.21,66,-1.5199999999999996
Flossmoor,q25,0,14472,43456,7775,6842,-933,0,17.94,15.78,16,-2.160000000000002
Ford Heights,q25,0,14264,42832,7116,7068,-48,0,16.61,16.5,2,-0.10999999999999943
Forest Park,q25,0,14360,43117,4898,4513,-385,0,11.34,10.45,8,-0.8900000000000006
Forestview,q25,0,14258,42812,5679,5028,-651,0,13.26,11.74,2,-1.5199999999999996
Franklin Park,q25,0,14273,42858,5334,4950,-385,0,12.99,12.06,21,-0.9299999999999997
Glencoe,q25,0,14810,44470,4246,4135,-111,0,9.55,9.3,1,-0.25
Glenview,q25,0,14090,42308,3642,3405,-237,0,8.53,7.97,7,-0.5599999999999996
Glenwood,q25,0,14219,42695,8102,6151,-1951,0,18.9,14.34,49,-4.559999999999999
Harvey,q25,0,14350,43090,10946,9420,-1526,0,25.32,21.76,6,-3.5599999999999987
Harwood Heights,q25,0,14154,42500,3821,3479,-341,0,8.97,8.17,3,-0.8000000000000007
Hazelcrest,q25,0,14324,43010,10679,8103,-2576,0,24.86,18.86,8,-6
Hickory Hills,q25,0,14277,42870,5196,4711,-485,0,12.12,10.99,13,-1.129999999999999
Hillside,q25,0,14430,43328,6077,5326,-751,0,14.02,12.29,2,-1.7300000000000004
Hoffman Estates,q25,0,14698,44134,4866,4371,-495,0,11.16,10.02,6,-1.1400000000000006
