clean_name,rank,has_HO_exemp,median_AV,median_EAV,mean_bill_cur,mean_bill_new,mean_change,perceived_savings,cur_comp_TC_rate,new_comp_TC_rate,pincount
Chicago,q25,0,14000,42038,2824,2461,-363,0,6.71,5.85,2611
Dolton,q25,0,14303,42948,10828,8563,-2265,0,25.26,19.98,15
Glencoe,q25,0,14810,44470,4246,4135,-111,0,9.55,9.3,1
Chicago,q50,0,21000,63057,4222,3697,-525,0,6.71,5.87,1791
Dolton,q50,0,20677,62087,14286,12133,-2153,0,23.01,19.54,1
Glencoe,q50,0,20943,62886,5998,5841,-157,0,9.55,9.3,3
Chicago,q75,0,32000,96086,6415,5897,-519,0,6.7,6.16,903
Glencoe,q75,0,31666,95082,9066,8828,-237,0,9.55,9.3,4
Chicago,q25,1,14000,42038,1714,2062,348,671.599999292102,6.71,5.82,7031
Dolton,q25,1,14167,42539,6301,6916,614,2791.4999299841675,23.85,19,97
Chicago,q50,1,21000,63057,3133,3320,187,671.599999292102,6.71,5.86,7283
Glencoe,q50,1,21555,64723,5679,5917,239,477.3999868223294,9.55,9.3,3
Chicago,q75,1,32000,96086,5123,5319,196,671.599999292102,6.7,6.16,4473
Glencoe,q75,1,31342,94111,8194,8573,379,716.0999802334942,9.55,9.3,5
