clean_name,agency_num,exemption_level,total_billed,av,eav,nonTIF_EAV_post_exemps,TIF_increment_EAV,Exempt_EAV,Total_EAV,final_tax_to_dist,final_tax_to_tif,tax_amt_exe,tax_amt_pre_exe,tax_amt_post_exe,pin_count,tax_rate_current,nonTIF_EAV_pre_exemps,taxrate_new,taxrate_change
Alsip,030010000,20000,72683803.63,237343504,712667700,559836967.7513478,3182098.688470907,160091615.9887946,723110682.4286133,72275312.47,408491.16,20664270.397299677,91980952.1,72683803.63,7228,0.12910064292521167,719928583.7401423,0.10039233627107619,0.028708306654135485
Arlington Heights,030020000,20000,280543001.78,1164106179,3495461492,2712424568.8607826,33797644.042624,764589267.502432,3510811480.4058385,277238757.47,3304244.31,77988990.89953211,356970987.39,280543001.78,30015,0.10221067920293916,3477013836.3632145,0.07973472943092402,0.02247594977201514
Barrington,030030000,20000,27177387.58,126052198,378496935,315209862.07882905,14895799.981761903,48582304.90988423,378687966.97047514,25942405.93,1234981.65,4000387.4368648664,31162064.1,27177387.58,2663,0.08230201224957934,363792166.98871326,0.0713110624253899,0.010990949824189439
Barrington Hills,030040000,20000,17213842.59,70117588,210269989,191455154.53050625,0,18814919.10081485,210270073.6313211,17213842.59,0,1699556.7484245424,18913398.73,17213842.59,1336,0.08991057269893021,210270073.6313211,0.08186539478833324,0.008045177910596973
Bartlett,030050000,20000,39626209.79,146764612,440624846,305839820.9012928,4296879.8383838385,133037227.1390945,443173927.8787711,39094470.91,531738.88,16571628.013865316,55882461.99,39626209.79,5831,0.12782662112079057,438877048.0403873,0.08907841292808359,0.03874820819270698
Bedford Park,030060000,20000,70872711.54,184370740,553609997,461671714.3930991,85270381.95180146,6930183.4950155215,553872279.8399161,61198891.68,9673819.86,1006955.6618257551,71841556.77,70872711.54,1078,0.13255932683779506,468601897.88811463,0.13059889845903294,0.001960428378762119
Bellwood,030070000,20000,37362135.23,124715295,374482615,180517367.09463534,35352439.920872785,173188726.87609488,389058533.891603,31274722.78,6087412.45,30031402.967003826,64869835.88,37362135.23,6742,0.17325049264431372,353706093.9707302,0.0884200846779531,0.08483040796636061
Bensenville,030080000,20000,3051321.88,8664342,26016422,26016407.11264659,0,0,26016407.11264659,3051321.88,0,0,3051321.88,3051321.88,72,0.11728452229350111,26016407.11264659,0.11728452229350111,0
Berkeley,030090000,20000,12359671.19,45357351,136194509,79108745.45774873,5720199.633877847,52757706.930682935,137586652.0223095,11523008.64,836662.55,7658264.173125697,19814749.78,12359671.19,2452,0.14566036376034222,131866452.38843167,0.0873839284464658,0.058276435313876426
Berwyn,030100000,20000,87597979.21,332419873,998157078,595416732.529349,33817685.112534195,379091884.3726629,1008326302.0145462,82877251.23,4720727.98,52984664.13158676,139170159.15,87597979.21,15575,0.1391920090621821,974508616.9020119,0.08504517024535804,0.054146838816824056
Blue Island,030110000,20000,31355515.85,105338372,316299503,183524346.99993056,19589565.22822477,132715528.3123709,335829440.5405263,28344060.21,3011455.64,20220770.960386578,48586415.88,31355515.85,7969,0.15444305168954353,316239875.31230146,0.08962835626597986,0.06481469542356368
Bridgeview,030120000,20000,62246005.67,196682542,590578684,442572712.15903556,31607199.204947416,120832629.89365228,595012541.2576352,57896139.02,4349866.65,15701075.218516065,77373868.92,62246005.67,5302,0.1308172361950671,563405342.0526879,0.10276107572758111,0.02805616046748599
Broadview,030130000,20000,32362744.27,111760254,335582516,258060408.1476682,8400654.600463064,73964674.93233232,340425737.6804636,31352465.02,1010279.25,9157475.374186559,40931149.4,32362744.27,3306,0.12149273592584332,332025083.0800005,0.09442800143037901,0.027064734495464315
Brookfield,030140000,20000,39581786.99,169727701,509641323,312121434.65309167,5688369.486052514,194869284.33661455,512679088.47575873,38907631.78,674155.21,24493445.175495278,63701496.46,39581786.99,8821,0.1246554304200351,506990718.9897062,0.07674229590934577,0.047913134510689334
Buffalo Grove,030150000,20000,32251064.81,140786211,422738600,274055803.08575493,81630.8009802562,157085934.20245707,431223368.0891923,32241469.7,9595.11,18492219.079903483,49744619.85,32251064.81,6107,0.11764563762917768,431141737.288212,0.07478160175999626,0.042864035869181416
Burbank,030160000,20000,45718971.46,208515910,626110693,360782050.5081286,11253545.935389373,263034690.9300267,635070287.3735447,44336023.2,1382948.26,32324333.168390978,76942871.35,45718971.46,9973,0.12288866127779018,623816741.4381553,0.0710721919674473,0.05181646931034288
Burnham,030170000,20000,8359696.46,19144564,57485356,34505740.97099413,0,30796225.391205493,65301966.36219962,8359696.46,0,7433422.563012452,13904460.63,8359696.46,2090,0.24226972743542138,65301966.36219962,0.12801599899201585,0.11425372844340553
Burr Ridge,030180000,20000,29820719.6,152154638,456866929,409875630.0530863,0,47222261.4821384,457097891.5352247,29820719.6,0,3418702.293835125,33223146.43,29820719.6,2234,0.07275553219921292,457097891.5352247,0.06523924120464242,0.007516290994570504
Calumet City,030190000,20000,71324198.91,155774296,467743492,263745953.19217375,8792511.020070769,261216910.26766062,533755374.4799052,69101370.73,2222828.18,67690322.97053906,121667337.51,71324198.91,15453,0.26199973836053714,524962863.45983434,0.13163096961674328,0.13036876874379386
Calumet Park,030200000,20000,12437183.72,33265842,99887296,56749107.09783768,3549466.1592165227,57618044.38553927,117916617.64259347,11705070.83,732112.89,11884297.83496133,20603029.07,12437183.72,3234,0.20626,114367151.48337695,0.10234644019879528,0.10391355980120472
Chicago,030210000,20000,7252757527.489999,40518891617,121666077734,90414246763.20177,17233004135.01074,14869018142.108416,122516269040.32095,6086729416.559999,1166028110.93,997779877.0514776,8193449069.319997,7252757527.489999,882760,0.06732046811716927,105283264905.31018,0.05781288623632912,0.009507581880840152
Chicago Heights,030220000,20000,62948717.38,146962533,441177222,279409972.32017,14017279.370747175,192388239.57535824,485815491.2662754,59643944.55,3304772.83,40316716.08090256,93633743.22,62948717.38,14143,0.21346390772930346,471798211.8955282,0.12641833530985733,0.08704557241944613
Chicago Ridge,030230000,20000,36629835.07,126233654,379041703,276254232.2141968,16742514.776470548,96727165.36394073,389723912.35460806,34439373.89,2190461.18,12078580.639329258,47378480.94,36629835.07,4680,0.12466550689184391,372981397.5781375,0.09233536608963225,0.032330140802211665
Cicero,020060000,20000,102053678.76,360396204,1082161644,552254699.081803,157634552.1702838,392986656.5509775,1102875907.8030643,79392135.54,22661543.22,56495761.74576854,155572397.88,102053678.76,17296,0.14376000000000003,945241355.6327806,0.08399139020621023,0.0597686097937898
Country Club Hills,030240000,20000,45807489.84,103269775,309985717,133843861.65551308,53432561.89063275,145949566.41309518,333225989.95924103,32912550.53,12894939.31,36172495.88128864,76151244.92,45807489.839999996,6404,0.24590257724863188,279793428.0686083,0.11763160685078528,0.1282709703978466
Countryside,030250000,20000,25433296.91,124446315,373674927,313095500.3664226,8300179.067460317,55863837.966378726,377259517.40026164,24763970.47,669326.4400000001,4395831.660171307,29541757.14,25433296.91,2731,0.07909398391550877,368959338.33280134,0.0671184271467413,0.011975556768767479
Crestwood,030260000,20000,33579687.02,139843415,419903773,290608528.677371,16424787.045252886,130047337.67200445,437080653.39462835,31728613.52,1851073.5,14242901.354002733,45987525.64,33579687.02,6202,0.10917991176791857,420655866.3493755,0.07542653284584844,0.03375337892207013
Deer Park,030270000,20000,43395.3,213918,642330,402329.8720563694,0,239999.99368616863,642329.865742538,43395.3,0,25886.39931899015,69281.7,43395.3,17,0.10786,642329.865742538,0.06755921266378408,0.04030078733621592
Deerfield,030280000,20000,15897800.65,60140188,180582942,180582918.91742384,0,0,180582918.91742384,15897800.65,0,0,15897800.65,15897800.65,67,0.08803601550637065,180582918.91742384,0.08803601550637065,0
