year,nbhd_code,exe_total,township,nbhd
2021,10012,12206836,10,012
2021,NA,25645660,NA,NA
2021,10021,7171042,10,021
2021,10011,2161826,10,011
2021,10014,1206640,10,014
2021,10024,7922252,10,024
2021,10031,8692761,10,031
2021,10022,1870746,10,022
2021,10030,1521236,10,030
2021,10023,8512901,10,023
2021,10040,8755917,10,040
2021,10025,516448,10,025
2021,29022,32866319,29,022
2021,29050,14926932,29,050
2021,29130,868000,29,130
2021,29011,8470032,29,011
2021,29120,1326000,29,120
2021,29013,4331316,29,013
2021,29041,6887885,29,041
2021,29084,14039007,29,084
2021,29110,2228045,29,110
2021,29170,4553407,29,170
2021,29070,81544471,29,070
2021,29043,11447144,29,043
2021,29060,54639662,29,060
2021,29100,42412757,29,100
2021,29180,2935547,29,180
2021,29140,2357588,29,140
2021,29031,5525056,29,031
2021,29033,31907652,29,033
2021,29032,12277591,29,032
2021,29042,6103159,29,042
2021,29083,17272933,29,083
2021,29080,26722758,29,080
2021,29090,12766359,29,090
2021,29082,6534714,29,082
2021,27100,8979573,27,100
2021,38013,51800872,38,013
2021,38100,4469645,38,100
2021,38023,16229944,38,023
2021,38021,0,38,021
2021,38053,14961823,38,053
2021,38051,20266900,38,051
2021,38012,24207238,38,012
2021,38011,12965750,38,011
2021,38027,7413943,38,027
2021,38031,55083850,38,031
2021,38014,10238098,38,014
2021,38040,74800179,38,040
2021,38026,5308777,38,026
2021,38048,3700300,38,048
2021,38022,11732397,38,022
2021,38082,16342638,38,082
2021,38999,0,38,999
2021,38090,17763054,38,090
2021,38056,18196532,38,056
2021,38045,7691463,38,045
2021,38055,691691,38,055
2021,38041,8183467,38,041
2021,38071,15277024,38,071
2021,38052,15041433,38,052
2021,38070,67200139,38,070
2021,38015,2915032,38,015
2021,38050,29857509,38,050
2021,38081,32236762,38,081
2021,38110,4814388,38,110
2021,38010,49735995,38,010
2021,38072,18295265,38,072
2021,38032,9551990,38,032
2021,38080,24647948,38,080
2021,23010,4720651,23,010
2021,25052,42859636,25,052
2021,25072,22055529,25,072
2021,25320,980118,25,320
2021,25061,7980553,25,061
2021,25310,174000,25,310
2021,25250,2670624,25,250
2021,25230,1671108,25,230
2021,25270,4009700,25,270
2021,25021,24542051,25,021
2021,25010,16746956,25,010
2021,25350,5620181,25,350
2021,25132,27280544,25,132
2021,25023,6290439,25,023
2021,25300,1010000,25,300
2021,25082,1458378,25,082
2021,23011,4441510,23,011
2021,25190,1958999,25,190
2021,25200,28180397,25,200
2021,25090,7286721,25,090
2021,25160,35979810,25,160
2021,25220,770000,25,220
2021,25280,2731217,25,280
2021,25051,6633333,25,051
2021,25430,14850783,25,430
2021,25210,5023671,25,210
2021,25420,1416061,25,420
2021,25102,30769047,25,102
2021,25110,3933471,25,110
2021,25100,10142811,25,100
2021,25011,29620028,25,011
2021,25400,2704407,25,400
2021,25260,14315813,25,260
2021,25240,346400,25,240
2021,25131,14513464,25,131
2021,25140,3705258,25,140
2021,25180,7951587,25,180
2021,23170,4109363,23,170
2021,23171,6835603,23,171
2021,23021,6832059,23,021
2021,23043,5563876,23,043
2021,23041,7649884,23,041
2021,23042,2394010,23,042
2021,23022,16907439,23,022
2021,23080,5528416,23,080
2021,23050,3356857,23,050
2021,23120,28145041,23,120
2021,23045,2525339,23,045
2021,23044,6076809,23,044
2021,23091,4116283,23,091
2021,23132,8375430,23,132
2021,23141,8990518,23,141
2021,23110,4584604,23,110
2021,23092,14833441,23,092
2021,23100,13705768,23,100
2021,23150,25020834,23,150
2021,23093,21165883,23,093
2021,17011,11011664,17,011
2021,17120,19239060,17,120
2021,23094,8937751,23,094
2021,17050,2682887,17,050
2021,17042,8238602,17,042
2021,17112,8270156,17,112
2021,18030,5089341,18,030
2021,18035,11625930,18,035
2021,18090,20888574,18,090
2021,18040,5309646,18,040
2021,18011,33161514,18,011
2021,18015,14879302,18,015
2021,18014,6616282,18,014
2021,18010,43293882,18,010
2021,18020,55163282,18,020
2021,18080,2953900,18,080
2021,18012,24299456,18,012
2021,18999,0,18,999
2021,18019,14948867,18,019
2021,18013,28630191,18,013
2021,18070,18263517,18,070
2021,18060,4764618,18,060
2021,18075,2230373,18,075
2021,18018,2208815,18,018
2021,18082,5886359,18,082
2021,18050,11676870,18,050
2021,35100,3206988,35,100
2021,35140,1201365,35,140
2021,35170,17176221,35,170
2021,35011,16810632,35,011
2021,35080,17308923,35,080
2021,35109,30474584,35,109
2021,35160,2075724,35,160
2021,35035,1124642,35,035
2021,35115,3341066,35,115
2021,35111,1287060,35,111
2021,35150,2552629,35,150
2021,35020,46962776,35,020
2021,35116,6436006,35,116
2021,35117,3055922,35,117
2021,35103,3492104,35,103
2021,35065,8047022,35,065
2021,35104,2145708,35,104
2021,35040,81955935,35,040
2021,35102,2435041,35,102
2021,35012,23721433,35,012
2021,35019,0,35,019
2021,35031,5958659,35,031
2021,35105,5516927,35,105
2021,35114,5546236,35,114
2021,35101,39101664,35,101
2021,35074,11618572,35,074
2021,35106,1801242,35,106
2021,35110,7015211,35,110
2021,35151,1256438,35,151
2021,35071,10133363,35,071
2021,35112,10521647,35,112
2021,35075,7414554,35,075
2021,35090,28887881,35,090
2021,35072,17548377,35,072
2021,35107,3543394,35,107
2021,35108,5605773,35,108
2021,35030,37355969,35,030
2021,35060,2121921,35,060
2021,35091,2485159,35,091
2021,35113,6221824,35,113
2021,35032,5975355,35,032
2021,35085,3892215,35,085
2021,16010,32922891,16,010
2021,16062,43479156,16,062
2021,16011,29061883,16,011
2021,16030,38304978,16,030
2021,16100,55946299,16,100
2021,16095,1559681,16,095
2021,16094,4177520,16,094
2021,16051,48170672,16,051
2021,16012,18359495,16,012
2021,16070,3941851,16,070
2021,16085,6171170,16,085
2021,16080,0,16,080
2021,16091,2025133,16,091
2021,16061,40649959,16,061
2021,16096,3492811,16,096
2021,16065,4783638,16,065
2021,71360,0,71,360
2021,16360,0,16,360
2021,22031,24015937,22,031
2021,22010,8361000,22,010
2021,22030,14826096,22,030
2021,22180,69302957,22,180
2021,22091,11156958,22,091
2021,22050,81103602,22,050
2021,22143,6860705,22,143
2021,22060,1599932,22,060
2021,22082,3252941,22,082
2021,22085,58186814,22,085
2021,22070,14201725,22,070
2021,22080,63188157,22,080
2021,22140,1173712,22,140
2021,22023,19040993,22,023
