"","key_pin","pi_ns","property_use","address","class","age","land_sqft","bldg_sqft","net_rentable_sf","investment_rating","adj_rent_sf","pgi","v_c","exp","noi","cap_rate","inc_mv_sf","adj_sale_comp_sf","market_value_sf","excess_land_value","market_value_with_excess_land","sheet_name","file_name"
"1","08-21-202-042-0000","08-21-202-042-0000","AutoDealership","175 N ARLINGTON HEIGHTS, ELK GROVE VILLAGE","5-97","52","225909","43903","35108","C","11.4","400231.2","0.05","0.1","342197.676","0.08","121.8375","123.5","122.66875","0","4306654.475","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"2","08-26-303-030-0000","08-26-303-030-0000","AutoDealership","1850  TOUHY, ELK GROVE VILLAGE","5-97","55","435969","247947","246394","C","6.804","1676464.776","0.05","0.1","1433377.38348","0.08","72.71775","73.71","73.213875","0","18039459.51675","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"3","08-34-301-020-0000","08-34-301-020-0000","AutoDealership","700 E DEVON, ELK GROVE VILLAGE","5-97","45","76392","12868","12868","C","10.26","132025.68","0.05","0.1","112881.9564","0.08","109.65375","111.15","110.401875","0","1420651.3275","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"4","08-07-203-006-0000","08-07-203-006-0000 08-07-203-008-0000","AutoRepair","3975 W ALGONQUIN, ROLLING MEADOWS","5-97","30","17331","6209","6209","C","10","62090","0.05","0.1","53086.95","0.08","106.875","115","110.9375","0","688810.9375","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"5","08-09-207-008-0000","08-09-207-008-0000","AutoRepair","1000 S ARLINGTON HEIGHTS, ARLINGTON HEIGHTS","5-22","57","22054","2916","2916","C","12.65","36887.4","0.05","0.1","31538.727","0.08","135.196875","151.8","143.4984375","88315","506756.44375","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"6","08-09-300-020-0000","08-09-300-020-0000","AutoRepair","830 W ALGONQUIN, ROLLING MEADOWS","5-22","44","50633","8808","8808","B","10","88080","0.05","0.1","75308.4","0.07","122.142857142857","115","118.571428571429","130908.5","1175285.64285714","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"7","08-10-100-034-0000","08-10-100-034-0000","AutoRepair","1001 S ARLINGTON HEIGHTS, ARLINGTON HEIGHTS","5-22","55","13806","3691","3691","C","9.5","35064.5","0.05","0.1","29980.1475","0.08","101.53125","109.25","105.390625","0","388996.796875","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"8","08-11-204-015-0000","08-11-204-015-0000","AutoRepair","310 W NORTHWEST, MOUNT PROSPECT","5-22","56","15083","4036","4036","C","10","40360","0.05","0.1","34507.8","0.08","106.875","115","110.9375","0","447743.75","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"9","08-12-214-065-0000","08-12-214-065-0000","AutoRepair","422 E NORTHWEST, MOUNT PROSPECT","5-22","56","24348","3300","3300","C","9.5","31350","0.05","0.1","26804.25","0.08","101.53125","109.25","105.390625","94758","442547.0625","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"10","08-12-222-024-0000","08-12-222-024-0000 08-12-222-025-0000","AutoRepair","698 E NORTHWEST, MOUNT PROSPECT","5-22","31","8452","1582","1582","B","12.65","20012.3","0.05","0.1","17110.5165","0.07","154.510714285714","151.8","153.155357142857","18054","260345.775","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"11","08-12-404-025-0000","08-12-404-025-0000 08-12-404-026-0000","AutoRepair","990 E NORTHWEST, MOUNT PROSPECT","5-22","56","6166","4000","4000","C","9.025","36100","0.05","0.1","30865.5","0.08","96.4546875","103.7875","100.12109375","0","400484.375","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"12","08-13-102-015-0000","08-13-102-015-0000","AutoRepair","783 W GOLF, DES PLAINES","5-22","31","24639","7178","7178","B","11.55","82905.9","0.05","0.1","70884.5445","0.07","141.075","132.825","136.95","0","983027.1","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"13","08-13-307-039-0000","08-13-307-039-0000","AutoRepair","0  UNKNOWN, UNKNOWN","5-22","0","10254","2047","2047","A","12.1","24768.7","0.05","0.1","21177.2385","0.07","147.792857142857","139.15","143.471428571429","17561","311247.014285714","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"14","08-15-402-023-0000","08-15-402-023-0000","AutoRepair","1881 E ALGONQUIN, MOUNT PROSPECT","5-97","41","24864","3384","3384","C","10","33840","0.05","0.1","28933.2","0.08","106.875","115","110.9375","96288","471700.5","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"15","08-16-100-032-0000","08-16-100-032-0000","AutoRepair","6125 W ALGONQUIN, ROLLING MEADOWS","5-97","35","27037","4171","4171","B","10","41710","0.05","0.1","35662.05","0.07","122.142857142857","115","118.571428571429","88000.5","582561.928571429","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"16","08-16-201-020-0000","08-16-201-020-0000","AutoRepair","1917 S ARLINGTON HEIGHTS, ARLINGTON HEIGHTS","5-22","30","65358","19750","19750","B","11","217250","0.05","0.1","185748.75","0.07","134.357142857143","126.5","130.428571428571","0","2575964.28571429","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"17","08-21-401-036-0000","08-21-401-036-0000","AutoRepair","420 E HIGGINS, ELK GROVE VILLAGE","5-22","43","43672","5434","5434","C","8.5","46189","0.05","0.1","39491.595","0.08","90.84375","92","91.421875","186456","683242.46875","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"18","08-22-203-030-0000","08-22-203-030-0000","AutoRepair","1910 S BUSSE, ARLINGTON HEIGHTS","5-22","54","177202","5280","5280","C","10.5","55440","0.05","0.1","47401.2","0.08","112.21875","120.75","116.484375","1326697","1941734.5","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"19","08-22-203-040-0000","08-22-203-040-0000","AutoRepair","1701  BUSSE, MOUNT PROSPECT","5-22","41","33498","2759","2759","C","10","27590","0.05","0.1","23589.45","0.08","106.875","115","110.9375","190927","497003.5625","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"20","08-22-301-031-0000","08-22-301-031-0000","AutoRepair","1100 E HIGGINS, ELK GROVE VILLAGE","5-22","58","70522","4850","4850","C","9","43650","0.05","0.1","37320.75","0.08","96.1875","103.5","99.84375","434537","918779.1875","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"21","08-22-400-046-0000","08-22-400-046-0000 08-22-400-047-0000","AutoRepair","1200 E HIGGINS, ELK GROVE VILLAGE","5-22","50","46595","10850","10850","B","7.7","83545","0.05","0.1","71430.975","0.07","94.05","88.55","91.3","27157.5","1017762.5","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"22","08-22-403-010-0000","08-22-403-010-0000","AutoRepair","1700  OAKTON, ELK GROVE VILLAGE","5-22","22","40000","6850","6850","B","12.1","82885","0.05","0.1","70866.675","0.07","147.792857142857","139.15","143.471428571429","107100","1089879.28571429","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"23","08-23-101-062-0000","08-23-101-062-0000","AutoRepair","2069 S BUSSE, MOUNT PROSPECT","5-22","48","154755","14802","14802","C","10","148020","0.05","0.1","126557.1","0.08","106.875","115","110.9375","812149.5","2454246.375","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"24","08-23-401-023-0000","08-23-401-023-0000","AutoRepair","3212 S NORDIC, MOUNT PROSPECT","5-22","39","24216","10991","10991","C","7","76937","0.05","0.1","65781.135","0.08","74.8125","80.5","77.65625","0","853519.84375","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"25","08-23-401-035-0000","08-23-401-035-0000","AutoRepair","2000 N ELMHURST, MOUNT PROSPECT","5-22","30","162426","33778","33778","C","7","236446","0.05","0.1","202161.33","0.08","74.8125","80.5","77.65625","232169","2855241.8125","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"26","08-24-102-029-0000","08-24-102-029-0000","AutoRepair","1101  ELMHURST, DES PLAINES","5-22","41","16683","2696","2696","C","11","29656","0.05","0.1","25355.88","0.08","117.5625","126.5","122.03125","50141.5","379137.75","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"27","08-24-300-015-0000","08-24-300-015-0000","AutoRepair","1263  ELMHURST, DES PLAINES","5-22","46","21280","1644","1644","C","12.075","19851.3","0.05","0.1","16972.8615","0.08","129.0515625","144.9","136.97578125","124984","350172.184375","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"28","08-24-300-016-0000","08-24-300-016-0000","AutoRepair","1267  ELMHURST, DES PLAINES","5-22","45","19950","5010","5010","B","11","55110","0.05","0.1","47119.05","0.07","134.357142857143","126.5","130.428571428571","0","653447.142857143","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"29","08-24-403-028-0000","08-24-403-028-0000 08-24-403-009-0000","AutoRepair","1560 S MOUNT PROSPECT, DES PLAINES","5-22","31","44800","6181","6181","C","10.5","64900.5","0.05","0.1","55489.9275","0.08","112.21875","120.75","116.484375","0","719989.921875","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"30","08-26-101-010-0000","08-26-101-010-0000","AutoRepair","1907 E OAKTON, ELK GROVE VILLAGE","5-22","32","16813","1390","1390","B","14.3","19877","0.05","0.1","16994.835","0.07","174.664285714286","164.45","169.557142857143","95650.5","331334.928571429","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"31","08-26-102-008-0000","08-26-102-008-0000","AutoRepair","2200 E HIGGINS, ELK GROVE VILLAGE","5-22","40","47250","3900","3900","C","10","39000","0.05","0.1","33345","0.08","106.875","115","110.9375","269025","701681.25","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"32","08-26-102-019-0000","08-26-102-019-0000 08-26-102-032-0000 08-26-102-050-0000","AutoRepair","2375 E OAKTON, ARLINGTON HEIGHTS","5-33","50","68587","14000","14000","C","7","98000","0.05","0.1","83790","0.08","74.8125","80.5","77.65625","106989.5","1194177","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"33","08-26-102-038-0000","08-26-102-038-0000","AutoRepair","2345 E OAKTON, ELK GROVE VILLAGE","5-22","49","24975","6778","6778","C","7.65","51851.7","0.05","0.1","44333.2035","0.08","81.759375","82.8","82.2796875","0","557691.721875","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"34","08-26-102-048-0000","08-26-102-048-0000","AutoRepair","2345  HAMILTON, ARLINGTON HEIGHTS","5-22","36","40344","7950","7950","C","8.5","67575","0.05","0.1","57776.625","0.08","90.84375","92","91.421875","72624","799427.90625","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"35","08-26-103-023-0000","08-26-103-023-0000","AutoRepair","625  RICHARD, ELK GROVE VILLAGE","5-22","13","49492","5400","5400","C","8.1","43740","0.05","0.1","37397.7","0.08","86.56875","93.15","89.859375","237082","722322.625","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"36","08-26-307-005-0000","08-26-307-005-0000","AutoRepair","901  DIERKING, ELK GROVE VILLAGE","5-22","30","20280","6470","6470","C","8.1","52407","0.05","0.1","44807.985","0.08","86.56875","93.15","89.859375","0","581390.15625","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"37","08-26-307-012-0000","08-26-307-012-0000","AutoRepair","900  ROPPOLO, ELK GROVE VILLAGE","5-22","24","22208","800","800","C","9.5","7600","0.05","0.1","6498","0.08","101.53125","109.25","105.390625","161568","245880.5","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"38","08-26-309-013-0000","08-26-309-013-0000 08-26-309-017-0000","AutoRepair","865  NICHOLAS, ELK GROVE VILLAGE","5-22","48","16650","5000","5000","C","6.885","34425","0.05","0.1","29433.375","0.08","73.5834375","74.52","74.05171875","0","370258.59375","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"39","08-26-402-006-0000","08-26-402-006-0000 08-26-402-009-0000 08-26-402-010-0000","AutoRepair","2513 E HIGGINS, ELK GROVE VILLAGE","5-22","19","358342","18445","18445","C","11.025","203356.125","0.05","0.1","173869.486875","0.08","117.8296875","126.7875","122.30859375","2418777","4674759.01171875","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"40","08-26-402-014-0000","08-26-402-014-0000","AutoRepair","2401 E HIGGINS, ELK GROVE VILLAGE","5-22","68","83700","13920","13920","C","5.67","78926.4","0.05","0.1","67482.072","0.08","60.598125","65.205","62.9015625","238170","1113759.75","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"41","08-26-404-001-0000","08-26-404-001-0000 08-26-404-002-0000 08-26-404-003-0000 08-26-404-004-0000","AutoRepair","2627 E HIGGINS, ELK GROVE VILLAGE","5-22","53","21879","4146","4146","B","10","41460","0.05","0.1","35448.3","0.07","122.142857142857","115","118.571428571429","45007.5","536604.642857143","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"42","08-26-411-015-0000","08-26-411-015-0000","AutoRepair","2451  LANDMEIER, ELK GROVE VILLAGE","5-22","30","111357","13306","13306","C","7.35","97799.1","0.05","0.1","83618.2305","0.08","78.553125","84.525","81.5390625","494130.5","1579089.265625","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"43","08-27-402-054-0000","08-27-402-054-0000","AutoRepair","1100  BUSSE, ELK GROVE VILLAGE","5-22","36","104433","8596","8596","C","8.5","73066","0.05","0.1","62471.43","0.08","90.84375","92","91.421875","595416.5","1381278.9375","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"44","08-31-400-016-0000","08-31-400-016-0000","AutoRepair","1195  ROHLWING, ELK GROVE VILLAGE","5-92","47","30425","2390","2390","B","10","23900","0.05","0.1","20434.5","0.07","122.142857142857","115","118.571428571429","177352.5","460738.214285714","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"45","08-31-400-027-0000","08-31-400-027-0000","AutoRepair","1051  BONAVENTURE, ELK GROVE VILLAGE","5-22","28","32589","6580","6580","C","10","65800","0.05","0.1","56259","0.08","106.875","115","110.9375","0","729968.75","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"46","08-33-401-044-0000","08-33-401-044-0000","AutoRepair","5 E DEVON, ELK GROVE VILLAGE","5-22","30","18142","1884","1884","C","11.5","21666","0.05","0.1","18524.43","0.08","122.90625","138","130.453125","90151","335924.6875","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"47","08-34-203-035-0000","08-34-203-035-0000","AutoRepair","1461  LUNT, ELK GROVE VILLAGE","5-22","29","62766","11893","11893","C","10","118930","0.05","0.1","101685.15","0.08","106.875","115","110.9375","129149","1448528.6875","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"48","08-35-100-009-0000","08-35-100-009-0000","AutoRepair","1461  BUSSE, ELK GROVE VILLAGE","5-22","10","27720","4776","4776","C","10.5","50148","0.05","0.1","42876.54","0.08","112.21875","120.75","116.484375","73236","629565.375","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"49","08-35-403-003-0000","08-35-403-003-0000","AutoRepair","2000  ELMHURST, ELK GROVE VILLAGE","5-97","57","184258","18400","18400","C","7","128800","0.05","0.1","110124","0.08","74.8125","80.5","77.65625","940593","2369468","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"50","08-35-403-025-0000","08-35-403-025-0000","AutoRepair","2483  PRATT, ELK GROVE VILLAGE","5-22","1","67107","4278","4278","B","11","47058","0.05","0.1","40234.59","0.07","134.357142857143","126.5","130.428571428571","424957.5","982930.928571429","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"51","08-36-101-029-0000","08-36-101-029-0000","AutoRepair","401 W TOUHY, DES PLAINES","5-97","51","57412","29008","29008","C","10","290080","0.05","0.1","248018.4","0.08","106.875","115","110.9375","0","3218075","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"52","08-08-401-065-0000","08-08-401-065-0000","Bank","1408 W ALGONQUIN, ARLINGTON HEIGHTS","5-28","17","43560","3953","3953","C","18","71154","0.05","0.1","60836.67","0.075","205.2","202.5","203.85","235858","1041677.05","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
