clean_name,incent_type,cur_munilevel_rate,av,eav,pins_in_muni,final_tax_to_dist,current_taxable_eav,new_av,new_taxable_eav,munilevy,cur_muni_taxable_eav,new_muni_taxable_eav,new_comp_rate,group_taxes_hyp,group_taxes_cur,pct_eav,pct_taxburden_current,pct_taxburden_no_incent,burden_shift,av_change_perPIN
Alsip,Industrial,12.923631779382797,18869551,56659602,100,7387650.1,56608480.33,47173877.5,141521200.825,82505440.33,640392525.5220001,725305246.017,11.375271416148864,1609842070.5236855,731587155.3753539,0.08847636370180201,8.867138366260434,19.511950534228312,-10.64,283043.265
Alsip,Not Incentive Prop,12.923631779382797,218473953,656008098,7515,75117790.23,583784045.192,218473953,583784045.192,82505440.33,640392525.5220001,725305246.017,11.375271416148864,6640701962.476315,7544610038.739974,1.0243843765435445,91.44378853762278,80.4880494657717,10.96,NA
Arlington Heights,Commercial,10.179163829995751,574594,1725333,1,187975.04,1725333.089,1436485,4313332.7225,319606289.91,3133985147.1478,3178537914.6463,10.055135363882078,43371144.39419951,17562448.17424364,5.50523668425871e-4,0.054950258266785554,0.13570178611444933,-0.08,861891
Arlington Heights,Industrial,10.179163829995751,9686967,29087058,33,2985805.95,27976511.91,24217417.5,69941279.775,319606289.91,3133985147.1478,3178537914.6463,10.055135363882078,703269035.6607729,284777498.12371737,0.009281172894667915,0.8910259500960062,2.2004230137611214,-1.31,440316.6818181818
Arlington Heights,Not Incentive Prop,10.179163829995751,1153844618,3464649101,30577,316432508.92,3104283302.1488,1153844618,3104283302.1488,319606289.91,3133985147.1478,3178537914.6463,10.055135363882078,31213988810.945034,31599008307.292835,1.1055091004988116,98.86854328239598,97.66387520012444,1.2,NA
Barrington,Not Incentive Prop,8.228960881934565,126052198,378496935,2812,28298165.78,343574936.2876,126052198,343574936.2876,28298165.78,343574936.2876,343574936.2876,8.236388278425569,2829816578,2827264710.7238207,1.1016430333648304,99.90982216670795,100,-0.09,NA
Barrington Hills,Not Incentive Prop,9.015275065963062,70117588,210269989,1516,18247263.55,202314697.493,70117588,202314697.493,18247263.55,202314697.493,202314697.493,9.019247625660686,1824726355.0000002,1823922647.7865024,1.039321372127575,99.95595464430623,100.00000000000001,-0.04,NA
Bartlett,Industrial,12.460399732396722,2464012,7398689,4,426576.34,3472334.88,6160030,8680837.2,48906288.830000006,385825978.481,391034480.801,12.506899322489348,108570356.89532031,43266680.6095438,0.019176233360772385,0.8846854186777556,2.2199671962989203,-1.34,924004.5
Bartlett,Not Incentive Prop,12.460399732396722,144300600,433226157,5975,48479712.49,382353643.601,144300600,382353643.601,48906288.830000006,385825978.481,391034480.801,12.506899322489348,4782058526.104681,4764279238.406812,1.1228537764761588,97.4164949413278,97.78003280370109,-0.36,NA
Bedford Park,Commercial,12.986591757387249,318412,956096,1,85711.31,783968.81,796030,1959922.0250000001,61689669.730000004,489198435.2677,722152911.9197501,8.542466382362981,16742568.01061528,10181082.885994691,0.0019544134467167776,0.1650370788262395,0.2713998645785144,-0.11,477618
Bedford Park,Industrial,12.986591757387249,52644767,158076436,153,19599673.07,154519015.6247,131611917.5,386297539.06175005,61689669.730000004,489198435.2677,722152911.9197501,8.542466382362981,3299933741.0245504,2006675374.6713207,0.32313356831057144,32.52854786634502,53.492485135153444,-20.96,516125.1666666667
Bedford Park,Not Incentive Prop,12.986591757387249,131407561,394577465,1132,42004285.35,333895450.833,131407561,333895450.833,61689669.730000004,489198435.2677,722152911.9197501,8.542466382362981,2852290663.964834,4336163909.616938,0.8065795729376743,70.28995176332154,46.236115000268036,24.05,NA
Bellwood,Commercial,17.31437171286425,444029,1333286,13,211308.06,1221988.087,1110072.5,3054970.2175000003,43823561.59,253182688.7922,264822890.2617,16.548252889579608,50554419.72932402,21157955.9670099,0.005266102537896247,0.4827986407165474,1.153589938725106,-0.67,51234.11538461538
Bellwood,Industrial,17.31437171286425,2797850,8401107,32,1131732.68,6538146.226,6994625,16345365.565,43823561.59,253182688.7922,264822890.2617,16.548252889579608,270487242.94224626,113203894.07002455,0.0331819961312411,2.5831742095525225,6.172187588787127,-3.59,131149.21875
