keypin_concat,keypin,pins,has_range,pins2,pins3,check_me,Alea_added
01364020110000,01-36-402-011-0000,01-36-402-011-0000,0,01-36-402-011-0000,01-36-402-011-0000,0,0
01364020160000,01-36-402-016-0000,01-36-402-016-0000,0,01-36-402-016-0000,01-36-402-016-0000,0,0
01364020220000,01-36-402-022-0000,01-36-402-022-0000,0,01-36-402-022-0000,01-36-402-022-0000,0,0
02021010180000,02-02-101-018-0000,02-02-101-018-0000,0,02-02-101-018-0000,02-02-101-018-0000,0,0
02024020150000,02-02-402-015-0000,02-02-402-015-0000,0,02-02-402-015-0000,02-02-402-015-0000,0,0
02024020160000,02-02-402-016-0000,02-02-402-016-0000,0,02-02-402-016-0000,02-02-402-016-0000,0,0
02024020170000,02-02-402-017-0000,02-02-402-017-0000,0,02-02-402-017-0000,02-02-402-017-0000,0,0
02093150120000,02-09-315-012-0000,02-09-315-012-0000,0,02-09-315-012-0000,02-09-315-012-0000,0,0
02154320210000,02-15-432-021-0000,02-15-432-021-0000,0,02-15-432-021-0000,02-15-432-021-0000,0,0
02232200030000,02-23-220-003-0000,"02-23-220-003-0000, 02-23-220-006-0000",0,02-23-220-003-0000,02-23-220-003-0000,0,0
02232200030000,02-23-220-003-0000,"02-23-220-003-0000, 02-23-220-006-0000",0,02-23-220-006-0000,02-23-220-006-0000,0,0
02233130100000,02-23-313-010-0000,02-23-313-010-0000,0,02-23-313-010-0000,02-23-313-010-0000,0,0
02233130340000,02-23-313-034-0000,02-23-313-034-0000,0,02-23-313-034-0000,02-23-313-034-0000,0,0
02233130370000,02-23-313-037-0000,02-23-313-037-0000,0,02-23-313-037-0000,02-23-313-037-0000,0,0
02233130380000,02-23-313-038-0000,02-23-313-038-0000,0,02-23-313-038-0000,02-23-313-038-0000,0,0
02234010160000,02-23-401-016-0000,"02-23-401-016-0000, 02-23-401-024-0000, 02-23-401-037-0000",0,02-23-401-016-0000,02-23-401-016-0000,0,0
02234010160000,02-23-401-016-0000,"02-23-401-016-0000, 02-23-401-024-0000, 02-23-401-037-0000",0,02-23-401-024-0000,02-23-401-024-0000,0,0
02234010160000,02-23-401-016-0000,"02-23-401-016-0000, 02-23-401-024-0000, 02-23-401-037-0000",0,02-23-401-037-0000,02-23-401-037-0000,0,0
02234010210000,02-23-401-021-0000,02-23-401-021-0000,0,02-23-401-021-0000,02-23-401-021-0000,0,0
02234010380000,02-23-401-038-0000,02-23-401-038-0000,0,02-23-401-038-0000,02-23-401-038-0000,0,0
02234010530000,02-23-401-053-0000,02-23-401-053-0000,0,02-23-401-053-0000,02-23-401-053-0000,0,0
02234020361001,02-23-402-036-1001,02-23-402-036-1001,0,02-23-402-036-1001,02-23-402-036-1001,0,0
02234020361002,02-23-402-036-1002,02-23-402-036-1002,0,02-23-402-036-1002,02-23-402-036-1002,0,0
02261030110000,02-26-103-011-0000,02-26-103-011-0000,0,02-26-103-011-0000,02-26-103-011-0000,0,0
02262000280000,02-26-200-028-0000,02-26-200-028-0000,0,02-26-200-028-0000,02-26-200-028-0000,0,0
02284000770000,02-28-400-077-0000,02-28-400-077-0000,0,02-28-400-077-0000,02-28-400-077-0000,0,0
02334010150000,02-33-401-015-0000,02-33-401-015-0000,0,02-33-401-015-0000,02-33-401-015-0000,0,0
