year,actual_keypin,incent_pins,project_pins,fmv,tax_code,in_tif,pin_classes,land_use,incent_prop,triad,exe_abate,clean_name,landuse_change,incent_change,tif_change,pin_classes_2011,pin_classes_2022,base_year_fmv_2011,end_year_fmv_2022,fmv_growth_2011,fmv_2022_2011_diff,landuse_change2,land_use2,tif_change2,incent_change2,in_tif2
2022,7308877 - LYCEE FRANCAIS DE CHIC,0,125,0,73063,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Changes,"590, 597, 599",0,3005948,0,0,-3005948,Changes,Multi Land Uses,Changes,Never Incentive,0
2022,7318841 - RAVENSWOOD WINCHESTER,0,45,0,73063,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Changes,599,0,450000,0,0,-450000,Changes,Multi Land Uses,Changes,Never Incentive,0
2022,7703390 - THE SALVATION ARMY,0,30,0,77067.8,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,"580, 593",0,1076820,0,0,-1076820,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2022,3911423 - ADVOCATE HEALTH CARE,0,19,0,39021,0,0,Exempt,Non-Incentive,South,0,Oak Lawn,Changes Land Use,Never Incentive,Never TIF,"490, 590",0,132552,0,0,-132552,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2022,7601907 - 55 W WACKER OWNERS ASS,0,19,0,76015,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,597,0,2496856,0,0,-2496856,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2022,3705302 - K.L.E.O. COMMUNITY FAM,0,16,0,37258,1,0,Exempt,Non-Incentive,South,0,Harvey,Changes Land Use,Never Incentive,Changes,"490, 492",0,346420,0,0,-346420,Changes,Multi Land Uses,Changes,Never Incentive,1
2022,7012456 - GIFT OF HOPE,0,15,0,70065.2,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,"100, 528, 590",0,3471532,0,0,-3471532,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2022,208664 - ADVOCATE HLTH/HOSP,0,13,0,39021,0,0,Exempt,Non-Incentive,South,0,Oak Lawn,Changes Land Use,Never Incentive,Never TIF,"517, 590",0,247792,0,0,-247792,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2022,7109396 - MAGID MFG CO INC,0,13,0,71112.53846153847,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,"580, 593",0,1130904,0,0,-1130904,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2022,7720466 - WOLCOTT SCHOOL,0,13,0,77106,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,"522, 580, 593",0,558216,0,0,-558216,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2022,1210064 - YOUTH AND ADULT CENTER,0,12,0,12028,0,0,Exempt,Non-Incentive,South,0,Chicago Heights,Changes Land Use,Never Incentive,Never TIF,"528, 590",0,928480,0,0,-928480,Changes,Multi Land Uses,Never TIF,Never Incentive,0
