year,actual_keypin,incent_pins,project_pins,fmv,tax_code,in_tif,pin_classes,land_use,incent_prop,triad,exe_abate,clean_name,landuse_change,incent_change,tif_change,pin_classes_2011,pin_classes_2022,base_year_fmv_2011,end_year_fmv_2022,fmv_growth_2011,fmv_2022_2011_diff,landuse_change2,land_use2,tif_change2,incent_change2,in_tif2
2011,04062020120000,0,1,0,25076,0,0,Exempt,Non-Incentive,North,0,Northbrook,Changes Land Use,Never Incentive,Never TIF,0,593,0,1789528,NA,1789528,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2011,04172070040000,0,1,0,25082,0,0,Exempt,Non-Incentive,North,0,Northbrook,Changes Land Use,Never Incentive,Never TIF,0,0,0,0,NA,0,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2011,04272010060000,0,1,0,25198,1,0,Exempt,Non-Incentive,North,0,Glenview,Changes Land Use,Never Incentive,Changes,0,593,0,548400,NA,548400,Changes,Multi Land Uses,Changes,Never Incentive,1
2011,07061020010000,0,1,0,35013,0,0,Exempt,Non-Incentive,North,0,Hoffman Estates,Changes Land Use,Never Incentive,Changes,0,597,0,1016980,NA,1016980,Changes,Multi Land Uses,Changes,Never Incentive,0
2011,08223030080000,0,1,0,16035,0,0,Exempt,Non-Incentive,North,0,Elk Grove Village,Changes Land Use,Never Incentive,Changes,0,100,0,1149180,NA,1149180,Changes,Multi Land Uses,Changes,Never Incentive,0
2011,09361100430000,0,1,0,71001,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,0,590,0,154672,NA,154672,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2011,1010358 - WT PROP SCHAUMBURG I,0,1,0,10071,1,0,Exempt,Non-Incentive,North,0,Hoffman Estates,Changes Land Use,Never Incentive,Changes,0,517,0,894992,NA,894992,Changes,Multi Land Uses,Changes,Never Incentive,1
2011,10122030280000,0,1,0,17001,0,0,Exempt,Non-Incentive,North,0,Evanston,Changes Land Use,Never Incentive,Never TIF,0,391,0,12101780,NA,12101780,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2011,10124200170000,0,1,0,17001,0,0,Exempt,Non-Incentive,North,0,Evanston,Changes Land Use,Never Incentive,Changes,0,517,0,145528,NA,145528,Changes,Multi Land Uses,Changes,Never Incentive,0
2011,10134000260000,0,1,0,17030,1,0,Exempt,Non-Incentive,North,0,Evanston,Changes Land Use,Never Incentive,Always TIF,0,0,0,0,NA,0,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2011,10213030850000,0,1,0,24026,0,0,Exempt,Non-Incentive,North,0,Skokie,Changes Land Use,Never Incentive,Never TIF,0,0,0,0,NA,0,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2011,10213040050000,0,1,0,24026,0,0,Exempt,Non-Incentive,North,0,Skokie,Changes Land Use,Never Incentive,Never TIF,0,0,0,0,NA,0,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2011,10281050660000,0,1,0,24053,1,0,Exempt,Non-Incentive,North,0,Skokie,Changes Land Use,Never Incentive,Changes,0,212,0,539990,NA,539990,Changes,Multi Land Uses,Changes,Never Incentive,1
2011,"1110605 - WSSS, LLC",0,1,0,11002,0,0,Exempt,Non-Incentive,South,0,Berwyn,Changes Land Use,Never Incentive,Never TIF,0,517,0,335548,NA,335548,Changes,Multi Land Uses,Never TIF,Never Incentive,0
