pin10,year,longitude,latitude,group,pin,keypin,sale_buyer_name,sale_document_num,num_parcels_sale,year_sold,proj_appeallant,timesappealed,incent_prop,appellant,appealid,year_appealed,geometry
1814400003,2022,-87.82620197474809,41.777818882857915,1,18144000030000,NA,NA,NA,NA,NA,2112524 - INGREDION,14,Non-Incentive,INGREDION,2112524,2023,"list(list(c(-87.82515, -87.82516, -87.82518, -87.82521, -87.82526, -87.82613, -87.82655, -87.82689, -87.82724, -87.82758, -87.8282, -87.82648, -87.82543, -87.82515, 41.77679, 41.77723, 41.77781, 41.77852, 41.77993, 41.77898, 41.77853, 41.77815, 41.77778, 41.7774, 41.77674, 41.77677, 41.77679, 41.77679)))"
1814401005,2022,-87.82291329457475,41.778680166612766,1,18144010050000,NA,NA,NA,NA,NA,2112524 - INGREDION,14,Non-Incentive,INGREDION,2112524,2023,"list(list(c(-87.82516, -87.82515, -87.82036, -87.82045, -87.82232, -87.82233, -87.82234, -87.82235, -87.82236, -87.82237, -87.82238, -87.82238, -87.82239, -87.8224, -87.8224, -87.82241, -87.82242, -87.82243, -87.82244, -87.82244, -87.82245, -87.82246, -87.82247, -87.82248, -87.82249, -87.8225, -87.82251, -87.82251, -87.82252, -87.82253, -87.82254, -87.82255, -87.82256, -87.82257, -87.82258, -87.82259, -87.82259, -87.8226, -87.82261, -87.82262, -87.82263, -87.82264, -87.82265, -87.82265, -87.82266, 
-87.82267, -87.82268, -87.82269, -87.8227, -87.82271, -87.82271, -87.82272, -87.82273, -87.82274, -87.82275, -87.82276, -87.82277, -87.82278, -87.82279, -87.8228, -87.82281, -87.82282, -87.82282, -87.82283, -87.82284, -87.82285, -87.82286, -87.82286, -87.82287, -87.82288, -87.82289, -87.8229, -87.82291, -87.82291, -87.82292, -87.82293, -87.82294, -87.82295, -87.82296, -87.82296, -87.82297, -87.82298, -87.82299, -87.823, -87.82301, -87.82302, -87.82303, -87.82304, -87.82305, -87.82306, -87.82307, 
-87.82308, -87.82309, -87.8231, -87.82311, -87.82312, -87.82313, -87.82314, -87.82315, -87.82316, -87.82317, -87.82318, -87.82319, -87.8232, -87.82321, -87.82322, -87.82323, -87.82324, -87.82325, -87.82326, -87.82327, -87.82328, -87.82329, -87.8233, -87.82331, -87.82332, -87.82333, -87.82334, -87.82335, -87.82336, -87.82337, -87.82338, -87.82339, -87.8234, -87.82341, -87.82342, -87.82343, -87.82344, -87.82345, -87.82346, -87.82347, -87.82348, -87.82349, -87.8235, -87.82351, -87.82352, -87.82353, 
-87.82354, -87.82355, -87.82356, -87.82357, -87.82358, -87.82359, -87.8236, -87.82361, -87.82362, -87.82363, -87.82364, -87.82365, -87.82366, -87.82367, -87.82368, -87.82369, -87.8237, -87.82371, -87.82372, -87.82373, -87.82374, -87.82375, -87.82376, -87.82377, -87.82378, -87.82379, -87.8238, -87.82381, -87.82382, -87.82382, -87.82383, -87.82384, -87.82385, -87.82386, -87.82387, -87.82388, -87.82389, -87.8239, -87.82391, -87.82392, -87.82392, -87.82393, -87.82394, -87.82395, -87.82396, -87.82396, 
-87.82397, -87.82398, -87.82399, -87.824, -87.82401, -87.82402, -87.82403, -87.82404, -87.82405, -87.82406, -87.82407, -87.82407, -87.82408, -87.82409, -87.8241, -87.82411, -87.82412, -87.82413, -87.82414, -87.82415, -87.82416, -87.82417, -87.82418, -87.82419, -87.82419, -87.8242, -87.82421, -87.82422, -87.82423, -87.82424, -87.82425, -87.82426, -87.82427, -87.82427, -87.82428, -87.82429, -87.8243, -87.82431, -87.82432, -87.82433, -87.82434, -87.82435, -87.82436, -87.82437, -87.82438, -87.82438, 
-87.82439, -87.8244, -87.8244, -87.82441, -87.82442, -87.82443, -87.82444, -87.82444, -87.82445, -87.82446, -87.82446, -87.82447, -87.82448, -87.82449, -87.8245, -87.82451, -87.82452, -87.82453, -87.82453, -87.82454, -87.82455, -87.82456, -87.82457, -87.82458, -87.82459, -87.82459, -87.8246, -87.82461, -87.82462, -87.82463, -87.82464, -87.82465, -87.82465, -87.82466, -87.82467, -87.82468, -87.82469, -87.82469, -87.8247, -87.8247, -87.82471, -87.82472, -87.82473, -87.82474, -87.82474, -87.82475, -87.82475, 
-87.82476, -87.82477, -87.82478, -87.82479, -87.82479, -87.8248, -87.8248, -87.82481, -87.82481, -87.82482, -87.82482, -87.82483, -87.82483, -87.82484, -87.82484, -87.82526, -87.82521, -87.82518, -87.82516, 41.77723, 41.77679, 41.77689, 41.77954, 41.78066, 41.78067, 41.78067, 41.78068, 41.78068, 41.78069, 41.78069, 41.7807, 41.7807, 41.7807, 41.78071, 41.78071, 41.78071, 41.78072, 41.78072, 41.78073, 41.78073, 41.78073, 41.78074, 41.78074, 41.78074, 41.78075, 41.78075, 41.78076, 41.78076, 41.78076, 
41.78077, 41.78077, 41.78077, 41.78078, 41.78078, 41.78078, 41.78079, 41.78079, 41.78079, 41.7808, 41.7808, 41.7808, 41.7808, 41.78081, 41.78081, 41.78081, 41.78082, 41.78082, 41.78082, 41.78082, 41.78083, 41.78083, 41.78083, 41.78083, 41.78084, 41.78084, 41.78084, 41.78085, 41.78085, 41.78085, 41.78085, 41.78085, 41.78086, 41.78086, 41.78086, 41.78086, 41.78086, 41.78087, 41.78087, 41.78087, 41.78087, 41.78087, 41.78087, 41.78088, 41.78088, 41.78088, 41.78088, 41.78088, 41.78088, 41.78089, 41.78089, 
41.78089, 41.78089, 41.78089, 41.78089, 41.7809, 41.7809, 41.7809, 41.7809, 41.7809, 41.7809, 41.7809, 41.78091, 41.78091, 41.78091, 41.78091, 41.78091, 41.78091, 41.78091, 41.78091, 41.78091, 41.78091, 41.78092, 41.78092, 41.78092, 41.78092, 41.78092, 41.78092, 41.78092, 41.78092, 41.78092, 41.78092, 41.78092, 41.78092, 41.78092, 41.78092, 41.78092, 41.78092, 41.78092, 41.78092, 41.78092, 41.78092, 41.78092, 41.78092, 41.78092, 41.78092, 41.78092, 41.78092, 41.78092, 41.78092, 41.78092, 41.78092, 
41.78092, 41.78092, 41.78092, 41.78092, 41.78092, 41.78092, 41.78092, 41.78092, 41.78092, 41.78092, 41.78092, 41.78091, 41.78091, 41.78091, 41.78091, 41.78091, 41.78091, 41.78091, 41.78091, 41.78091, 41.78091, 41.7809, 41.7809, 41.7809, 41.7809, 41.7809, 41.7809, 41.7809, 41.78089, 41.78089, 41.78089, 41.78089, 41.78089, 41.78089, 41.78088, 41.78088, 41.78088, 41.78088, 41.78088, 41.78088, 41.78087, 41.78087, 41.78087, 41.78087, 41.78087, 41.78086, 41.78086, 41.78086, 41.78086, 41.78086, 41.78085, 
41.78085, 41.78085, 41.78085, 41.78085, 41.78084, 41.78084, 41.78084, 41.78083, 41.78083, 41.78083, 41.78083, 41.78082, 41.78082, 41.78082, 41.78082, 41.78081, 41.78081, 41.78081, 41.7808, 41.7808, 41.7808, 41.78079, 41.78079, 41.78079, 41.78078, 41.78078, 41.78078, 41.78077, 41.78077, 41.78077, 41.78076, 41.78076, 41.78076, 41.78075, 41.78075, 41.78075, 41.78074, 41.78074, 41.78073, 41.78073, 41.78072, 41.78072, 41.78071, 41.78071, 41.78071, 41.7807, 41.7807, 41.7807, 41.78069, 41.78069, 41.78068, 
41.78068, 41.78068, 41.78067, 41.78067, 41.78067, 41.78066, 41.78066, 41.78065, 41.78065, 41.78064, 41.78064, 41.78063, 41.78063, 41.78062, 41.78062, 41.78061, 41.78061, 41.7806, 41.78059, 41.78059, 41.78058, 41.78058, 41.78057, 41.78057, 41.78056, 41.78055, 41.78055, 41.78054, 41.78054, 41.78053, 41.78052, 41.78052, 41.78051, 41.78051, 41.7805, 41.7805, 41.78049, 41.78048, 41.78048, 41.78047, 41.78047, 41.78046, 41.78046, 41.78045, 41.78044, 41.78044, 41.78043, 41.78043, 41.78042, 41.78042, 41.78041, 
41.78041, 41.7804, 41.7804, 41.78039, 41.78039, 41.78038, 41.77993, 41.77852, 41.77781, 41.77723)))"
1822200007,2022,-87.84099214559802,41.774096837684525,2,18222000070000,NA,NA,NA,NA,NA,NA,NA,Non-Incentive,NA,NA,NA,"list(list(c(-87.84122, -87.84123, -87.8395, -87.83948, -87.83948, -87.83952, -87.83952, -87.83953, -87.84065, -87.84059, -87.84216, -87.8424, -87.84169, -87.84188, -87.84269, -87.84294, -87.84122, 41.77381, 41.7738, 41.77293, 41.77292, 41.77293, 41.77386, 41.77387, 41.77388, 41.77444, 41.7745, 41.77522, 41.77491, 41.77458, 41.77435, 41.77456, 41.77424, 41.77381)))"
1822400006,2022,-87.83967743020291,41.76721352126595,3,18224000060000,NA,NA,NA,NA,NA,2117212 - KINDER MORGAN INC,14,Non-Incentive,KINDER MORGAN INC,2117212,2023,"list(list(c(-87.83932, -87.83932, -87.83933, -87.84047, -87.83925, -87.83932, 41.76824, 41.76825, 41.76824, 41.767, 41.76639, 41.76824)))"
1822400011,2022,-87.84276621288573,41.763519331334216,4,18224000110000,NA,NA,NA,NA,NA,NA,NA,Non-Incentive,NA,NA,NA,"list(list(c(-87.84377, -87.84342, -87.84093, -87.84211, -87.84382, -87.8446, -87.84377, 41.76203, 41.76183, 41.76456, 41.7652, 41.76334, 41.76249, 41.76203)))"
1822401016,2022,-87.83950879278594,41.76403813725078,5,18224010160000,NA,ARGO TERMINAL CO,905822135,2,2008,2115586 - CO RYAN,7,Non-Incentive,CO RYAN,2115586,2023,"list(list(c(-87.84018, -87.83915, -87.83919, -87.84018, 41.76367, 41.76369, 41.76475, 41.76367)))"
1822401017,2022,-87.84012540841375,41.7626414148674,5,18224010170000,NA,NA,NA,NA,NA,2115586 - CO RYAN,7,Non-Incentive,CO RYAN,2115586,2023,"list(list(c(-87.84183, -87.84184, -87.83909, -87.83915, -87.84018, -87.84039, -87.8403, -87.84043, -87.84052, -87.84183, 41.76187, 41.76186, 41.76191, 41.76369, 41.76367, 41.76344, 41.76339, 41.76326, 41.7633, 41.76187)))"
1823101006,2022,-87.83672604590417,41.7700809633531,3,18231010060000,NA,NA,NA,NA,NA,2117212 - KINDER MORGAN INC,14,Non-Incentive,KINDER MORGAN INC,2117212,2023,"list(list(c(-87.83783, -87.83661, -87.83561, -87.83644, -87.8365, -87.8369, -87.83783, 41.76987, 41.76925, 41.77032, 41.77074, 41.77067, 41.77088, 41.76987)))"
1823101010,2022,-87.8319531446898,41.77358408240677,6,18231010108002,NA,NA,NA,NA,NA,2112524 - INGREDION,14,Non-Incentive,INGREDION,2112524,2023,"list(list(c(-87.83004, -87.83416, -87.83362, -87.83, -87.83004, 41.7761, 41.7716, 41.77132, 41.77525, 41.7761)))"
1823101011,2022,-87.83432942592131,41.77113172716385,7,18231010118002,NA,NA,NA,NA,NA,2112524 - INGREDION,7,Non-Incentive,INGREDION,2112524,2023,"list(list(c(-87.8344, -87.83417, -87.83384, -87.83377, -87.83442, -87.83449, -87.83489, -87.8344, 41.77085, 41.77073, 41.77108, 41.77116, 41.7715, 41.77154, 41.77111, 41.77085)))"
