group,pin10,keypin,year,longitude,latitude,pin,sale_buyer_name,sale_document_num,num_parcels_sale,year_sold,proj_appeallant,timesappealed,incent_prop,appellant,appealid,year_appealed,geometry
1,0725300057,07253000570000,2022,-88.046396746976,42.007059667080625,07253000570000,"BENITTA BERKE, AS SUCCESS",1724146256,1,2017,3512133 - BENITTA BERKE AS SUCCE,7,Non-Incentive,BENITTA BERKE AS SUCCE,3512133,2023,"list(list(c(-88.04666, -88.0462, -88.04613, -88.04612, -88.04612, -88.04666, -88.04666, 42.00676, 42.00677, 42.00681, 42.00734, 42.00735, 42.00735, 42.00676)))"
1,0725300059,07253000590000,2022,-88.04641585965115,42.009981748782145,07253000590000,NA,NA,NA,NA,3513557 - PNC INVOKE TAX PTNRS,12,Non-Incentive,PNC INVOKE TAX PTNRS,3513557,2023,"list(list(c(-88.04676, -88.04608, -88.04608, -88.04608, -88.04607, -88.04675, -88.04676, 42.00977, 42.00976, 42.01, 42.01006, 42.0102, 42.0102, 42.00977)))"
1,0725300060,07253000600000,2022,-88.04742145189371,42.009287385834654,07253000600000,"NS RETAIL HOLDINGS, LLC",2329055084,1,2023,3511506 - THE HOME DEPOT - STORE,3,Non-Incentive,THE HOME DEPOT - STORE,3511506,2023,"list(list(c(-88.04847, -88.0489, -88.04889, -88.0489, -88.0489, -88.04832, -88.04832, -88.0471, -88.0471, -88.04611, -88.0461, -88.04608, -88.04608, -88.04676, -88.04675, -88.04607, -88.04607, -88.04636, -88.04726, -88.04787, -88.04847, 42.0099, 42.00971, 42.00912, 42.00869, 42.00849, 42.00849, 42.00838, 42.00835, 42.00831, 42.00831, 42.00858, 42.00947, 42.00976, 42.00977, 42.0102, 42.0102, 42.01046, 42.01046, 42.01047, 42.01018, 42.0099)))"
1,0725300061,07253000610000,2022,-88.04785251131803,42.00761755047838,07253000610000,NA,NA,NA,NA,3514949 - BLDG ELK GROVE HD LLC,3,Non-Incentive,BLDG ELK GROVE HD LLC,3514949,2023,"list(list(c(-88.04891, -88.04891, -88.04892, -88.04893, -88.04825, -88.04752, -88.04752, -88.04752, -88.04752, -88.04752, -88.04751, -88.0475, -88.04748, -88.04746, -88.04744, -88.04742, -88.0474, -88.04737, -88.04734, -88.0473, -88.04728, -88.04725, -88.04723, -88.04721, -88.04719, -88.04717, -88.04715, -88.04612, -88.04612, -88.04611, -88.04674, -88.04673, -88.0471, -88.0471, -88.04832, -88.04832, -88.0489, -88.04891, 42.00812, 42.00748, 42.00695, 42.00669, 42.00671, 42.00673, 42.00679, 42.00682, 
42.00686, 42.00689, 42.00693, 42.00696, 42.007, 42.00703, 42.00706, 42.00709, 42.00712, 42.00715, 42.00718, 42.0072, 42.00722, 42.00724, 42.00726, 42.00728, 42.0073, 42.00733, 42.00735, 42.00735, 42.00738, 42.0077, 42.00771, 42.00831, 42.00831, 42.00835, 42.00838, 42.00849, 42.00849, 42.00812)))"
1,0725300062,07253000620000,2022,-88.04642174805838,42.00800713928197,07253000620000,NA,NA,NA,NA,3514949 - BLDG ELK GROVE HD LLC,3,Non-Incentive,BLDG ELK GROVE HD LLC,3514949,2023,"list(list(c(-88.04674, -88.04611, -88.04611, -88.04611, -88.04673, -88.04674, 42.00771, 42.0077, 42.00799, 42.00831, 42.00831, 42.00771)))"
1,0725300063,07253000630000,2022,-88.04704809851441,42.00702013260507,07253000630000,NA,NA,NA,NA,3514949 - BLDG ELK GROVE HD LLC,3,Non-Incentive,BLDG ELK GROVE HD LLC,3514949,2023,"list(list(c(-88.04715, -88.04717, -88.04719, -88.04721, -88.04723, -88.04725, -88.04728, -88.0473, -88.04734, -88.04737, -88.0474, -88.04742, -88.04744, -88.04746, -88.04748, -88.0475, -88.04751, -88.04752, -88.04752, -88.04752, -88.04752, -88.04752, -88.04666, -88.04666, -88.04715, 42.00735, 42.00733, 42.0073, 42.00728, 42.00726, 42.00724, 42.00722, 42.0072, 42.00718, 42.00715, 42.00712, 42.00709, 42.00706, 42.00703, 42.007, 42.00696, 42.00693, 42.00689, 42.00686, 42.00682, 42.00679, 42.00673, 42.00676, 
42.00735, 42.00735)))"
2,0725310082,07253100820000,2022,-88.04534961112044,42.00703257017922,07253100820000,NA,1601944059,3,2016,3512621 - LEE FAMILY LIMITED PAR,12,Non-Incentive,LEE FAMILY LIMITED PAR,3512621,2023,"list(list(c(-88.04506, -88.04564, -88.04564, -88.04505, -88.04506, 42.00727, 42.00726, 42.00679, 42.00681, 42.00727)))"
2,0725310083,07253100830000,2022,-88.04532847237422,42.007639914388335,07253100830000,NA,1601944059,3,2016,3511961 - FIESTA HOLDINGS LLC,10,Non-Incentive,FIESTA HOLDINGS LLC,3511961,2023,"list(list(c(-88.04506, -88.04521, -88.04565, -88.04564, -88.04501, -88.04502, -88.04506, 42.00786, 42.00786, 42.00784, 42.00742, 42.00743, 42.00786, 42.00786)))"
2,0725310084,07253100840000,2022,-88.04476186609047,42.007337745064675,07253100840000,NA,1601944059,3,2016,3512622 - LEE FAMILY LIMITED PAR,13,Non-Incentive,LEE FAMILY LIMITED PAR,3512622,2023,"list(list(c(-88.04443, -88.04476, -88.04502, -88.04501, -88.04564, -88.04564, -88.04506, -88.04505, -88.04434, -88.04433, -88.04443, 42.00788, 42.00787, 42.00786, 42.00743, 42.00742, 42.00726, 42.00727, 42.00681, 42.00682, 42.00788, 42.00788)))"
3,0735200022,07352000220000,2022,-88.05759604299696,41.99998717410612,07352000220000,JOSELITO & JASMINE GAVILAN,409135007,1,2004,3513524 - PEARL OF ELK GROVE,11,Non-Incentive,PEARL OF ELK GROVE,3513524,2023,"list(list(c(-88.0582, -88.05824, -88.05766, -88.05715, -88.05638, -88.05637, -88.05633, -88.05639, -88.05661, -88.05683, -88.05706, -88.05708, -88.05728, -88.0575, -88.05772, -88.05794, -88.05815, -88.05838, -88.05859, -88.05881, -88.05903, -88.05925, -88.0594, -88.05942, -88.0582, 42.00004, 41.99903, 41.99904, 41.99906, 41.99909, 41.99949, 42.00076, 42.00076, 42.00075, 42.00074, 42.00074, 42.00074, 42.00073, 42.00072, 42.00072, 42.00071, 42.0007, 42.00069, 42.00069, 42.00068, 42.00067, 42.00066, 
42.00066, 42, 42.00004)))"
4,0736101030,07361010300000,2022,-88.04541366167759,41.999792958648705,07361010300000,NA,NA,NA,NA,3513361 - PARKWAY BK FACILITIES,13,Non-Incentive,PARKWAY BK FACILITIES,3513361,2023,"list(list(c(-88.04508, -88.04575, -88.04575, -88.04564, -88.04509, -88.04508, 42.00011, 42.00011, 41.99954, 41.99946, 41.99948, 42.00011)))"
4,0736101032,07361010320000,2022,-88.04373108120825,42.001903711091124,07361010320000,NA,NA,NA,NA,3514501 - WALMART STORES INC 189,10,Non-Incentive,WALMART STORES INC 189,3514501,2023,"list(list(c(-88.04244, -88.04243, -88.04243, -88.04225, -88.04196, -88.04195, -88.04188, -88.04144, -88.04142, -88.04401, -88.04401, -88.04573, -88.04574, -88.04407, -88.04407, -88.04303, -88.04304, -88.04247, -88.04246, -88.04245, -88.04244, 42.0018, 42.00225, 42.00234, 42.00235, 42.00236, 42.00261, 42.00261, 42.00262, 42.00309, 42.00301, 42.00229, 42.00224, 42.00086, 42.00089, 42.001, 42.001, 42.00086, 42.00085, 42.0009, 42.00135, 42.0018)))"
5,0736101111,07361011110000,2022,-88.04513914160349,42.00612848024744,07361011110000,"BENAIM ELK GROVE, L.L.C.",10869842,1,2001,3511459 - WALGREEN CO.,10,Non-Incentive,WALGREEN CO.,3511459,2023,"list(list(c(-88.0446, -88.04459, -88.04459, -88.04459, -88.04459, -88.04568, -88.04569, -88.0446, 42.00576, 42.00585, 42.00605, 42.00648, 42.00652, 42.00649, 42.00574, 42.00576)))"
5,0736101113,07361011130000,2022,-88.04514455624177,42.00553644172192,07361011130000,NA,NA,NA,NA,3511671 - STEAK N SHAKE ENTERPRI,13,Non-Incentive,STEAK N SHAKE ENTERPRI,3511671,2023,"list(list(c(-88.0446, -88.0446, -88.0446, -88.0446, -88.04569, -88.04569, -88.0457, -88.0446, 42.00534, 42.00546, 42.00566, 42.00576, 42.00574, 42.00542, 42.00531, 42.00534)))"
5,0736101114,07361011140000,2022,-88.045151110856,42.00500725091867,07361011140000,CHICAGO TITLE LAND TRUST,1905945040,1,2019,3513120 - MEACHAM PROPERTY,11,Non-Incentive,MEACHAM PROPERTY,3513120,2023,"list(list(c(-88.0446, -88.0446, -88.0446, -88.0446, -88.0446, -88.0457, -88.0457, -88.04571, -88.0446, 42.00471, 42.00488, 42.00507, 42.00527, 42.00534, 42.00531, 42.00524, 42.00468, 42.00471)))"
5,0736101115,07361011150000,2022,-88.04515181972373,42.004379317059445,07361011150000,CHICAGO TITLE LAND TRUST,1905945041,1,2019,3513119 - BIESTERFIELD PARTNERS,13,Non-Incentive,BIESTERFIELD PARTNERS,3513119,2023,"list(list(c(-88.0446, -88.0446, -88.0446, -88.0446, -88.0446, -88.0446, -88.04571, -88.04571, -88.04572, -88.0446, 42.00407, 42.0041, 42.00429, 42.00449, 42.00469, 42.00471, 42.00468, 42.00456, 42.00407, 42.00407)))"
5,0736101118,07361011180000,2022,-88.04515436333608,42.00377580298757,07361011180000,NA,NA,NA,NA,3513080 - FIRST AMERICAN BANK,11,Non-Incentive,FIRST AMERICAN BANK,3513080,2022,"list(list(c(-88.04518, -88.04511, -88.0446, -88.0446, -88.0446, -88.04572, -88.04572, -88.04518, 42.00351, 42.00346, 42.00348, 42.00386, 42.00407, 42.00407, 42.00349, 42.00351)))"
4,0736101119,07361011190000,2022,-88.0437893409237,42.0002245012789,07361011190000,NA,NA,NA,NA,3513288 - AMCAP MALLARD LLC,5,Non-Incentive,AMCAP MALLARD LLC,3513288,2023,"list(list(c(-88.04374, -88.04257, -88.04249, -88.04247, -88.04304, -88.04303, -88.04407, -88.04407, -88.04574, -88.04574, -88.04496, -88.04496, -88.04508, -88.04509, -88.04482, -88.04448, -88.04434, -88.04374, 41.99951, 41.99955, 41.99955, 42.00085, 42.00086, 42.001, 42.001, 42.00089, 42.00086, 42.00076, 42.00077, 42.00011, 42.00011, 41.99948, 41.99949, 41.99949, 41.99949, 41.99951)))"
4,0736101120,07361011200000,2022,-88.04535282747148,42.00043850811328,07361011200000,"SM1531HAR, LLC",2335310000,1,2023,3511973 - MCDONALDS CORPORATION,2,Non-Incentive,MCDONALDS CORPORATION,3511973,2023,"list(list(c(-88.04496, -88.04574, -88.04575, -88.04508, -88.04496, -88.04496, 42.00077, 42.00076, 42.00011, 42.00011, 42.00011, 42.00077)))"
6,0736104029,07361040290000,2022,-88.04651618920684,41.999794004959895,07361040290000,BUCHANAN ENERGY LLC,1100641153,1,2010,3514844 - TAXPAYER OF,4,Non-Incentive,TAXPAYER OF,3514844,2019,"list(list(c(-88.04664, -88.04615, -88.04615, -88.04615, -88.04615, -88.04688, -88.04688, -88.04688, -88.04688, -88.04688, -88.04688, -88.04688, -88.04664, 41.99943, 41.99944, 41.99977, 42.00014, 42.00017, 42.00014, 42.00013, 42.00002, 41.99995, 41.99969, 41.99968, 41.99942, 41.99943)))"
7,0736108034,07361080340000,2022,-88.04660613884106,42.00604270272562,07361080340000,NA,NA,NA,NA,3513662 - CRL ASSOCIATES 106,8,Non-Incentive,CRL ASSOCIATES 106,3513662,2022,"list(list(c(-88.04608, -88.04608, -88.04608, -88.04653, -88.04712, -88.04713, -88.04714, -88.04714, -88.04699, -88.04649, -88.04608, 42.00563, 42.00607, 42.00649, 42.00647, 42.00646, 42.00609, 42.00564, 42.0056, 42.0056, 42.00562, 42.00563)))"
8,0736310026,07363100260000,2022,-88.04651222092414,41.99894534332772,07363100260000,NA,NA,NA,NA,3512081 - 7 ELEVEN INC,7,Non-Incentive,7 ELEVEN INC,3512081,2023,"list(list(c(-88.04683, -88.0462, -88.04619, -88.04625, -88.04651, -88.04682, -88.04683, 41.99872, 41.99874, 41.99914, 41.99917, 41.99916, 41.99915, 41.99872)))"
9,0736412041,07364120410000,2022,-88.03183161156811,41.996689999602495,07364120410000,"REAL LIVING PROPERTIES, L",1928046238,1,2019,3514168 - REAL LIVING PROPERTIES,9,Non-Incentive,REAL LIVING PROPERTIES,3514168,2023,"list(list(c(-88.03232, -88.0316, -88.03149, -88.03149, -88.03198, -88.03215, -88.03232, 41.99659, 41.99631, 41.99635, 41.99689, 41.99708, 41.99684, 41.99659)))"
10,0821202009,08212020090000,2022,-87.97972652133238,42.03097452493849,08212020090000,NA,NA,NA,NA,1613994 - MS. SUSAN FELTS,9,Non-Incentive,MS. SUSAN FELTS,1613994,2022,"list(list(c(-87.97958, -87.97958, -87.97988, -87.97987, -87.97976, -87.97958, -87.97958, 42.03079, 42.03124, 42.03127, 42.03071, 42.0307, 42.03068, 42.03079)))"
10,0821202013,08212020130000,2022,-87.98473203242011,42.03139956534718,08212020130000,330 BENNETT LLC,2204633167,1,2022,1612161 - JOHN P JUNG,2,Non-Incentive,JOHN P JUNG,1612161,2019,"list(list(c(-87.98456, -87.98481, -87.98491, -87.98487, -87.98465, -87.98456, 42.03166, 42.03168, 42.03114, 42.03114, 42.03112, 42.03166)))"
10,0821202014,08212020140000,2022,-87.98450014817584,42.03137749943368,08212020140000,NA,NA,NA,NA,1611878 - 340 BENNETT ASSOCIATES,6,Non-Incentive,340 BENNETT ASSOCIATES,1611878,2022,"list(list(c(-87.98444, -87.98442, -87.98435, -87.98443, -87.98456, -87.98465, -87.98444, 42.03109, 42.0312, 42.03164, 42.03165, 42.03166, 42.03112, 42.03109)))"
10,0821202015,08212020150000,2022,-87.98428484250698,42.03135838338018,08212020150000,"CHLOE MELISSA, LLC",2136304279,1,2021,1610855 - DAVID OETERS,7,Non-Incentive,DAVID OETERS,1610855,2022,"list(list(c(-87.98422, -87.98421, -87.98413, -87.98435, -87.98442, -87.98444, -87.98442, -87.98422, 42.03107, 42.03114, 42.03163, 42.03164, 42.0312, 42.03109, 42.03109, 42.03107)))"
10,0821202016,08212020160000,2022,-87.98404826363593,42.03133945467865,08212020160000,360 PROP LLC,1428219093,1,2014,1610987 - 360 PROPERTY LLC,12,Incentive,360 PROPERTY LLC,1610987,2023,"list(list(c(-87.98391, -87.98388, -87.98413, -87.98421, -87.98422, -87.98396, -87.98391, 42.03141, 42.03161, 42.03163, 42.03114, 42.03107, 42.03105, 42.03141)))"
10,0821202017,08212020170000,2022,-87.9837929432057,42.03131752550056,08212020170000,OMEGA SAA,1330226086,1,2013,1612105 - OMEGA SAA,10,Non-Incentive,OMEGA SAA,1612105,2023,"list(list(c(-87.98369, -87.98388, -87.98391, -87.98396, -87.98371, -87.98369, -87.98362, -87.98369, 42.03159, 42.03161, 42.03141, 42.03105, 42.03103, 42.03115, 42.03158, 42.03159)))"
