year,agency_number,agency_name,adjust_eligible,lastyear_rate,lastyear_levy,total_ptab_refunds,total_coe_refunds,aggregate_refunds,levy_adjustment,home_rule_ind,agg_ext_base_year,lim_numerator,lim_denominator,lim_rate,prior_eav,curr_new_prop,cty_cook_eav,cty_total_eav,pct_burden,total_levy,total_max_levy,total_prelim_rate,total_reduced_levy,total_final_levy,total_final_rate,reduction_type,reduction_pct,total_non_cap_ext,total_ext,pct_inCook,recap_levyshare
2021,010010000,COUNTY OF COOK,Not Eligible,0.453,787556218,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,782169933,782169933,0.446,NA,782169933,0.446,NA,NA,NA,782528571.92,NA,NA
2021,010010001,CONSOLIDATED ELECTIONS,Not Eligible,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1022359688,NA,NA,1,14432990,14432990,0.019,NA,14432990,0.019,NA,NA,NA,14922781.68,NA,NA
2021,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,Eligible,0.058,100835012,-1074493,-118442,-1192935,1192935,0,2020,88762477,NA,0.052,NA,NA,NA,NA,1,101750496,101750496,0.058,NA,101750496,0.058,NA,NA,14438178.52,101763805.32,NA,0.012
2021,020010000,TOWN BARRINGTON,Eligible,0.033,461797,-5118,-280,-5398,5398,0,2020,468261,1292975496,0.037,1399384325,157979244,1450954740,1450954740,1,481049,481049,0.034,NA,481049,0.034,NA,NA,5803.82,493324.61,1,0.011
2021,020010002,GENERAL ASSISTANCE BARRINGTON,Eligible,0.001,13994,-167,-9,-175,175,0,2019,14312,1292975496,0.002,1399384325,157979244,1450954740,1450954740,1,14589,14589,0.001,NA,14589,0.001,NA,NA,NA,14509.55,1,0.012
2021,020010003,ROAD AND BRIDGE BARRINGTON,Eligible,0,0,0,0,0,0,0,NA,0,NA,0,1399384325,157979244,1450954740,1450954740,1,0,0,0,NA,0,0,NA,NA,NA,0,1,NA
2021,020020000,TOWN BERWYN,Eligible,0.048,415891,-2594,-5934,-8528,8528,0,2020,2143710,795864658,0.27,866439945,1021074,796885732,796885732,1,445034,445034,0.056,420883,429411,0.054,AGENCY,NA,8765.74,430318.3,1,0.02
2021,020020002,GENERAL ASSISTANCE BERWYN,Eligible,0.042,363905,-2254,-5217,-7470,7470,0,2020,2143710,795864658,0.27,866439945,1021074,796885732,796885732,1,389414,389414,0.049,368272,375742,0.048,AGENCY,NA,7171.97,382505.15,1,0.02
2021,020020004,BERWYN TOWNSHIP COMM MENTAL HEALTH DIST,Eligible,0.073,632501,-3915,-9099,-13015,13015,0,2020,2143710,795864658,0.27,866439945,1021074,796885732,796885732,1,684035,684035,0.086,646999,660014,0.083,AGENCY,NA,12750.17,661415.16,1,0.02
2021,020020005,PUBLIC HEALTH BERWYN,Eligible,0.081,701816,-4391,-10037,-14427,14427,0,2020,2143710,795864658,0.27,866439945,1021074,796885732,796885732,1,751033,751033,0.095,710240,724667,0.091,AGENCY,NA,14343.94,725166.02,1,0.02
