keypin,pin,pins_per_keypin,needs_keypin
01011000020000,01011000020000,1,0
01011000030000,01011000030000,1,0
01011000120000,01011000120000,1,0
01011000690000,01011000690000,1,0
01011000710000,01011000710000,1,1
01011000790000,01011000790000,1,0
01011000840000,01011000840000,1,0
01011001100000,01011001100000,1,1
01011001130000,01011001130000,1,1
01011001150000,01011001150000,1,1
01011001198002,01011001198002,1,0
01011010010000,01011010010000,1,0
01011010020000,01011010020000,1,1
01011010050000,01011010050000,1,0
01011010060000,01011010060000,1,0
01011010070000,01011010070000,3,0
01011010070000,01011010150000,3,0
01011010200000,01011010200000,1,0
01011010210000,01011010210000,1,0
01011010220000,01011010220000,1,0
01011010230000,01011010230000,1,0
01011010070000,01011010240000,3,0
01011010270000,01011010270000,1,1
01011010301001,01011010301001,1,1
01011010301002,01011010301002,1,1
01011010301003,01011010301003,1,1
01011010301004,01011010301004,1,1
01011010301005,01011010301005,1,1
01011010301006,01011010301006,1,1
01011010301007,01011010301007,1,1
01011010301008,01011010301008,1,1
01011010301009,01011010301009,1,1
01011010301010,01011010301010,1,1
01011010301011,01011010301011,1,1
01011010301012,01011010301012,1,1
01011010301013,01011010301013,1,1
01011010301014,01011010301014,1,1
01011010301015,01011010301015,1,1
01011010301016,01011010301016,1,1
01011010301019,01011010301019,1,1
01011010301055,01011010301055,1,1
01011010301056,01011010301056,1,1
01011010301057,01011010301057,1,1
01011010301058,01011010301058,1,1
01011010301059,01011010301059,1,1
01011010301060,01011010301060,1,1
01011010301061,01011010301061,1,1
01011010301062,01011010301062,1,1
01011010301063,01011010301063,1,1
01011010301064,01011010301064,1,1
01011020010000,01011020010000,1,0
01011020020000,01011020020000,1,0
01011020030000,01011020030000,1,0
01011020050000,01011020050000,1,0
01011020060000,01011020060000,1,1
01011020080000,01011020080000,1,0
01011030010000,01011030010000,1,0
01011030020000,01011030020000,1,0
01011030030000,01011030030000,2,0
01011030030000,01011030040000,2,0
01011030060000,01011030060000,2,0
01011030060000,01011030070000,2,0
01011040030000,01011040030000,2,0
01011040030000,01011040040000,2,0
01011040050000,01011040050000,1,0
01011040090000,01011040090000,1,0
01011040120000,01011040120000,1,0
01011040130000,01011040130000,1,0
01011040140000,01011040140000,2,0
01011050010000,01011050010000,1,0
01011050020000,01011050020000,1,0
01011050030000,01011050030000,1,1
01011050050000,01011050050000,1,1
01011050060000,01011050060000,1,1
01011050070000,01011050070000,1,1
01011050080000,01011050080000,1,1
01011050090000,01011050090000,1,1
01011050100000,01011050100000,1,1
01011040140000,01011050110000,2,0
01011050120000,01011050120000,1,1
01011050130000,01011050130000,1,1
01011050140000,01011050140000,1,1
01011060010000,01011060010000,9,0
01011060010000,01011060030000,9,0
01011060010000,01011060040000,9,0
01011060010000,01011060050000,9,0
01011060010000,01011060060000,9,0
01011060010000,01011060070000,9,0
01011060010000,01011060080000,9,0
01011060010000,01011070010000,9,0
01011060010000,01011120010000,9,0
01012000010000,01012000010000,1,0
01012000060000,01012000060000,1,0
01012000090000,01012000090000,1,0
01012010270000,01012010270000,1,0
01012010300000,01012010300000,2,0
01012010320000,01012010320000,3,0
01012010320000,01012010330000,3,0
01012010320000,01012010340000,3,0
01012010350000,01012010350000,2,0
01012010350000,01012010360000,2,0
01012010370000,01012010370000,2,0
01012010370000,01012010380000,2,0
01012010390000,01012010390000,1,0
01012010300000,01012010530000,2,0
01012010630000,01012010630000,2,0
01012010630000,01012010730000,2,0
01012010740000,01012010740000,1,0
01012010750000,01012010750000,1,1
01012010780000,01012010780000,1,0
01012020140000,01012020140000,6,0
01012020140000,01012020150000,6,0
01012020140000,01012020160000,6,0
01012020140000,01012020170000,6,0
01012020140000,01012020180000,6,0
01012020140000,01012020190000,6,0
01012020440000,01012020440000,1,0
01012020460000,01012020460000,1,0
01012020490000,01012020490000,2,0
01012020490000,01012020500000,2,0
01012020510000,01012020510000,1,0
01012030100000,01012030100000,1,0
01012030110000,01012030110000,1,0
01012050020000,01012050020000,1,1
01012070090000,01012070090000,4,0
01012070090000,01012070100000,4,0
01012070090000,01012070110000,4,0
01012070090000,01012070120000,4,0
01012100020000,01012100020000,6,0
01012100020000,01012100030000,6,0
01012100020000,01012100040000,6,0
01012100020000,01012100050000,6,0
01012100020000,01012100060000,6,0
01012100020000,01012100070000,6,0
01012110060000,01012110060000,3,0
01012110060000,01012110070000,3,0
01012110060000,01012110080000,3,0
01012110300000,01012110090000,2,0
01012110120000,01012110120000,1,0
01012110290000,01012110290000,1,0
01012110300000,01012110300000,2,0
01012110310000,01012110310000,1,0
01012110360000,01012110360000,1,0
01022000100000,01022000020000,3,0
01022000040000,01022000040000,1,1
01022000090000,01022000090000,3,0
01022000100000,01022000100000,3,0
01022010200000,01022010080000,3,0
