"","key_pin","pi_ns","address","tax_district","classes","subclass2","land_total_sf","gba","market_value","x2025_partial_value","x2025_partial_value_reason","sheet_name","file_name","idph_number","bldg_sf","units_beds","revenue_bed_night","est_pgi","est_vacancy_percent","exp_percent","noi","cap_rate","final_mv_bed","impr_name","year_blt","units_keys","rev_key_night","occupancy","rev_par","total_rev","ebitda_noi","final_mv_key","investment_rating","adj_rent_sf","pgi","v_c","egi","percent_exp","l_b_ratio","excess_land_area","excess_land_value","final_mv_sf","studios","x1br","x2br","x3br","x4br","mobile_home_pads","comm_sf","adjusted_pgi","final_mv_unit","nbhd","town_region","land_total_val","model"
"1","01-25-203-048-0000","01-25-203-048-0000","1700 W ALGONQUIN HOFFMAN ESTATES","10059","5-23","80:RETAIL-GAS STATION W/ CONVENIENCE STORE","47088","2460","2746172.16",NA,NA,"GasStations","Barrington 2025.T10.PublicModel.xlsx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","01-33-305-005-0000","01-33-305-005-0000","2 W HOFFMAN HOFFMAN ESTATES",NA,"5-23","80:RETAIL-GAS STATION W/ CONVENIENCE STORE","60228","6401","3512496.96",NA,NA,"GasStations","Barrington 2025.T10.PublicModel.xlsx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","01-12-107-016-0000","01-12-107-016-0000","1412 S BARRINGTON BARRINGTON","10021","5-97","103:SPECIAL-NURSING HOME","240962",NA,"20169000",NA,NA,"NursingHomes","Barrington 2025.T10.PublicModel.xlsx","0046524","57293","150","436.677852964369","24203057.076792","0.25","0.9","1815229.2807594","0.09","134460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","01-32-400-033-0000","01-32-400-033-0000","5225  PRAIRIE STONE HOFFMAN ESTATES","10110","5-29","5:HOTELS-LIMITED SERVICE UPPER MIDSCALE","140199",NA,"9129000",NA,NA,"Hotels","Barrington 2025.T10.PublicModel.xlsx",NA,"69221",NA,NA,NA,NA,NA,NA,"0.085",NA,"Holiday Inn Express & Suites","2019","121","126.654","0.4332","54.8665128","2580595.88691374","775985.183194961","75446.2809917355",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","01-33-300-005-0000","01-33-300-005-0000","2701  FORBS HOFFMAN ESTATES","10110","5-29","4:HOTELS-FULL SERVICE UPSCALE","682012",NA,"13990000",NA,NA,"Hotels","Barrington 2025.T10.PublicModel.xlsx",NA,"201539",NA,NA,NA,NA,NA,NA,"0.09",NA,"Marriott","2000","295","99.522","0.4056","40.3661232","5036410.56264195","1259102.64066049","47423.7288135593",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","01-35-401-019-0000","01-35-401-019-0000","2425  BARRINGTON HOFFMAN ESTATES","10092","5-29","4:HOTELS-FULL SERVICE UPSCALE","150674",NA,"8726000",NA,NA,"Hotels","Barrington 2025.T10.PublicModel.xlsx",NA,"108115",NA,NA,NA,NA,NA,NA,"0.09",NA,"Hilton Garden Inn","1999","184","99.522","0.4056","40.3661232","3141354.3848343","785338.596208575","47423.9130434783",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","01-01-100-002-0000","01-01-100-002-0000","231 W MAIN BARRINGTON","10021","5-92","57:OFFICE-SINGLETENANT","12293",NA,"418000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"2088",NA,NA,NA,NA,NA,"33343.9673356094","0.09",NA,NA,"1902",NA,NA,NA,NA,NA,NA,NA,"C","34","70992","0.1","63892.8","0.478126372054294","4","3941","47292","177.43703350154",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","01-01-100-003-0000","01-01-100-003-0000","223 W MAIN BARRINGTON","10021","5-92","57:OFFICE-SINGLETENANT","17210",NA,"519000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"1816",NA,NA,NA,NA,NA,"35967.6541878091","0.09",NA,NA,"1883",NA,NA,NA,NA,NA,NA,NA,"C","41.14","74710.24","0.1","67239.216","0.465079215263171","4","9946","119352","220.066410840731",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","01-01-100-012-0000","01-01-100-012-0000","123 W MAIN BARRINGTON","10148","5-92","76:RETAIL-SINGLE TENANT","8210",NA,"829000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"5024",NA,NA,NA,NA,NA,"68358.0685202466","0.0825",NA,NA,"1985",NA,NA,NA,NA,NA,NA,NA,"C","27.72","139265.28","0.05","132302.016","0.483318012930003","4","0","0","164.924890272743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","01-01-100-069-0000","01-01-100-069-0000","201 W MAIN BARRINGTON","10148","5-92","57:OFFICE-SINGLETENANT","8712",NA,"355000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"2006",NA,NA,NA,NA,NA,"31926.4340884658","0.09",NA,NA,"1878",NA,NA,NA,NA,NA,NA,NA,"C","34","68204","0.1","61383.6","0.479886580642618","4","0","0","176.83856258151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
