year,pin,class,tax_code_num,tax_bill_total,av_mailed,av_certified,av_board,av_clerk,exe_homeowner,exe_senior,exe_freeze,exe_longtime_homeowner,exe_disabled,exe_vet_returning,exe_vet_dis_lt50,exe_vet_dis_50_69,exe_vet_dis_ge70,exe_abate
2006,01362020020000,663,10059,477896.24,4153869,4153869,2818617,2818617,0,0,0,0,0,0,0,0,0,0
2006,02014010210000,663,29066,28242.46,130190,130190,130190,130190,0,0,0,0,0,0,0,0,0,0
2006,02153010020000,663,29007,50852.12,232154,232154,232154,232154,0,0,0,0,0,0,0,0,0,0
2006,02234010640000,663,29029,26116.15,119257,119257,119257,119257,0,0,0,0,0,0,0,0,0,0
2006,02234030020000,663,29016,149870.02,710547,710547,710547,710547,0,0,0,0,0,0,0,0,0,0
2006,02262000600000,663,29016,32360.05,153422,153422,153422,153422,0,0,0,0,0,0,0,0,0,0
2006,02334010150000,663,29045,37946.38,354673,354673,199783,199783,0,0,0,0,0,0,0,0,0,0
2006,02334010320000,663,29045,267195.67,1406751,1406751,1406751,1406751,0,0,0,0,0,0,0,0,0,0
2006,03021000500000,663,38106,260304.16,1178166,1178166,1178166,1178166,0,0,0,0,0,0,0,0,0,0
2006,03023160260000,663,38055,153890.83,696527,696527,696527,696527,0,0,0,0,0,0,0,0,0,0
2006,03032020010000,663,38055,14272.08,64597,64597,64597,64597,0,0,0,0,0,0,0,0,0,0
2006,03032020020000,663,38055,19083.71,86375,86375,86375,86375,0,0,0,0,0,0,0,0,0,0
2006,03032020030000,663,38055,18866.74,85393,85393,85393,85393,0,0,0,0,0,0,0,0,0,0
2006,03032020040000,663,38055,12313.85,55734,55734,55734,55734,0,0,0,0,0,0,0,0,0,0
2006,03032020080000,663,38055,12445.14,56328,56328,56328,56328,0,0,0,0,0,0,0,0,0,0
2006,03032020090000,663,38055,15680.34,70971,70971,70971,70971,0,0,0,0,0,0,0,0,0,0
2006,03032020100000,663,38055,8424.22,38129,38129,38129,38129,0,0,0,0,0,0,0,0,0,0
2006,03032020150000,663,38055,15095.92,68326,68326,68326,68326,0,0,0,0,0,0,0,0,0,0
2006,03032020160000,663,38055,20997.23,95036,95036,95036,95036,0,0,0,0,0,0,0,0,0,0
2006,03032020170000,663,38055,16917.64,76571,76571,76571,76571,0,0,0,0,0,0,0,0,0,0
2006,03032020180000,663,38055,16917.64,76571,76571,76571,76571,0,0,0,0,0,0,0,0,0,0
2006,03032020190000,663,38055,16917.64,76571,76571,76571,76571,0,0,0,0,0,0,0,0,0,0
2006,03032020200000,663,38055,20278.33,91782,91782,91782,91782,0,0,0,0,0,0,0,0,0,0
2006,03032020210000,663,38055,22168.44,100337,100337,100337,100337,0,0,0,0,0,0,0,0,0,0
2006,03032020220000,663,38055,20351.94,92115,92115,92115,92115,0,0,0,0,0,0,0,0,0,0
2006,03032020230000,670,38055,3000.19,13579,13579,13579,13579,0,0,0,0,0,0,0,0,0,0
2006,03032020240000,670,38055,2892.56,13092,13092,13092,13092,0,0,0,0,0,0,0,0,0,0
2006,03032030020000,663,38055,35481.88,160595,160595,160595,160595,0,0,0,0,0,0,0,0,0,0
2006,03034010030000,663,38055,35930.19,237930,162624,162624,162624,0,0,0,0,0,0,0,0,0,0
2006,03034010040000,663,38055,35930.19,237930,162624,162624,162624,0,0,0,0,0,0,0,0,0,0
2006,03034010050000,663,38055,19774.37,131590,89501,89501,89501,0,0,0,0,0,0,0,0,0,0
2006,03061080020000,663,38016,35576.71,158844,158844,158844,158844,0,0,0,0,0,0,0,0,0,0
2006,03061080030000,663,38016,35254.19,157404,157404,157404,157404,0,0,0,0,0,0,0,0,0,0
2006,03063020150000,663,38016,151181.31,674999,674999,674999,674999,0,0,0,0,0,0,0,0,0,0
2006,03063020160000,663,38016,1321438.52,7202691,7202691,5899999,5899999,0,0,0,0,0,0,0,0,0,0
2006,03063030010000,663,38016,94321.15,421128,421128,421128,421128,0,0,0,0,0,0,0,0,0,0
2006,03063030040000,663,38016,37167.34,165946,165946,165946,165946,0,0,0,0,0,0,0,0,0,0
2006,03063030140000,670,38016,13748.31,61384,61384,61384,61384,0,0,0,0,0,0,0,0,0,0
2006,03063040070000,663,38016,80401.03,358977,358977,358977,358977,0,0,0,0,0,0,0,0,0,0
2006,03063040160000,670,38016,18781.91,83858,83858,83858,83858,0,0,0,0,0,0,0,0,0,0
2006,03063040180000,663,38016,54654.68,244024,244024,244024,244024,0,0,0,0,0,0,0,0,0,0
2006,03071000150000,670,38016,893809.95,3990710,3990710,3990710,3990710,0,0,0,0,0,0,0,0,0,0
2006,03072000540000,663,38016,77486.06,345962,345962,345962,345962,0,0,0,0,0,0,0,0,0,0
