keypin,pin
20023120010000,20023120010000
20033000210000,20033000210000
20033000210000,20033000220000
20033000210000,20033000230000
20033000210000,20033000240000
20033000210000,20033000250000
20033000210000,20033000260000
20144090040000,20144080150000
20144090040000,20144080160000
20144090040000,20144080170000
20144090040000,20144090040000
20144090040000,20144090050000
20144090040000,20144090060000
20144090040000,20144090070000
20144090040000,20144090080000
21301010030000,21301010030000
21301010030000,21301010040000
21301010030000,21301010140000
21301010030000,21301010220000
21301010030000,21301010230000
21301120070000,21301120040000
21301120070000,21301120070000
21301120070000,21301120080000
21301120070000,21301120110000
21301120070000,21301120120000
21301120070000,21301120130000
21301120070000,21301120140000
21301120070000,21301120170000
21301120070000,21301120180000
21301120070000,21301120510000
21301120070000,21301120520000
21302000010000,21301210080000
21302000010000,21301210090000
21302000010000,21302000010000
21302000010000,21302000020000
21302000010000,21302000080000
21304120450000,21304120380000
21304120450000,21304120450000
20023180370000,20023180370000
20032000450000,20032000450000
20101010320000,20101010320000
20103020170000,20103020170000
20103090640000,20103090640000
20103090640000,20103090650000
20103090640000,20103090660000
20103170040000,20103170040000
20114050100000,20114050100000
20121010190000,20121010190000
20143140180000,20143140180000
20143140180000,20143140190000
20221040150000,20221040150000
20223200030000,20223200030000
20223220340000,20223220340000
20224010470000,20224010470000
20224060410000,20224060410000
20232260270000,20232260270000
20243070100000,20243070100000
20243070100000,20243070110000
20243230010000,20243230010000
20243230010000,20243230020000
20243230010000,20243230310000
20251370390000,20251370390000
20252280300000,20252280300000
20254080280000,20254080280000
20254290330000,20254290330000
20261100250000,20261100250000
20262300290000,20262300290000
20264110040000,20264110040000
20264120240000,20264120240000
20271050120000,20271050120000
20271180070000,20271180070000
20271200310000,20271200310000
20273000070000,20273000070000
20273060010000,20273060010000
20273060010000,20273060020000
20273180450000,20273180450000
20273180450000,20273180470000
20273230330000,20273230330000
20274070280000,20274070280000
20341230360000,20341230360000
20341230360000,20341230370000
20341230360000,20341230380000
20341230360000,20341230390000
20342150320000,20342150320000
20342150320000,20342150330000
20342150320000,20342150340000
20342150320000,20342150380000
20343180620000,20343180620000
20353000420000,20353000420000
20354030240000,20354030230000
20354030240000,20354030240000
20354030240000,20354030250000
20354030240000,20354030260000
20354030240000,20354030270000
20354130330000,20354130310000
20354130330000,20354130320000
20354130330000,20354130330000
20354130330000,20354130340000
20354130330000,20354130350000
20354130330000,20354130360000
20354150370000,20354150370000
20362070430000,20362070430000
20363310580000,20363310580000
21303130010000,21303130010000
21314030030000,21314030030000
25013020040000,25013020040000
25021000540000,25021000540000
25031000450000,25031000450000
25032000450000,25032000450000
25034270360000,25034270360000
25034330250000,25034330240000
25034330250000,25034330250000
25103100050000,25103100030000
25103100050000,25103100040000
25103100050000,25103100050000
25103100050000,25103100060000
25103100050000,25103100070000
25103100050000,25103100080000
25121000280000,25121000280000
25121010550000,25121010550000
25121010550000,25121010580000
25121010550000,25121010590000
25121010550000,25121010600000
25124390210000,25124390210000
25152050150000,25152050110000
25152050150000,25152050120000
25152050150000,25152050130000
25152050150000,25152050140000
25152050150000,25152050150000
25152050150000,25152050160000
25152050150000,25152050170000
25222290060000,25222290060000
25223070180000,25223070180000
25223070180000,25223070190000
25231010120000,25231010120000
25343080020000,25343080020000
25343080020000,25343080030000
26061120510000,26061120510000
26071080460000,26071080460000
20244000240000,20244000240000
20223120310000,20223120310000
