keypin_concat,pins,has_range,pins2,pins3,check_me,Alea_added
2.02402E+12,02-02-402-015-0000,0,02-02-402-015-0000,02-02-402-015-0000,0,
2.02402E+12,02-02-402-016-0000,0,02-02-402-016-0000,02-02-402-016-0000,0,
2.02402E+12,02-02-402-017-0000,0,02-02-402-017-0000,02-02-402-017-0000,0,
2.09315E+12,02-09-315-012-0000,0,02-09-315-012-0000,02-09-315-012-0000,0,
3.21304E+12,03-21-304-032-0000,0,03-21-304-032-0000,03-21-304-032-0000,0,
3.342E+12,03-34-200-204-0000,0,03-34-200-204-0000,03-34-200-204-0000,0,
4.22302E+12,04-22-302-042-0000,0,04-22-302-042-0000,04-22-302-042-0000,0,
6.28108E+12,"06-28-108-027-0000, 06-28-108-028-0000",0,06-28-108-027-0000,06-28-108-027-0000,0,
6.28108E+12,"06-28-108-027-0000, 06-28-108-028-0000",0,06-28-108-028-0000,06-28-108-028-0000,0,
7.162E+12,07-16-200-030-0000,0,07-16-200-030-0000,07-16-200-030-0000,0,
9.19301E+12,09-19-301-010-0000,0,09-19-301-010-0000,09-19-301-010-0000,0,
9.283E+12,09-28-300-033-0000,0,09-28-300-033-0000,09-28-300-033-0000,0,
1.0251E+13,"10-25-104-014-0000, 10-25-104-015-0000",0,10-25-104-014-0000,10-25-104-014-0000,0,
1.0251E+13,"10-25-104-014-0000, 10-25-104-015-0000",0,10-25-104-015-0000,10-25-104-015-0000,0,
1.0252E+13,"10-25-203-011-0000, 10-25-206-007-0000, 10-25-206-008-0000",0,10-25-203-011-0000,10-25-203-011-0000,0,
1.0252E+13,"10-25-203-011-0000, 10-25-206-007-0000, 10-25-206-008-0000",0,10-25-206-007-0000,10-25-206-007-0000,0,
1.0252E+13,"10-25-203-011-0000, 10-25-206-007-0000, 10-25-206-008-0000",0,10-25-206-008-0000,10-25-206-008-0000,0,
1.02721E+13,10-27-205-047-0000,0,10-27-205-047-0000,10-27-205-047-0000,0,
1.02731E+13,10-27-307-027-0000,0,10-27-307-027-0000,10-27-307-027-0000,0,
1.02731E+13,10-27-307-162-0000,0,10-27-307-162-0000,10-27-307-162-0000,0,
1.0352E+13,10-35-203-009-0000,0,10-35-203-009-0000,10-35-203-009-0000,0,
1.13021E+13,"11-30-210-016-0000, 11-30-210-017-0000, 11-30-210-018-0000, 11-30-210-019-0000, 11-30-210-020-0000",0,11-30-210-016-0000,11-30-210-016-0000,0,
1.13021E+13,"11-30-210-016-0000, 11-30-210-017-0000, 11-30-210-018-0000, 11-30-210-019-0000, 11-30-210-020-0000",0,11-30-210-017-0000,11-30-210-017-0000,0,
1.13021E+13,"11-30-210-016-0000, 11-30-210-017-0000, 11-30-210-018-0000, 11-30-210-019-0000, 11-30-210-020-0000",0,11-30-210-018-0000,11-30-210-018-0000,0,
1.13021E+13,"11-30-210-016-0000, 11-30-210-017-0000, 11-30-210-018-0000, 11-30-210-019-0000, 11-30-210-020-0000",0,11-30-210-019-0000,11-30-210-019-0000,0,
1.13021E+13,"11-30-210-016-0000, 11-30-210-017-0000, 11-30-210-018-0000, 11-30-210-019-0000, 11-30-210-020-0000",0,11-30-210-020-0000,11-30-210-020-0000,0,
1.2324E+13,12-32-403-025-0000,0,12-32-403-025-0000,12-32-403-025-0000,0,
1.2343E+13,12-34-300-016-0000,0,12-34-300-016-0000,12-34-300-016-0000,0,
1.30123E+13,"13-01-230-040-0000, 13-01-230-048-0000, 13-01-230-049-0000, 13-01-230-050-0000, 13-01-230-051-0000, 13-01-230-058-0000, 13-01-230-063-0000",0,13-01-230-040-0000,13-01-230-040-0000,0,
1.30123E+13,"13-01-230-040-0000, 13-01-230-048-0000, 13-01-230-049-0000, 13-01-230-050-0000, 13-01-230-051-0000, 13-01-230-058-0000, 13-01-230-063-0000",0,13-01-230-048-0000,13-01-230-048-0000,0,
1.30123E+13,"13-01-230-040-0000, 13-01-230-048-0000, 13-01-230-049-0000, 13-01-230-050-0000, 13-01-230-051-0000, 13-01-230-058-0000, 13-01-230-063-0000",0,13-01-230-049-0000,13-01-230-049-0000,0,
1.30123E+13,"13-01-230-040-0000, 13-01-230-048-0000, 13-01-230-049-0000, 13-01-230-050-0000, 13-01-230-051-0000, 13-01-230-058-0000, 13-01-230-063-0000",0,13-01-230-050-0000,13-01-230-050-0000,0,
1.30123E+13,"13-01-230-040-0000, 13-01-230-048-0000, 13-01-230-049-0000, 13-01-230-050-0000, 13-01-230-051-0000, 13-01-230-058-0000, 13-01-230-063-0000",0,13-01-230-051-0000,13-01-230-051-0000,0,
1.30123E+13,"13-01-230-040-0000, 13-01-230-048-0000, 13-01-230-049-0000, 13-01-230-050-0000, 13-01-230-051-0000, 13-01-230-058-0000, 13-01-230-063-0000",0,13-01-230-058-0000,13-01-230-058-0000,0,
1.30123E+13,"13-01-230-040-0000, 13-01-230-048-0000, 13-01-230-049-0000, 13-01-230-050-0000, 13-01-230-051-0000, 13-01-230-058-0000, 13-01-230-063-0000",0,13-01-230-063-0000,13-01-230-063-0000,0,
1.31311E+13,13-13-105-009-0000,0,13-13-105-009-0000,13-13-105-009-0000,0,
1.3234E+13,"13-23-402-027-0000, 13-23-402-077-0000, 13-23-402-078-0000, 13-23-402-079-0000, 13-23-402-080-0000",0,13-23-402-027-0000,13-23-402-027-0000,0,
1.3234E+13,"13-23-402-027-0000, 13-23-402-077-0000, 13-23-402-078-0000, 13-23-402-079-0000, 13-23-402-080-0000",0,13-23-402-077-0000,13-23-402-077-0000,0,
1.3234E+13,"13-23-402-027-0000, 13-23-402-077-0000, 13-23-402-078-0000, 13-23-402-079-0000, 13-23-402-080-0000",0,13-23-402-078-0000,13-23-402-078-0000,0,
