keypin,pin,majorclass_1,first_year_1,last_year_1,yrs_existed_1,majorclass_2,first_year_2,last_year_2,yrs_existed_2,majorclass_3,first_year_3,last_year_3,yrs_existed_3,majorclass_4,first_year_4,last_year_4,yrs_existed_4
NA,01362020020000,6,2006,2007,2,5,2008,2022,15,NA,NA,NA,NA,NA,NA,NA,NA
NA,01363020010000,1,2019,2019,1,5,2020,2021,2,6,2022,2022,1,NA,NA,NA,NA
NA,01364020100000,6,2009,2022,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01364020110000,01364020110000,1,2009,2009,1,6,2010,2022,13,NA,NA,NA,NA,NA,NA,NA,NA
NA,01364020120000,6,2009,2021,13,5,2022,2022,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,01364020130000,6,2009,2021,13,5,2022,2022,1,NA,NA,NA,NA,NA,NA,NA,NA
01364020160000,01364020160000,6,2011,2022,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01364020220000,01364020220000,1,2016,2016,1,5,2017,2020,4,6,2021,2022,2,NA,NA,NA,NA
NA,02014010140000,5,2006,2020,15,7,2021,2022,2,NA,NA,NA,NA,NA,NA,NA,NA
NA,02014010210000,6,2006,2020,15,5,2021,2022,2,NA,NA,NA,NA,NA,NA,NA,NA
02021010180000,02021010180000,5,2006,2016,11,7,2017,2022,6,NA,NA,NA,NA,NA,NA,NA,NA
02024020150000,02024020150000,7,2020,2022,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02024020160000,02024020160000,7,2020,2022,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02024020170000,02024020170000,7,2020,2022,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02093150120000,02093150120000,5,2006,2019,14,7,2020,2022,3,NA,NA,NA,NA,NA,NA,NA,NA
NA,02153010020000,6,2006,2015,10,5,2016,2022,7,NA,NA,NA,NA,NA,NA,NA,NA
02154320210000,02154320210000,5,2006,2014,9,6,2015,2022,8,NA,NA,NA,NA,NA,NA,NA,NA
02232200030000,02232200030000,5,2006,2019,14,6,2020,2022,3,NA,NA,NA,NA,NA,NA,NA,NA
02232200030000,02232200060000,5,2006,2019,14,6,2020,2022,3,NA,NA,NA,NA,NA,NA,NA,NA
02233130100000,02233130100000,5,2006,2022,5,6,2010,2021,12,NA,NA,NA,NA,NA,NA,NA,NA
02233130340000,02233130340000,5,2006,2014,9,6,2015,2022,8,NA,NA,NA,NA,NA,NA,NA,NA
02233130370000,02233130370000,5,2006,2017,12,6,2018,2022,5,NA,NA,NA,NA,NA,NA,NA,NA
02233130380000,02233130380000,5,2006,2010,5,6,2011,2022,12,NA,NA,NA,NA,NA,NA,NA,NA
NA,02234000060000,5,2006,2020,15,6,2021,2022,2,NA,NA,NA,NA,NA,NA,NA,NA
02234010160000,02234010160000,5,2006,2020,15,6,2021,2022,2,NA,NA,NA,NA,NA,NA,NA,NA
02234010210000,02234010210000,5,2006,2009,4,6,2010,2022,13,NA,NA,NA,NA,NA,NA,NA,NA
02234010160000,02234010240000,5,2006,2020,15,6,2021,2022,2,NA,NA,NA,NA,NA,NA,NA,NA
02234010160000,02234010370000,5,2006,2020,15,6,2021,2022,2,NA,NA,NA,NA,NA,NA,NA,NA
02234010380000,02234010380000,5,2006,2020,15,6,2021,2022,2,NA,NA,NA,NA,NA,NA,NA,NA
02234010530000,02234010530000,5,2006,2014,9,6,2015,2022,8,NA,NA,NA,NA,NA,NA,NA,NA
NA,02234010640000,6,2006,2012,7,5,2013,2022,10,NA,NA,NA,NA,NA,NA,NA,NA
NA,02234020330000,5,2006,2020,15,6,2021,2022,2,NA,NA,NA,NA,NA,NA,NA,NA
02234020361001,02234020361001,0,2006,2017,12,5,2018,2019,2,6,2020,2022,3,NA,NA,NA,NA
02234020361002,02234020361002,0,2006,2017,12,5,2018,2019,2,6,2020,2022,3,NA,NA,NA,NA
NA,02234020361004,5,2006,2021,16,6,2022,2022,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,02234030020000,6,2006,2007,2,5,2008,2022,15,NA,NA,NA,NA,NA,NA,NA,NA
NA,02251000360000,5,2014,2021,8,7,2022,2022,1,NA,NA,NA,NA,NA,NA,NA,NA
02261030110000,02261030110000,5,2006,2016,11,6,2017,2022,6,NA,NA,NA,NA,NA,NA,NA,NA
02262000280000,02262000280000,5,2006,2015,10,6,2016,2022,7,NA,NA,NA,NA,NA,NA,NA,NA
NA,02262000600000,6,2006,2016,11,5,2017,2022,6,NA,NA,NA,NA,NA,NA,NA,NA
NA,02262000660000,5,2007,2013,7,6,2014,2022,9,NA,NA,NA,NA,NA,NA,NA,NA
NA,02262000680000,6,2022,2022,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,02262010300000,5,2016,2021,6,7,2022,2022,1,NA,NA,NA,NA,NA,NA,NA,NA
02284000770000,02284000770000,5,2006,2020,15,6,2021,2022,2,NA,NA,NA,NA,NA,NA,NA,NA
02334010150000,02334010150000,6,2006,2022,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,02334010320000,6,2006,2018,13,5,2019,2022,4,NA,NA,NA,NA,NA,NA,NA,NA
02343000190000,02343000190000,5,2006,2016,11,6,2017,2022,6,NA,NA,NA,NA,NA,NA,NA,NA
NA,02343000600000,5,2006,2019,2,6,2007,2018,12,NA,NA,NA,NA,NA,NA,NA,NA
03021000500000,03021000500000,6,2006,2022,11,5,2009,2019,6,NA,NA,NA,NA,NA,NA,NA,NA
NA,03022000820000,5,2006,2021,16,7,2022,2022,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,03023160260000,6,2006,2011,6,5,2012,2022,11,NA,NA,NA,NA,NA,NA,NA,NA
03023160400000,03023160400000,5,2006,2015,10,6,2016,2022,7,NA,NA,NA,NA,NA,NA,NA,NA
NA,03023160460000,1,2006,2007,2,6,2008,2019,12,5,2020,2022,3,NA,NA,NA,NA
NA,03023160470000,5,2006,2022,5,6,2008,2019,12,NA,NA,NA,NA,NA,NA,NA,NA
03032000260000,03032000260000,2,2006,2012,7,1,2013,2017,5,5,2018,2019,2,6,2020,2022,3
NA,03032020010000,6,2006,2007,2,5,2008,2022,15,NA,NA,NA,NA,NA,NA,NA,NA
NA,03032020020000,6,2006,2007,2,5,2008,2022,15,NA,NA,NA,NA,NA,NA,NA,NA
NA,03032020030000,6,2006,2007,2,5,2008,2022,15,NA,NA,NA,NA,NA,NA,NA,NA
NA,03032020040000,6,2006,2007,2,5,2008,2022,15,NA,NA,NA,NA,NA,NA,NA,NA
NA,03032020080000,6,2006,2015,10,5,2016,2022,7,NA,NA,NA,NA,NA,NA,NA,NA
NA,03032020090000,6,2006,2015,10,5,2016,2022,7,NA,NA,NA,NA,NA,NA,NA,NA
NA,03032020100000,6,2006,2015,10,5,2016,2022,7,NA,NA,NA,NA,NA,NA,NA,NA
NA,03032020150000,6,2006,2014,9,5,2015,2022,8,NA,NA,NA,NA,NA,NA,NA,NA
NA,03032020160000,6,2006,2014,9,5,2015,2022,8,NA,NA,NA,NA,NA,NA,NA,NA
NA,03032020170000,6,2006,2014,9,5,2015,2022,8,NA,NA,NA,NA,NA,NA,NA,NA
NA,03032020180000,6,2006,2014,9,5,2015,2022,8,NA,NA,NA,NA,NA,NA,NA,NA
NA,03032020190000,6,2006,2014,9,5,2015,2022,8,NA,NA,NA,NA,NA,NA,NA,NA
