year,class_group,cty_mc_PC,cty_mc_parcels,cty_mc_PC_residential,cty_mc_PC_industrial,cty_mc_PC_commercial,cty_mc_PC_com_incent,cty_mc_PC_com_incent_inTIF,cty_mc_PC_ind_incent,cty_mc_PC_ind_incent_inTIF,cty_mc_PC_inTIF,cty_mc_PC_withincents,cty_mc_PC_incents_inTIFs,cty_mc_PC_claimed_exe,cty_mc_PC_comandind,cty_mc_PC_comandind_inTIF,cty_mc_fmv_incentive,cty_mc_fmv_taxed,cty_mc_fmv_incents_inTIFs,cty_mc_fmv_inTIF,cty_mc_fmv_incents_tif_increment,cty_mc_fmv_tif_increment,cty_mc_fmv_untaxable_value,cty_mc_fmv,cty_mc_fmv_exemptions,cty_mc_fmv_abatements,cty_mc_zero_bill,cty_mc_fmv_residential,cty_mc_fmv_c2,cty_mc_fmv_industrial,cty_mc_fmv_indwithincent,cty_mc_fmv_ind_incent_inTIF,cty_mc_fmv_commercial,cty_mc_fmv_comwithincent,cty_mc_fmv_com_incent_inTIF,cty_mc_fmv_comandind,cty_mc_levy,cty_mc_current_rate_avg,cty_mc_avg_C2_bill_noexe,cty_mc_avg_C2_bill_withexe,cty_mc_av_taxed,cty_mc_av_taxed_commerc,cty_mc_av_taxed_indust,cty_mc_untaxable_value_av,cty_mc_av,cty_mc_final_tax_to_dist,cty_mc_final_tax_to_tif,cty_mc_taxed_eav,cty_mc_taxed_eav_commerc,cty_mc_taxed_eav_indust,exempt_allexemptions_eav,exempt_GHE_eav,exempt_SR_eav,exempt_FR_eav,exempt_LTHO_eav,exempt_DIS_eav,exempt_VET_eav,total_value_eav,untaxable_value_eav,has_HO_exemp,has_SR_exemp,has_FR_exemp,has_LTHO_exemp,has_DI_exemp,has_VR_exemp,has_DV_exemp,has_AB_exemp,cty_mc_taxable_value_fmv,cty_mc_pct_fmv_untaxable,cty_mc_pct_fmv_taxed,cty_mc_pct_fmv_incentinTIF,cty_mc_pct_fmv_incents_tif_increment,cty_mc_pct_av_taxed,cty_mc_pct_av_untaxable,cty_mc_pct_incent_oftotalPC,cty_mc_pct_incent_ofcomPC,cty_mc_pct_incent_ofindPC,cty_mc_pct_PC_incent_inTIF
2006,0,91980,91432,0,0,0,0,0,0,0,26285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91980,0,0,0,0,0,0,0,0,0,0,0.07107062339639052,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
2006,1,70988,70948,0,0,0,0,0,0,0,16463,0,0,5,0,0,0,3043969046.0954933,0,1085621022.7272727,0,644124852.4595331,141711072.9480998,3688328186.363636,15669.697417370633,718.5162304086814,2976,0,0,0,0,0,0,0,0,0,127335846.98901932,0.0768429086606187,NA,NA,669673190.1410085,0,0,141711072.9480998,811432201,127335846.98901932,23430332.42098069,1813207129.6257944,0,0,9762,0,0,0,0,0,9334,2197033827.4275994,383696901.1142749,0,0,0,0,0,0,4,1,3546617113.4155364,0.03842149228260903,0.8252977751138183,NA,NA,0.8252977751138182,0.17464314673913192,0,NA,NA,NA
2006,2,1492619,1137072,1492619,0,0,0,0,0,0,81649,0,0,1018445,0,0,0,188970696551.52725,0,11617349150,0,7143154088.556823,9164019929.204153,246370107418.75,50110180591.20625,1572139.5331659035,6901,246370107418.75,246370107418.75,0,0,0,0,0,0,0,5538802214.24039,0.07152702029787908,3827.463085365288,3835.740481066724,30236999965.293003,0,0,9164019929.204153,39421268476,5538802214.24039,182571981.03961006,81869701106.02731,0,0,21709240808,16800133805,841986635,4064020755,0,0,2418537,106737026525.61758,24812500360.313164,1018311,241132,119039,0,0,0,94,13,237206087489.54584,0.037196151859560884,0.7670195809523994,NA,NA,0.7670225016656058,0.23246385221681248,0,NA,NA,NA
2006,3,18156,16520,18156,0,0,0,0,0,0,2706,0,0,70,0,0,0,10731599949.014687,0,1197091370.8333335,0,685883438.3310144,166306909.22958085,11434721708.333334,2039441.4487615111,5022575.343477619,26,11434721708.333334,0,0,0,0,0,0,0,0,431250220.0354547,0.0658338306895792,NA,NA,2575583987.763525,0,0,166306909.22958085,2744333210,431250220.0354547,26516238.974545315,6973651205.268519,0,0,4589068,936035,389243,0,0,0,0,7430556599.395999,450292587.43001306,21,44,0,0,0,0,0,12,11268414799.103754,0.014544027696658381,0.9385099369050468,NA,NA,0.9385099369050469,0.06060011540274326,0,NA,NA,NA
2006,4,971,879,0,50,921,0,0,0,0,212,0,0,0,971,212,0,524487699.19824564,0,135928726.6666667,0,47904132.419811696,14371239.725943508,572671580,0,0,2,0,0,52285393.333333336,0,0,520386186.6666667,0,0,572671580,27904990.232084356,0.07236472708547889,NA,NA,157346309.75947368,142522500.99444762,14823808.765026076,14371239.725943508,171801474,27904990.232084356,2406933.867915643,426030868.3047509,385893923.69256634,40136944.6121846,0,0,0,0,0,0,0,465169671.0024,38911568.681964636,0,0,0,0,0,0,0,0,558300340.2740564,0.02509508106887984,0.9158612327125534,NA,NA,0.9158612327125534,0.08365027022959948,0,0,0,NA
2006,5A,68040,64939,0,0,68040,0,0,0,0,21619,0,0,450,68040,21619,0,40560981823.65104,0,14740309018.421053,0,7141090117.030791,2735014861.2540913,48134339557.89474,10272518.485977095,46044894.09926056,171,0,0,0,0,0,48134339557.89474,0,0,48134339557.89474,2635424156.6399903,0.07062493694885362,NA,NA,15413173092.987394,15413173092.987394,0,2735014861.2540913,18291049032,2635424156.6399903,459404253.6000096,41732707466.57266,41732707466.57266,0,57944310,8261487,1185799,1121985,0,0,0,49524844359.0432,7405326238.331576,172,48,23,0,0,0,0,273,45399324696.64065,0.05682045056345868,0.8426620619748058,NA,NA,0.8426620619748058,0.14952750148278598,0,0,NA,NA
2006,5B,25695,25229,0,25695,0,0,0,0,0,9477,0,0,142,25695,9477,0,10049821241.28329,0,2726667211.111111,0,1354664796.498719,499888141.5570894,11410249933.333334,100811.91214852023,33812562.58104759,25,0,0,11410249933.333334,0,0,0,0,0,11410249933.333334,721436991.4225043,0.07053988986184083,NA,NA,3617935646.8619847,0,3617935646.8619847,499888141.5570894,4107689976,721436991.4225043,83432749.27749573,9795922557.443508,0,9795922557.443508,33056587,84265,14000,0,0,0,0,11121981379.0176,1353497132.0799751,19,4,0,0,0,0,0,123,10910361791.776245,0.043810446263472386,0.8807713503211043,NA,NA,0.8807713503211043,0.12169568406520108,0,NA,0,NA
2006,6,1169,1150,0,1169,0,0,0,1169,396,396,1169,396,40,1169,396,2580981268.3333335,2133927024.778638,774241172.5,774241172.5,439951346.19334435,439951346.19334435,267124151.4465277,2580981268.3333335,11541.58664499926,33660303.405229725,0,0,0,2580981268.3333335,2580981268.3333335,774241172.5,0,0,0,2580981268.3333335,72039846.67440052,0.08159789563729683,NA,NA,342229531.3153501,0,342229531.3153501,267124151.4465277,413850426,72039846.67440052,12769271.585599473,926620678.9894419,0,926620678.9894419,14587182,5000,0,0,0,0,0,1120541413.4376,723265352.4566183,1,0,0,0,0,0,0,39,2313857116.886806,0.10349712906635036,0.8267890398742102,0.29997938458498213,0.17045894582467952,0.8269401450739358,0.645460617325854,1,NA,1,0.33875106928999144
2006,7A,38,38,0,0,38,38,32,0,0,32,38,32,0,38,32,9431852.355072463,4403290.69259679,6849085.978260869,6849085.978260869,5028559.536218173,5028559.536218173,1047730.7276009613,9431852.355072463,0,0,0,0,0,0,0,0,9431852.355072463,9431852.355072463,6849085.978260869,9431852.355072463,199419.84225456644,0.06611894736842105,NA,NA,1025373.6797887853,1025373.6797887853,0,1047730.7276009613,1997656,199419.84225456644,163469.30774543356,2776301.7753961147,2776301.7753961147,0,0,0,0,0,0,0,0,5408853.3856,2836835.7180523626,0,0,0,0,0,0,0,0,8384121.627471502,0.1110843011699065,0.46685322530824974,0.7261655208774999,0.533146549258037,0.5132884139155016,0.5244800544242659,1,1,NA,0.8421052631578947
2006,7B,48,48,0,0,48,48,47,0,0,47,48,47,0,48,47,103317306.25,43715665.23697171,103104768.75,103104768.75,59601628.054447606,59601628.054447606,13470670.360039072,103317306.25,0,0,0,0,0,0,0,0,103317306.25,103317306.25,103104768.75,103317306.25,1020151.3491173334,0.07341416666666667,NA,NA,6994506.437915475,6994506.437915475,0,13470670.360039072,16530769,1020151.3491173334,1387636.5108826666,18938325.63129994,18938325.63129994,0,0,0,0,0,0,0,0,44758710.1444,36473187.06684179,0,0,0,0,0,0,0,0,89846635.88996093,0.13038154834818946,0.42312045119712666,0.9979428664207939,0.5768794233778003,0.4231204511971267,0.8148846771761842,1,1,NA,0.9791666666666666
2006,8A,121,106,0,0,121,121,31,0,0,31,121,31,7,121,31,74738012.5,59125122.03419672,23136550,23136550,15612883.98580451,15612883.98580451,7989284.010406072,74738012.5,0,1062259.934997784,0,0,0,0,0,0,74738012.5,74738012.5,23136550,74738012.5,3030527.920213212,0.1196597520661157,NA,NA,9576001.181406345,9576001.181406345,0,7989284.010406072,12092509,3030527.920213212,795986.0697867885,25927980.79877582,25927980.79877582,0,460188,0,0,0,0,0,0,32741677.368399996,21631785.38657548,0,0,0,0,0,0,0,7,66748728.48959393,0.10689719652908983,0.7910983990134434,0.30956870842665235,0.20890151428370549,0.7918953115028772,0.6606804270648938,1,1,NA,0.256198347107438
2006,8B,151,151,0,151,0,0,0,151,63,63,151,63,6,151,63,56559106.25,28739509.558534518,36461156.25,36461156.25,27781139.702108067,27781139.702108067,7455299.10786319,56559106.25,0,2648505.5953612057,0,0,0,56559106.25,56559106.25,36461156.25,0,0,0,56559106.25,1588047.259567348,0.12492364238410596,NA,NA,4598321.529365523,0,4598321.529365523,7455299.10786319,9049457,1588047.259567348,1357617.310432652,12450415.372910088,0,12450415.372910088,1147375,0,0,0,0,0,0,24502309.773199998,20185967.864450373,0,0,0,0,0,0,0,6,49103807.14213681,0.13181430192531005,0.5081323143880924,0.6446558064202084,0.4911877422410307,0.5081323143880924,0.8238393870331877,1,NA,1,0.41721854304635764
2006,9,1338,1338,0,0,0,0,0,0,0,316,0,0,0,0,0,0,852515818.5558529,0,226265893.75,0,134513369.64626816,21522139.143402908,993165862.5,0,0,0,0,0,0,0,0,0,0,0,0,23621628.04030923,0.06847366218236173,NA,NA,136402530.96893647,0,0,21522139.143402908,158906538,23621628.04030923,3355004.3496907684,369323492.85149235,0,0,0,0,0,0,0,0,0,430255342.28879994,58273343.9446777,0,0,0,0,0,0,0,0,971643723.3565971,0.021670236519434245,0.8583821199914157,NA,NA,0.8583821199914158,0.13543897824646403,0,NA,NA,NA
2007,0,91914,91365,0,0,0,0,0,0,0,27971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91914,0,0,0,0,0,0,0,0,0,0,0.06782856779163131,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
2007,1,69792,69762,0,0,0,0,0,0,0,17187,0,0,6,0,0,0,2914860232.552174,0,1135642363.6363637,0,705044821.7443284,155130060.8611108,3620074259.090909,14918.693599378574,717.6444639083971,3116,0,0,0,0,0,0,0,0,0,121754171.83254944,0.07417853536221916,NA,NA,641298189.9617864,0,0,155130060.8611108,796462036,121754171.83254944,25301926.637450557,1823787922.4323244,0,0,57447,0,0,0,47664,0,9334,2265058384.1804004,441174380.082913,0,0,0,1,0,0,4,1,3464944198.2297983,0.04285272891061297,0.8051934916064866,NA,NA,0.8051836258040884,0.1947739551281146,0,NA,NA,NA
