year,cty_PC,cty_PC_residential,cty_PC_industrial,cty_PC_commercial,cty_PC_inTIF,cty_PC_withincents,cty_PC_incents_inTIFs,cty_PC_claimed_exe,cty_fmv_incentive,cty_fmv_taxed,cty_fmv_incents_inTIFs,cty_fmv_inTIF,cty_fmv_incents_tif_increment,cty_fmv_tif_increment,cty_fmv_untaxable_value,cty_fmv,cty_fmv_exemptions,cty_fmv_abatements,cty_zero_bill,cty_fmv_residential,cty_fmv_industrial,cty_fmv_commercial,cty_levy,cty_current_rate_avg,cty_avg_C2_bill_noexe,cty_avg_C2_bill_withexe,cty_av_taxed,cty_untaxable_value_av,cty_av,has_HO_exemp,has_SF_exemp,has_FR_exemp,has_LTHO_exemp,has_DI_exemp,has_VR_exemp,has_DV_exemp,has_AB_exemp,cty_pct_fmv_untaxable,cty_pct_fmv_taxed,cty_pct_av_taxed,cty_pct_av_untaxable
2006,1771314,1510775,27065,69168,159296,1528,570,1018697,2825064264.438406,257376814528.69296,943829452.2282609,32673025126.987698,545396313.5719377,17792615788.96408,12872288702.122168,325428611792.86346,50122620574.33717,123823959.00877081,95585,257804829127.08334,14100075701.25,48842212915.66647,9597573592.210001,7.162161119372403,3833.9182486508375,3836.008008171353,53294624180.716965,12872288702.122168,66160001724,1018524,241228,119062,0,0,0,98,474,0.03955487697042271,0.7908856357489373,0.8055414569522898,0.19456300433336682
2007,1804219,1544346,26732,69987,182347,1663,642,1059169,3032431211.352657,273919467339.35107,1039037405.4710145,36466534441.64194,586433853.9931158,20389643278.24043,14630384334.974998,351720546611.3387,57273218485.38817,126533913.0110019,95734,281645999307.38635,14672699478.055555,50690258573.05587,9863492883.13,6.748871936832502,3870.795605354803,4006.1211984308884,55982659967.89337,14630384334.974998,70605112687,984706,260085,110608,74298,2012,25,602,470,0.04159661548332004,0.7787985944478812,0.7928981037969655,0.20721423390163052
2008,1832618,1572352,26706,70543,197459,1868,710,1083570,3427557723.75,286586778989.4797,1048770321.25,35834836231.74043,583910997.6273836,20301181228.09596,14293351517.106379,363962456264.8166,56900969202.49347,159654153.38211083,97053,292144459237.5,14767567650.833334,52191737555.460526,10371623751.5,6.464878881469028,3904.584782446407,4221.409128691029,58321022637.56816,14293351517.106379,72603079327,995686,271619,113630,87714,5498,49,920,481,0.03927149976893945,0.7874075307947727,0.8032857996958187,0.19686976984447124
2009,1849650,1588552,26474,71464,207856,1950,703,1101131,4546525825,417806194256.0945,1280390430,51136274639.5,679409213.3273394,29059990674.45098,12299808547.815474,524282361205.5,77191238503.53105,210828672.8138631,97874,433611884922.5,17092294059,66425325494,10542559152.24,6.433511906036281,3949.8434701667293,4530.582155356897,52882150392.97154,12299808547.815474,65171205159,995802,280782,111443,105227,8319,83,1209,487,0.023460275336240784,0.7969106442860651,0.8114342870283509,0.18873072114912237
2010,1859244,1598222,26509,71986,217240,2067,745,1087072,4321164920,412009014992.6667,1298031660,50466905552.92308,648013833.4675819,27443991175.173992,10191377607.376408,499249643870.46155,59579308331.09537,206963661.4918415,99621,412229489378.46155,16445902479,63793358053,10869597805.429998,6.8686590942340064,3930.3542616687946,4789.65354880469,51599278230.80265,10191377607.376408,61780460997,986201,243268,117883,100737,10292,96,1552,514,0.020413389839133718,0.8252565025355715,0.8352038395004573,0.1649611777398568
2011,1861008,1600616,26822,72197,223236,2254,831,1091451,4545417148.333333,411628698840.4892,1477495610,50499618066,607271404.7964835,25100413700.13614,7970006703.344111,478832178130.3333,41881769820.91161,210405089.88083214,98949,393555108650,15960417471.666666,63155813368.666664,10995833886.43,7.988136128377737,3816.2506617811887,4925.299506632272,51119071357.93638,7970006703.344111,59080142319,1059349,241703,102075,32006,11833,54,1647,592,0.016644676501199458,0.8596512883652694,0.8652496312876456,0.13490161652472832
2012,1862181,1602396,27001,72531,223265,2351,829,1104560,4764324286.666667,387236413284.2709,1501222866.6666667,47324256632.666664,628140144.5481005,22354699509.752327,7574317205.362891,450897076304.6667,41095237439.406944,200373677.64471057,103732,368015768470,15630432056,62041248548.666664,11262461226.33,9.095906076262196,3793.8499230585685,4928.811437737461,48460357655.23439,7574317205.362891,56026251877,1067862,260279,96155,36624,14189,113,1932,575,0.016798328495359328,0.8588133160185298,0.8649580514795855,0.13519228846490647
2013,1861935,1601475,26773,72375,222937,2465,862,1084411,5017545705,375498203937.9658,1583435495,46362349467,621488002.3269087,20317863186.564598,7052055455.4755,435361371713,39351853620.82534,182987377.63419855,104397,354049370890,15147402792,61280127251,11428610356.039997,10.013346780634132,3902.0673381126817,4903.098456079156,47205259694.194534,7052055455.4755,54249155814,1070676,256265,81763,13667,14980,56,2262,603,0.016198165279864042,0.8624977509155375,0.8701565763722418,0.12999382846904295
2014,1862170,1601605,26549,71956,211393,2550,933,1060733,5287557081.666667,373384052606.7329,1863400200,44325250996,630528714.7168362,17704072997.96984,6638877286.016443,429091716103.6667,37809309085.23807,183483273.52340415,105726,348140169290,14841003601.666666,61235016682,11713633747.109999,10.279140736345234,4018.400779729084,4964.246323290916,46897313580.96638,6638877286.016443,53528239539,1033849,259211,111736,26799,16029,71,2549,677,0.01547193067789852,0.8701730622935749,0.8761228462743966,0.1240256982705258
2015,1862756,1602898,26337,72014,220379,2713,928,1037963,6011684056.666667,395757563282.02136,2089931223.3333333,49599625791.333336,745656197.2024962,20671021974.349007,7073254565.189036,454402360106.6667,37914566544.50066,50000244.332021736,104989,368216845210,15189101574,65883430132.666664,12315151047.21,10.59540345917555,4348.053742973027,5178.31495150374,49633420249.048874,7073254565.189036,56702632134,1033154,265598,104569,4721,16485,24,1257,130,0.015566060360092884,0.8709408181531474,0.8753283292344327,0.12474296693094386
