year,cty_PC,cty_parcels,cty_PC_residential,cty_PC_industrial,cty_PC_commercial,cty_PC_com_incent,cty_PC_com_incent_inTIF,cty_PC_ind_incent,cty_PC_ind_incent_inTIF,cty_PC_inTIF,cty_PC_withincents,cty_PC_incents_inTIFs,cty_PC_claimed_exe,cty_PC_comandind,cty_PC_comandind_inTIF,cty_fmv_incentive,cty_fmv_taxed,cty_fmv_incents_inTIFs,cty_fmv_inTIF,cty_fmv_incents_tif_increment,cty_fmv_tif_increment,cty_fmv_untaxable_value,cty_fmv,cty_fmv_exemptions,cty_fmv_abatements,cty_zero_bill,cty_fmv_residential,cty_fmv_c2,cty_fmv_industrial,cty_fmv_indwithincent,cty_fmv_ind_incent_inTIF,cty_fmv_commercial,cty_fmv_comwithincent,cty_fmv_com_incent_inTIF,cty_fmv_comandind,cty_levy,cty_current_rate_avg,cty_avg_C2_bill_noexe,cty_avg_C2_bill_withexe,cty_av_taxed,cty_av_taxed_commerc,cty_av_taxed_indust,cty_untaxable_value_av,cty_av,cty_final_tax_to_dist,cty_final_tax_to_tif,cty_taxed_eav,cty_taxed_eav_commerc,cty_taxed_eav_indust,exempt_allexemptions_eav,exempt_GHE_eav,exempt_SR_eav,exempt_FR_eav,exempt_LTHO_eav,exempt_DIS_eav,exempt_VET_eav,total_value_eav,untaxable_value_eav,has_HO_exemp,has_SR_exemp,has_FR_exemp,has_LTHO_exemp,has_DI_exemp,has_VR_exemp,has_DV_exemp,has_AB_exemp,cty_taxable_value_fmv,cty_pct_fmv_untaxable,cty_pct_fmv_taxed,cty_pct_fmv_incentinTIF,cty_pct_fmv_incents_tif_increment,cty_pct_av_taxed,cty_pct_av_untaxable,cty_pct_incent_oftotalPC,cty_pct_incent_ofcomPC,cty_pct_incent_ofindPC,cty_pct_PC_incent_inTIF
2006,1771314,1408357,1510775,27065,69168,207,110,1320,459,159296,1527,569,1019165,96233,31877,2825027545.688406,257003982741.6268,943792733.4782609,32673025126.987698,547975557.4719226,17699310352.414883,13039921428.714804,325428611792.8634,50122620574.337204,123823959.00877081,102081,257804829127.08334,246370107418.75,14100075701.25,2637540374.5833335,810702328.75,48842212915.66647,187487171.10507247,133090404.72826087,62942288616.91647,9583654040.645306,0.07162161119372397,3827.463085365288,3835.740481066724,53171538457.91915,15573291475.280952,3979587308.4717264,13039921428.714804,66160001724,9583654040.645306,797591474.3146948,143967257528.66187,42166243998.4707,10775130596.418045,21821035280,16809420592,843575677,4065142740,0,0,2427871,179134820667.90237,35306891260.38819,1018524,241228,119062,0,0,0,98,474,312388690364.1486,0.040069990640573316,0.7897399719272713,0.3340826658199102,0.19397175730489782,0.8036810319282505,0.19709675164631202,8.620718856171181e-4,0.002992713393476752,0.04877147607611306,0.37262606417812705
2007,1804219,1410208,1544346,26732,69987,278,138,1384,503,182347,1662,641,1059631,96719,35220,3032394492.602657,273608893057.29944,1039000686.7210145,36466534441.64194,589390891.1663865,20326244401.585316,14824049450.769218,351720546611.3387,57273218485.38812,126533913.0110019,102451,281645999307.38635,270388085793.75,14672699478.055555,2778789759.7222223,858829470.4166666,50690258573.05587,253604732.88043478,180171216.3043478,65362958051.11143,9850611583.160671,0.067488719368325,3867.802624178521,4005.9595238234638,55865070637.442986,15965763649.470709,4088869870.0949817,14824049450.769218,70605112687,9850611583.160671,890379167.7293293,158874674385.8241,45405035242.72975,11628337023.56312,26174084827,17477907379,911394660,4567291177,3103806289,3951837,4749939,200793879970.5593,42158114233.042564,984706,260085,110608,74298,2012,25,602,470,336896497160.56946,0.04214723761119995,0.7779155801200467,0.3426337467818234,0.1943648468575477,0.7912326531521705,0.20995716721656987,9.211742033533623e-4,0.0039721662594481835,0.0517731557683675,0.38567990373044525
2008,1832618,1412826,1572352,26706,70543,331,153,1537,557,197459,1868,710,1084039,97249,35327,3427557723.75,286089359637.95593,1048770321.25,35834836231.74043,587911437.2913471,20222548845.33523,14510171901.05855,363962456264.8166,56900969202.49347,159654153.38211083,104123,292144459237.5,280815500637.5,14767567650.833334,2984288362.5,860516637.5,52191737555.460526,443269361.25,188253683.75,66959305206.29386,10349119228.989794,0.06464878881469023,3901.230485888863,4221.270622118391,58127902350.9268,16892247884.028957,4044454552.368021,14510171901.05855,72603079327,10349119228.989794,872941679.2002062,173139769942.4706,50315249547.36865,12046812329.683388,27257850515,17196129618,1087075719,5199345016,3627298691,10750356,6035895,216255532083.40222,43219998024.49299,995686,271619,113630,87714,5498,49,920,481,349452284363.75806,0.03986722160843163,0.7860408531527199,0.305981811475539,0.17152488292688148,0.8006258534727178,0.19985614984325373,0.001019306805891899,0.004692173567894759,0.057552609900396914,0.38008565310492504
2009,1849653,1413375,1588552,26474,71464,335,129,1615,574,207859,1950,703,1101606,97938,36277,4546525825,416881543311.8102,1280390430,51136357399.5,684400786.1046394,28984011371.519604,12857558738.948969,524282443965.5,77191238503.53098,210828672.8138631,105116,433611884922.5,418661728460,17092294059,3663754955,1049056390,66425325494,882770870,231334040,83517619553,10511736464.676275,0.06433508976007933,3946.0376248310217,4530.374912761309,52647536218.787605,14105479902.555395,3180153826.0944653,12857558738.948969,65171213435,10511736464.676275,840270172.0937268,177427461810.93613,47536877819.60194,10717436409.320957,26139717597,15404384126,1110996257,5247951285,4229768990,16246417,7070142,219633506397.29352,43331258706.13185,995802,280782,111443,105227,8319,83,1209,487,511424885226.551,0.024524106971232192,0.7951468680863225,0.28161952208860486,0.15053269517162357,0.807834217653425,0.19728892652540142,0.0010542517974993148,0.004687674913243032,0.061003248470197176,0.3605128205128205
2010,1859244,1413833,1598222,26509,71986,344,141,1723,604,217240,2067,745,1087574,98495,37071,4321164920,411595680602.9236,1298031660,50466905552.92308,655872423.5261734,27325837548.720226,10698574954.951485,499249643870.46155,59579308331.09545,206963661.4918415,107164,412229489378.46155,397063583740,16445902479,3596819335,1085343550,63793358053,724345585,212688110,80239260532,10858074541.31962,0.06868659094234002,3926.993757592709,4789.503562585451,51491499667.218544,13801702271.00834,3082826419.7921124,10698574954.951485,61780460997,10858074541.31962,805181585.4103787,169921948901.82117,45545617494.32752,10173327185.31397,19787246412,10832698519,969252267,4830421239,3005251656,20098636,8802972,203875521290.09998,35305297351.33994,986201,243268,117883,100737,10292,96,1552,514,488551068915.5101,0.021429309136828157,0.8244285912995439,0.3003892894696553,0.15178139128422188,0.8334592982353907,0.17317085017334197,0.001111742191987711,0.004778706970799878,0.06499679354181599,0.3604257377842284
2011,1861008,1413345,1600616,26822,72197,383,158,1869,673,223236,2252,831,1092031,99019,38216,4545216788.333333,411336659680.8866,1477495610,50499618066,613618361.2832139,25037749620.953423,8534868025.373401,478832178130.3333,41881769820.91164,210405089.88083214,106982,393555108650,377836781010,15960417471.666666,3630914171.6666665,1109989800,63155813368.666664,914302616.6666666,367505810,79116230840.33333,10993223528.605427,0.07988136128377735,3813.1499280612193,4925.111883253029,51042856460.23881,13875074535.563019,3026786143.3881564,8534868025.373401,59080142319,10993223528.605427,727448667.6545739,151627909400.78537,41217296415.343506,8991370917.548857,12563335486,7426862527,964893037,3175574085,847312515,23143626,8935578,175503470772.82138,25353678956.174263,1059349,241703,102075,32006,11833,54,1647,592,470297310104.9599,0.01782434100126474,0.8590413895887441,0.32506603728835054,0.13500310103101135,0.8639596056596427,0.1444625501964746,0.0012100968937264107,0.005304929567710569,0.06968160465289687,0.36900532859680285
2012,1862181,1413426,1602396,27001,72531,399,157,1950,672,223265,2349,829,1105122,99532,38400,4764267936.666667,386948516042.87286,1501222866.6666667,47324256632.666664,634433544.982339,22274333848.361282,8173023116.207015,450897076304.6667,41095248207.44226,200373677.64471057,112065,368015768470,351419110300,15630432056,3779508040,1105364760,62041248548.666664,984759896.6666666,395858106.6666667,77671680604.66667,11258343810.405378,0.09095906076262192,3790.8112509759185,4928.708358808727,48384749959.93061,13607422512.765276,2954465702.4129276,8173023116.207015,56026251877,11258343810.405378,720721454.1546215,135748254487.58133,38176984601.81426,8289048974.68971,11637245894.08,7435730340,1296431884,2243035266,519610739,27724529,10439894.08,157187252266.1112,22930233654.83021,1067862,260279,96155,36624,14189,113,1933,575,442724053188.45966,0.01812613908076127,0.8581748172201844,0.3151004281503532,0.1331649591114773,0.8636085466890496,0.14587845594508206,0.0012614241043163903,0.005501096083054142,0.07221954742416947,0.35291613452532994
2013,1861935,1413476,1601475,26773,72375,432,181,2031,681,222937,2463,862,1085002,99148,37967,5017489355,375599545323.85284,1583435495,46362349467,628696989.6394435,20273207604.18725,7698328646.39498,435361371713,39351864064.76056,182987377.63419855,112927,354049370890,336992826540,15147402792,3935050660,1137678130,61280127251,1082438695,445757365,76427530043,11441066983.925703,0.10013346780634122,3899.1546557765505,4903.014826005274,47226917522.24977,13698078257.262623,2850833355.600653,7698328646.39498,54249155814,11441066983.925703,668214026.314297,125722777135.98111,36465654128.65883,7589203475.9445,10568784533.28,7382507939,1271626732,1610714652,174933323,29169294,11179937.28,144416677692.44943,20493720689.568073,1070676,256265,81763,13667,14980,56,2263,603,427663043066.60504,0.01768261758296253,0.8627305262430506,0.31558322957318957,0.12530111080613215,0.8705558052216177,0.14190688372718022,0.0013228173915845612,0.005968911917098445,0.07586000821723378,0.3499796995533902
2014,1862170,1413493,1601605,26549,71956,455,187,2093,744,211393,2548,931,1061581,98505,38081,5287500731.666667,373495567320.1896,1863343850,44325250996,640176031.6995887,17660241373.09954,7328671166.799039,429091716103.6667,37846143605.728294,183483273.52340415,114648,348140169290,330321263360,14841003601.666666,3893441801.6666665,1370323020,61235016682,1394058930,493020830,76076020283.66667,11728212518.710257,0.10279140736345235,4017.3102278010497,4963.39499104893,46920889521.51131,13627988265.9367,2787881395.034745,7328671166.799039,53528239539,11728212518.710257,642557259.3497431,127873500212.97476,37140356421.15729,7597813165.88819,10413949260.8692,7164998126,1289274328,1482918329,330867560,31176281,22536878.8692,145880511215.6367,19972827530.877506,1033849,259211,111736,26799,16029,71,2749,677,421763044936.8677,0.017079498139340597,0.8704329477895459,0.35240540750008703,0.12107346441875565,0.8765632855779861,0.1369122397806388,0.0013682961276360376,0.00632330868864306,0.0788353610305473,0.36538461538461536
2015,1862756,1413872,1602898,26337,72014,539,183,2172,743,220379,2711,926,1038241,98351,38616,6011627706.666667,395337145045.42535,2089874873.3333333,49599625791.333336,745651996.9868716,20577359410.162594,7892583750.799,454402360106.6667,38373466902.064835,50000244.332021736,116430,368216845210,347926250530,15189101574,4197599270,1535032820,65883430132.666664,1814028436.6666667,554842053.3333334,81072531706.66667,12303063631.122635,0.10595403459175544,4346.461855421465,5164.867223426496,49592530752.573746,14517056929.95124,2772812132.470891,7892583750.799,56702632134,12303063631.122635,716515298.2673645,132337668313.24303,38738766417.57488,7399249175.498572,10266123793.416,7159629340,1326568333,1517357920,82612378,32253220,128743621.416,151310973849.579,21061359739.007175,1033154,265598,104569,4721,16485,24,4296,130,446509776355.8677,0.017369152195746276,0.8700156067689078,0.34763877194453363,0.12403495914425502,0.8746072075697717,0.13919254633801123,0.0014553704296214856,0.007484655761379732,0.0824695295591753,0.3415713758760605
