year,clean_name,major_class_code,cur_comp_muni_rate,new_comp_muni_rate,current_taxable_eav,new_taxable_eav,av,eav,equalized_av,pins_in_muni,all_exemptions,exe_homeowner,exe_senior,exe_freeze,exe_longtime_homeowner,exe_disabled,exe_vet_returning,exe_vet_dis_lt50,exe_vet_dis_50_69,exe_vet_dis_ge70,exe_abate,exe_vet_dis,final_tax_to_dist,final_tax_to_tif,tax_amt_exe,tax_amt_pre_exe,tax_amt_post_exe,rpm_tif_to_cps,rpm_tif_to_rpm,rpm_tif_to_dist,tif_share,zero_bills,has_HO_exemp,has_SF_exemp,has_FR_exemp,has_LTHO_exemp,has_DI_exemp,has_VR_exemp,has_DV_exemp,has_AB_exemp,total_bill_current
2006,Alsip,0,8.220580924855492,8.220580924855492,0,0,0,0,0,692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019526881655072253,692,0,0,0,0,0,0,0,0,0
2006,Alsip,1,8.19079,8.19079,13038059.08831749,13038059.08831749,4861327,13162531,13162531,200,0,0,0,0,0,0,0,0,0,0,0,0,1067920.04,974.38,0,1068894.42,1068894.42,0,0,0,0.014477787969975,0,0,0,0,0,0,0,0,0,1068894.42
2006,Alsip,2,8.184281913974779,6.4937418976089845,196484489.40330032,247636028.40330032,99574652,269603208,269608382,5789,63605173,51151539,3070601,9383033,0,0,0,0,0,0,163046,0,16080844.53,689269.21,5162787.578715029,21932899.04,16770113.74,0,0,0,0.03768042933395923,1,4495,899,507,0,0,0,0,1,16770113.739999998
2006,Alsip,3,8.267119047619047,8.267119047619047,26090939.02695417,26090939.02695417,9575792,25927415,25927415,84,0,0,0,0,0,0,0,0,0,0,0,0,2156968.99,0,0,2156968.99,2156968.99,0,0,0,0,0,0,0,0,0,0,0,0,0,2156968.99
2006,Alsip,4,7.887,7.887,3169397.9967034366,3169397.9967034366,1170556,3169398,3169398,5,0,0,0,0,0,0,0,0,0,0,0,0,249970.42,0,0,249970.42,249970.42,0,0,0,0,0,0,0,0,0,0,0,0,0,249970.42
2006,Alsip,5A,8.10883870967742,8.10883870967742,131039448.43937717,131039448.43937717,49336823,133584385,133584385,279,0,0,0,0,0,0,0,0,0,0,2780841,0,10625777.52,26019.79,219324.91967103884,10871122.12,10651797.31,0,0,0,0.0037902666041146954,0,0,0,0,0,0,0,0,13,10651797.309999999
2006,Alsip,5B,8.158337730870713,8.158337730870715,270568938.4060853,270568938.4060853,101035924,273564864,273564864,379,0,0,0,0,0,0,0,0,0,0,4449382,0,22073927.79,112639.19000000002,359608.34192809707,22546175.29,22186566.98,0,0,0,0.007185976296150396,0,0,0,0,0,0,0,0,26,22186566.98
2006,Alsip,6A,7.554,7.553999999999999,304694.99602859415,304694.99602859415,112533,304695,304695,2,0,0,0,0,0,0,0,0,0,0,0,0,23016.66,0,0,23016.66,23016.66,0,0,0,0,0,0,0,0,0,0,0,0,0,23016.66
2006,Alsip,6B,8.17408108108108,8.17408108108108,28921470.51821678,28921470.51821678,12411370,33605024,33605024,37,0,0,0,0,0,0,0,0,0,0,4922373,0,2364064.45,0,402701.91848546994,2766766.35,2364064.45,0,0,0,0,0,0,0,0,0,0,0,0,14,2364064.45
2006,Arlington Heights,0,7.955218309859155,7.955218309859155,0,0,0,0,0,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01748783815969718,1136,0,0,0,0,0,0,0,0,0
2006,Arlington Heights,1,7.789429078014184,7.789429078014183,20352444.88552635,20352444.88552635,7613666,20614763,20614763,282,0,0,0,0,0,0,0,0,0,0,0,0,1585339.26,19699.04,0,1605038.3,1605038.3,0,0,0,0.018808466466865247,0,0,0,0,0,0,0,0,0,1605038.3
2006,Arlington Heights,2,7.915405830258302,6.7642395152833865,1780872630.195892,2083948915.195892,798391248,2161724342,2161724342,27100,384801525,303076285,22154126,59502638,0,0,0,0,0,68476,0,68476,140963296,328004.7,30603186.935138058,171888916.03,141291300.7,0,0,0,0.002318547183619631,4,22132,5598,1827,0,0,0,2,0,141291300.7
2006,Arlington Heights,3,7.9113146067415725,7.9113146067415725,125997886.00880265,125997886.00880265,53725440,145467004,145467004,89,0,0,0,0,0,0,0,0,0,0,0,0,9968089.16,1163327.94,0,11131417.1,11131417.1,0,0,0,0.1521924219822472,0,0,0,0,0,0,0,0,0,11131417.1
2006,Arlington Heights,4,7.709357142857143,7.709357142857143,8330368.383504275,8330368.383504275,3154857,8542091,8542091,14,0,0,0,0,0,0,0,0,0,0,0,0,642217.85,11594.039999999999,0,653811.89,653811.89,0,0,0,0.06600155567028572,0,0,0,0,0,0,0,0,0,653811.89
2006,Arlington Heights,5A,7.855343749999999,7.851257311141738,757770542.6322051,758164948.6322051,294888472,798440031,798440031,864,962802,394406,231000,337396,0,0,0,0,0,0,0,0,59525480.96,2229862.39,77649.97995644737,61832993.339999996,61755343.35,0,0,0,0.031976992281842594,0,1,1,1,0,0,0,0,0,61755343.35
2006,Arlington Heights,5B,7.814763005780347,7.814763005780347,132003255.40735854,132003255.40735854,49910791,135138463,135138463,173,0,0,0,0,0,0,0,0,0,0,0,0,10315741.57,0,0,10315741.57,10315741.57,0,0,0,0,0,0,0,0,0,0,0,0,0,10315741.57
2006,Arlington Heights,6B,8.0043,8.0043,43341576.7774821,43341576.7774821,16000945,43324157,43324157,30,0,0,0,0,0,0,0,0,0,0,0,0,3469189.83,0,0,3469189.83,3469189.83,0,0,0,0,0,0,0,0,0,0,0,0,0,3469189.83
2006,Arlington Heights,9,8.065,8.065,875521.3887166771,875521.3887166771,323357,875521,875521,7,0,0,0,0,0,0,0,0,0,0,0,0,70610.8,0,0,70610.8,70610.8,0,0,0,0,0,0,0,0,0,0,0,0,0,70610.8
2006,Barrington,0,5.71176119402985,5.71176119402985,0,0,0,0,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06848020146852984,268,0,0,0,0,0,0,0,0,0
2006,Barrington,1,5.718820512820512,5.718820512820512,3632257.9023825964,3632257.9023825964,1354516,3667494,3667494,78,0,0,0,0,0,0,0,0,0,0,0,0,207722.31,2419.9,0,210142.21,210142.21,0,0,0,0.015602372250179488,0,0,0,0,0,0,0,0,0,210142.21
2006,Barrington,2,5.726338676318511,5.183609310219519,178766898.86217636,197483981.86217636,74693965,202234956,202241375,1934,22752576,18717083,1134000,2901493,0,0,0,0,0,0,0,0,10236798.07,55375.49,1303002.4249346317,11595172.65,10292173.56,0,0,0,0.004632788140326267,0,1472,328,85,0,0,0,0,0,10292173.56
2006,Barrington,3,5.712571428571429,5.712571428571429,8325818.695608682,8325818.695608682,3105883,8409488,8409488,28,0,0,0,0,0,0,0,0,0,0,0,0,475618.33999999997,4537.61,0,480155.95,480155.95,0,0,0,0.027872561480392858,0,0,0,0,0,0,0,0,0,480155.94999999995
