muni_mc_year,muni_mc_clean_name,muni_mc_major_class_code,muni_mc_mean_fmv_all,muni_mc_median_fmv_all,muni_mc_min_fmv_all,muni_mc_quant25_all_fmv,muni_mc_quant50_all_fmv,muni_mc_quant75_all_fmv,muni_mc_max_fmv_all,muni_mc_PC_major_class,muni_mc_parcels,muni_mc_PC_residential,muni_mc_PC_industrial,muni_mc_PC_commercial,muni_mc_PC_inTIF,muni_mc_PC_withincents,muni_mc_PC_incents_inTIFs,muni_mc_PC_claimed_exe,muni_mc_fmv_incentive,muni_mc_fmv_taxed,muni_mc_fmv_inTIF,muni_mc_fmv_exempt,muni_mc_fmv_abated,muni_mc_fmv_tif_increment,muni_mc_fmv_abates_inTIF,muni_mc_fmv_incents_inTIF,muni_mc_fmv_untaxable_value,muni_mc_fmv_residential,muni_mc_fmv_c2_res,muni_mc_fmv_industrial,muni_mc_fmv_indust_incent,muni_mc_fmv_commercial,muni_mc_fmv_commerc_incent,muni_mc_fmv,muni_mc_zero_bill,muni_mc_levy,muni_mc_current_rate_avg,muni_mc_eav_taxed,muni_mc_eav_c2_taxed,muni_mc_eav_res_taxed,muni_mc_eav_taxed_commerc,muni_mc_eav_taxed_indust,muni_mc_min_TC_rate,muni_mc_max_TC_rate,muni_mc_avg_C2_bill_noexe,muni_mc_avg_C2_bill_withexe,muni_mc_final_tax_to_dist,muni_mc_final_tax_to_tif,muni_mc_zero_bills,muni_mc_exempt_allexemptions_eav,muni_mc_exempt_GHE_eav,muni_mc_exempt_SR_eav,muni_mc_exempt_FR_eav,muni_mc_exempt_LTHO_eav,muni_mc_exempt_DIS_eav,muni_mc_exempt_VET_eav,muni_mc_has_HO_exemp,muni_mc_has_SR_exemp,muni_mc_has_FR_exemp,muni_mc_has_LTHO_exemp,muni_mc_has_DI_exemp,muni_mc_has_VR_exemp,muni_mc_has_DV_exemp,muni_mc_has_AB_exemp,muni_mc_total_billed,muni_mc_range_TC_rate,muni_mc_effective_rate,muni_mc_pct_eav_taxed,muni_mc_pct_fmv_taxed,muni_mc_pct_fmv_w_incentclass,muni_mc_pct_fmv_inTIF,muni_mc_pct_fmv_in_tif_increment,muni_mc_pct_fmv_untaxable_value,muni_mc_pct_fmv_incents_inTIFs
2006,Alsip,0,0,0,0,0,0,0,0,346,346,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,0,0.082,0,0,0,0,0,0.076,0.091,NA,NA,0,0,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,NA,NA,NA,NA,NA,NA,NA,NA
2006,Alsip,1,110484.70454545454,36447.72727272728,4.545454545454546,16349,36448,99686,414697,200,200,0,0,0,3,0,0,0,0,22078757,18818,0,0,18159,0,0,3995,0,0,0,0,0,0,22096940.90909091,5,1067919.0179067936,0.082,13151697.395969857,0,0,0,0,0.075,0.091,NA,NA,1067919.0179067936,974.1620932063845,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1068893.18,0.016,4.833,0.081,0.999,0,0.001,0.001,0,0
2006,Alsip,2,107504.15874935222,109881.25,6.25,81681,109881,132012,358424,5789,4443,5789,0,0,226,0,0,4496,0,457754038,21628712,146820923,376362,17666613,0,0,26380135,622341575,622341575,0,0,0,0,622341575,8,16090683.354109555,0.082,198306373.15166742,198306373.15166742,198306373.15166742,0,0,0.075,0.09,3233.327,2802.327,16090683.354109555,689270.5558904435,8,63768219,51151539,3070601,9383033,0,0,0,4495,899,507,0,0,0,0,1,16779953.91,0.015,2.586,0.081,0.736,0,0.035,0.028,0.042,0
2006,Alsip,3,474989.68253968254,420470.8333333334,17500,305824,420471,555798,504524,84,84,84,0,0,0,0,0,0,0,39899135,0,0,0,0,0,0,0,39899133,0,0,0,0,0,39899133.333333336,0,2156969.12,0.083,25927415.295714837,0,25927415.295714837,0,0,0.079,0.09,NA,NA,2156969.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2156969.12,0.011,5.406,0.083,1,0,0,0,0,0
2006,Alsip,4,780370.6666666667,146843.33333333334,21703.333333333336,21703,146843,1016660,808483,5,4,0,1,4,0,0,0,0,0,3901854,0,0,0,0,0,0,0,0,0,1016660,0,2885193,0,3901853.3333333335,0,249970.42,0.079,3169397.9967034366,0,0,2343585.013313047,825812.9833903894,0.079,0.079,NA,NA,249970.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249970.42,0,6.406,0.079,1,0,0,0,0,0
2006,Alsip,5A,465353.9237879645,238113.15789473683,4839.473684210527,111825,238113,447387,2973927,279,266,0,0,279,4,0,0,13,0,129367248,1212858,0,2702764,320645,0,0,1148895,0,0,0,0,129833745,0,129833744.7368421,0,10833266.758141896,0.081,133104409.40507208,0,0,133104409.40507208,0,0.078,0.09,NA,NA,10833266.758141896,26019.791858104127,0,2780841,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10859286.55,0.012,8.344,0.081,0.996,0,0.009,0.002,0.009,0
2006,Alsip,5B,740515.4206977426,341505.55555555556,3275,149903,341506,698454,3113433,379,333,0,379,0,5,0,0,26,0,279191021,2742322,0,4564705,1344188,0,0,2127201,0,0,280655344,0,0,0,280655344.4444445,0,22422991.628391083,0.082,272137538.81092596,0,0,0,272137538.81092596,0.076,0.158,NA,NA,22422991.628391083,112639.20160891692,0,4449382,0,0,0,0,0,0,0,0,0,0,0,0,0,26,22535630.83,0.082,7.99,0.082,0.995,0,0.01,0.005,0.008,0
2006,Alsip,6A,187555,187555,185993.33333333334,186774,187555,188336,56735,2,1,0,2,0,0,2,0,0,375110,375111,0,0,0,0,0,0,-18756,0,0,375110,375110,0,0,375110,0,23016.66,0.076,304694.9960285941,0,0,0,304694.9960285941,0.076,0.076,NA,NA,23016.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23016.66,0,6.136,0.076,1,1,0,0,-0.05,0
2006,Alsip,6B,2096515.2027027027,609931.25,28131.25,254262,609931,2843662,2416659,37,30,0,37,0,0,37,0,14,77571062,76774747,0,0,11362399,0,0,0,8727711,0,0,77571062,77571062,0,0,77571062.5,0,2737540.37,0.082,33260048.724541787,0,0,0,33260048.724541787,0.076,0.09,NA,NA,2737540.37,0,0,4922373,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2737540.37,0.015,3.529,0.082,0.99,1,0,0,0.113,0
2006,Arlington Heights,0,0,0,0,0,0,0,0,568,565,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,0,0.08,0,0,0,0,0,0.068,0.083,NA,NA,0,0,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,NA,NA,NA,NA,NA,NA,NA,NA
