muni_mc_year,muni_mc_clean_name,muni_mc_major_class_code,muni_mc_cur_comp_muni_rate,muni_mc_current_taxable_eav,muni_mc_av,muni_mc_eav,muni_mc_equalized_av,muni_mc_pins_in_muni,muni_mc_all_exemptions,muni_mc_exe_homeowner,muni_mc_exe_senior,muni_mc_exe_freeze,muni_mc_exe_longtime_homeowner,muni_mc_exe_disabled,muni_mc_exe_vet_returning,muni_mc_exe_vet_dis_lt50,muni_mc_exe_vet_dis_50_69,muni_mc_exe_vet_dis_ge70,muni_mc_exe_abate,muni_mc_exe_vet_dis,muni_mc_final_tax_to_dist,muni_mc_final_tax_to_tif,muni_mc_tax_amt_exe,muni_mc_tax_amt_pre_exe,muni_mc_tax_amt_post_exe,muni_mc_rpm_tif_to_cps,muni_mc_rpm_tif_to_rpm,muni_mc_rpm_tif_to_dist,muni_mc_tif_share,muni_mc_zero_bills,muni_mc_has_HO_exemp,muni_mc_has_SF_exemp,muni_mc_has_FR_exemp,muni_mc_has_LTHO_exemp,muni_mc_has_DI_exemp,muni_mc_has_VR_exemp,muni_mc_has_DV_exemp,muni_mc_has_AB_exemp,muni_mc_total_bill_current
2016,Alsip,0,14.058537433155081,0,0,0,0,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01533502575842246,374,0,0,0,0,0,0,0,0,0
2016,Alsip,1,14.019826530612246,4775230.481904999,1820306,5102682,5102682,196,0,0,0,0,0,0,0,0,0,0,3,0,669479.03,33399.880000000005,0.4456499850562091,702879.35,702878.91,0,0,0,0.009753910941581633,0,0,0,0,0,0,0,0,1,702878.91
2016,Alsip,2,14.014181243594123,169198852.13300398,77777419,218022345,218025758,5854,41476104,32291105,5469429,3501081,7489,182000,0,10000,15000,0,0,25000,23711833.8,897900.22,5794320.886712352,30404052.01,24609734.02,0,0,0,0.037043624390546974,13,4668,1107,602,1,92,0,7,0,24609734.02
2016,Alsip,3,14.1144,14426826.999376524,5129999,14380416,14380416,95,0,0,0,0,0,0,0,0,0,0,0,0,2036260.07,0,0,2036260.07,2036260.07,0,0,0,0,0,0,0,0,0,0,0,0,0,2036260.07
2016,Alsip,4,13.83,817888.9370932755,291770,817889,817889,4,0,0,0,0,0,0,0,0,0,0,0,0,113114.04000000001,0,0,113114.04000000001,113114.04000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,113114.04000000001
2016,Alsip,5A,13.95160447761194,96386502.65336196,34972453,98034776,98034776,268,0,0,0,0,0,0,0,0,0,0,1252419,0,13447463.62,94600.31,186046.8362113708,13728110.76,13542063.93,0,0,0,0.008515781233940298,0,0,0,0,0,0,0,0,1,13542063.93
2016,Alsip,5B,13.882438202247192,170343152.5895218,61492989,172377137,172377137,356,0,0,0,0,0,0,0,0,0,0,3398922,0,23647782.89,12808.62,486176.17788299813,24146767.669999998,23660591.51,0,0,0,0.0028411795876544946,0,0,0,0,0,0,0,0,12,23660591.51
2016,Alsip,6B,14.059303797468354,31303557.08504212,11805490,33093149,33093149,79,0,0,0,0,0,0,0,0,0,0,1617347,0,4401062.19,0,240080.41454793848,4641142.6,4401062.19,0,0,0,0,0,0,0,0,0,0,0,0,5,4401062.19
2016,Arlington Heights,0,9.686753333333334,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005269616610381667,600,0,0,0,0,0,0,0,0,0
2016,Arlington Heights,1,9.72484520123839,9257359.077400614,3398768,9527429,9527429,323,0,0,0,0,0,0,0,0,0,0,0,0,900263.84,28798.49,0,929062.33,929062.33,0,0,0,0.036586143278665634,0,0,0,0,0,0,0,0,0,929062.33
