year,clean_name,cur_comp_muni_rate,new_comp_muni_rate,current_taxable_eav,new_taxable_eav,av,eav,equalized_av,pins_in_muni,all_exemptions,exe_homeowner,exe_senior,exe_freeze,exe_longtime_homeowner,exe_disabled,exe_vet_returning,exe_vet_dis_lt50,exe_vet_dis_50_69,exe_vet_dis_ge70,exe_vet_dis,exe_abate,final_tax_to_dist,final_tax_to_tif,tax_amt_exe,tax_amt_pre_exe,tax_amt_post_exe,rpm_tif_to_cps,rpm_tif_to_rpm,rpm_tif_to_dist,tif_share,zero_bills,has_HO_exemp,has_SF_exemp,has_FR_exemp,has_LTHO_exemp,has_DI_exemp,has_VR_exemp,has_DV_exemp,has_AB_exemp,total_bill_current
2006,Alsip,8.18419793759207,7.601798809715849,667658465.944639,718810004.944639,278078977,752921520,752926694,7467,63605173,51151539,3070601,9383033,0,0,0,0,0,0,0,12315642,54642490.4,828902.5700000001,6144422.758799635,61615813.29,55471392.97,0,0,0,0.031916584238969335,693,4495,899,507,0,0,0,0,54,55471392.97
2006,Arlington Heights,7.913414312173766,7.154938504356865,2862733536.9196773,3166204227.9196773,1224008776,3314126372,3314126372,29695,385764327,303470691,22385126,59840034,0,0,0,0,0,68476,68476,0,226539965.43,3752488.11,30680836.915094506,260967718.86,230292453.54,0,0,0,0.004381211282588987,1140,22133,5599,1828,0,0,0,2,0,230292453.54000002
2006,Barrington,5.731051751592356,5.393067193843024,298660054.0685097,317377137.0685097,123136450,333397832,333404251,2512,22752576,18717083,1134000,2901493,0,0,0,0,0,0,0,0,17116362.26,721777.9299999999,1303002.4249346317,19141139.28,17838140.19,0,0,0,0.023628946141919585,268,1472,328,85,0,0,0,0,0,17838140.19
2006,Barrington Hills,6.542616216216216,6.310625009606268,230465470.71838355,238937842.71838355,89261715,240963018,241685040,1480,9462844,8472372,444500,545972,0,0,0,0,0,0,0,0,15078471.26,0,618388.6258567075,15696857.6,15078471.26,0,0,0,0,308,657,128,8,0,0,0,0,0,15078471.26
2006,Bartlett,8.34138067784766,7.593757755908002,397954793.6009719,437134358.6009719,165403900,447749179,447847550,5724,43515520,39179565,1400525,2935430,0,0,0,0,0,0,0,0,33194924.26,1571575.72,3623242.7107154005,38389741.86,34766499.98,0,0,0,0.021012811964248253,206,3871,404,128,0,0,0,0,0,34766499.980000004
2006,Bedford Park,9.29521867517957,9.264745532362236,425557292.3273462,426957014.3273462,193004621,522579317,522579317,1253,2215691,1399722,192325,623644,0,0,0,0,0,0,0,2617160,39556480.91,6250699.74,559934.0757325982,46367114.8,45807180.65,0,0,0,0.021293372553822024,416,191,62,34,0,0,0,0,5,45807180.65
2006,Bellwood,11.197980498996271,9.659762315998071,297705205.88947403,345111709.88947403,135815317,367733580,367733580,6974,59894993,47406504,2506567,9981922,0,0,0,0,0,0,0,0,33336970.9,1101166.28,6712140.639997876,41150278.42,34438137.18,0,0,0,0.008742667538832091,535,4363,735,478,0,0,0,0,0,34438137.18
2006,Bensenville,7.800611764705883,7.800611764705883,39152131.2958863,39152131.2958863,16156653,43745754,43745754,85,0,0,0,0,0,0,0,0,0,0,0,0,3054105.7600000002,359471.98,0,3413577.74,3413577.74,0,0,0,0.0621226130598,4,0,0,0,0,0,0,0,0,3413577.74
2006,Berkeley,9.293232083054253,8.042977792602896,116412499.90653914,134508437.90653914,53252602,144186751,144186751,2986,24226695,18095938,1137500,4993257,0,0,0,0,0,0,0,0,10818483.79,472937.34,2273071.1058369526,13564492.39,11291421.13,0,0,0,0.008565662889845949,1072,1391,329,196,0,0,0,0,0,11291421.129999999
2006,Berwyn,8.814892900196687,7.335625464484935,799691243.7634621,960953186.7634621,394197386,1067328887,1067328887,15761,217269394,161261943,8233971,47750162,0,0,0,0,0,23318,23318,0,70491926.67,4392389.9,19143528.27506678,94025820.85,74884316.57,0,0,0,0.027291770458075695,569,10193,2390,1466,0,0,0,1,0,74884316.57000001
2006,Blue Island,10.29785796833468,8.991533955721902,243480364.91762495,278854111.91762495,118357618,320465083,320465083,8653,48115292,35373747,2785165,9956380,0,0,0,0,0,0,0,11477514,25073262.16,1918192.63,6157595.9620185085,33149050.48,26991454.79,0,0,0,0.06782295736006934,1413,3894,864,579,0,0,0,0,81,26991454.79
