year,clean_name,muni_PC_total,muni_PC_residential,muni_PC_industrial,muni_PC_commercial,muni_PC_inTIF,muni_PC_withincents,muni_PC_incents_inTIFs,muni_PC_claimed_exe,muni_fmv_incentive,muni_fmv_taxed,muni_fmv_inTIF,muni_fmv_exempt,muni_fmv_abated,muni_fmv_tif_increment,muni_fmv_abates_inTIF,muni_fmv_incents_inTIF,muni_fmv_untaxable_value,muni_fmv,muni_fmv_residential,muni_fmv_industrial,muni_fmv_commercial,muni_zero_bill,muni_levy,muni_current_rate_avg,muni_eav_taxed,muni_min_TC_rate,muni_max_TC_rate,muni_avg_C2_bill_noexe,muni_avg_C2_bill_withexe,muni_eav,muni_range_TC_rate,muni_effective_rate,muni_pct_eav_taxed,pct_fmv_taxed,pct_fmv_w_incentclass,pct_fmv_inTIF,pct_fmv_in_tif_increment,pct_fmv_untaxable_value,pct_fmv_incents_inTIFs
2006,Alsip,7121,5873,419,283,245,39,0,4495,77946172,991486329,25602711,146820923,19006229,19349574,0,0,196551068,1176674764.257044,662240708,359618177,132718938,347,54642490.4,8.182,667696342.7291915,7.538,15.757,3232.111,2800.392,752921520,8.219,4.644,0.082,0.843,0.066,0.022,0.016,0.167,0
2006,Arlington Heights,29127,27189,204,877,158,30,0,22135,100005906,5326668017,102831460,889179798,0,59927989,0,0,949107787,6275615331.075226,5213801300,240248256,784937221,572,226539965.43,7.913,2881085515.9424562,6.767,8.311,4393.742,5397.668,3314126372,1.544,3.61,0.079,0.849,0.016,0.016,0.01,0.151,0
2006,Barrington,2378,1962,14,190,124,0,0,1472,0,537910052,31798215,52520165,0,13252930,0,0,65787912,603697862.5830675,479778460,9219747,108542764,134,17116362.26,5.732,298409866.3954207,5.155,13.002,5061.766,5403.286,333397832,7.847,2.835,0.057,0.891,0,0.053,0.022,0.109,0
2006,Barrington Hills,1326,1028,0,1,0,0,0,657,0,525700317,0,21843247,0,0,0,0,23509905,549210126.6148325,526269312,0,72787,154,15078471.26,6.536,231500195.54507875,6.425,7.943,8962.581,16537.266,240963018,1.518,2.745,0.065,0.957,0,0,0,0.043,0
2006,Bartlett,5621,5228,9,66,165,0,0,3871,0,825752465,40546771,100447629,0,25872571,0,0,126547270,952299953.9905635,876953481,14461664,35791282,103,33194924.26,8.342,385317197.5019058,7.32,30.729,5485.832,5207.881,447749179,23.409,3.486,0.086,0.867,0,0.043,0.027,0.133,0
2006,Bedford Park,1045,238,430,67,27,65,0,191,193583769,571133490,86789768,5114518,4011698,77322496,0,0,88836779,657582259.76874,23173406,488869202,125012461,208,39556480.91,9.355,438697476.3679076,7.021,11.97,3346.347,3922.199,522579317,4.949,6.015,0.09,0.869,0.294,0.132,0.118,0.135,0
2006,Bellwood,6707,5900,186,260,234,1,1,4365,500644,539468536,72775007,138256650,0,12122996,0,500644,150379646,689848041.48126,565211338,83638929,36841916,268,33336970.9,11.199,297934257.48576635,11.118,11.484,4334.37,3199.313,367733580,0.366,4.833,0.112,0.782,0.001,0.105,0.018,0.218,0.001
2006,Bensenville,83,1,68,2,9,4,4,0,15842512,44573386,17352072,0,0,10180673,0,15842512,10180673,54754111.68593833,499994,51502743,617916,2,3054105.7600000002,7.801,39191410.306341216,7.775,7.95,16841.03,NA,43745754,0.175,5.578,0.078,0.814,0.289,0.317,0.186,0.186,0.289
2006,Berkeley,2450,1778,28,59,99,0,0,1391,0,205358525,25989322,55922900,0,5785296,0,0,61708196,267066735.99016482,215813729,37363641,11860003,536,10818483.79,9.327,114986751.06729019,7.802,9.648,4605.362,3302.574,144186751,1.846,4.051,0.094,0.769,0,0.097,0.022,0.231,0
2006,Berwyn,15479,14188,60,868,998,12,12,10194,2637531,1631257808,150366407,501463752,0,61666864,0,2637531,563130617,2194333960.839314,2007494794,9346498,169381421,287,70491926.67,8.816,800142404.2656118,8.583,9.195,5128.188,3525.779,1067328887,0.612,3.212,0.088,0.743,0.001,0.069,0.028,0.257,0.001
2006,Blue Island,7962,6121,190,401,774,24,19,3894,15871662,457264759,63487933,111052268,12804702,33114875,1863406,9464869,158944030,614236531.7444179,498609517,48962509,49031728,722,25073262.16,10.292,241866713.66687644,8.821,12.251,3276.299,2383.649,320465083,3.43,4.082,0.104,0.744,0.026,0.103,0.054,0.259,0.015
2006,Bridgeview,5037,4122,294,301,157,13,0,3210,37579544,764958497,39223875,134610513,0,24626184,0,0,159236697,924195071.3716109,557632398,211856335,140173229,183,41761075.77,8.195,507886459.98221284,7.584,10.232,4496.742,3219.347,585431651,2.648,4.519,0.082,0.828,0.041,0.042,0.027,0.172,0
2006,Broadview,3303,2662,287,167,186,9,1,1929,19043325,401128083,77597247,64622262,0,49210446,0,1574369,113832709,514915635.3694843,278263117,164931499,67992558,132,23233801.16,8.817,267118275.38391683,7.862,9.636,3942.122,2728.801,344245236,1.774,4.512,0.087,0.779,0.037,0.151,0.096,0.221,0.003
2006,Brookfield,8783,7967,76,381,0,1,0,5799,441538,797242172,0,241003543,0,0,0,0,241003543,1038245565.6578947,981534933,13888046,40369436,250,32460358.06,8.562,378269066.4615319,7.879,9.554,3475.558,3441.245,482693292,1.675,3.126,0.086,0.768,0,0,0,0.232,0
2006,Buffalo Grove,6107,5970,0,65,0,0,0,4734,0,717045551,0,175431972,0,0,0,0,175431972,892477246.9896332,823676254,0,67272797,61,28288787.82,8.042,351926342.3676549,7.585,8.12,3375.346,3858.602,427926129,0.535,3.17,0.08,0.803,0,0,0,0.197,0
2006,Burbank,9919,9276,3,371,0,0,0,7634,0,999832821,0,343292856,0,0,0,0,343292856,1343125409.9475014,1204321740,1423714,131578452,104,40306772.25,7.828,516206206.83737373,7.688,9.935,4209.43,2866.839,664926129,2.247,3.001,0.078,0.744,0,0,0,0.256,0
2006,Burnham,2149,1379,78,131,0,0,0,918,0,97088346,0,22143746,0,0,0,0,22143746,119232001.08984582,89586400,9736939,12456989,168,6473210.83,11.429,56754073.88059763,11.165,12.002,2824.215,2099.12,66352695,0.837,5.429,0.114,0.814,0,0,0,0.186,0
2006,Burr Ridge,1834,1675,13,19,0,2,0,1150,4608119,686785716,0,44667408,0,0,0,0,44687479,731472968.9061669,612487519,21182838,72973421,46,20067135.03,5.625,354003968.6302565,5.55,5.926,6282.247,9229.844,373354630,0.376,2.743,0.057,0.939,0.006,0,0,0.061,0
2006,Calumet City,15529,11759,191,986,759,99,58,8008,34883938,945763745,41320614,204497893,38872262,11039233,9371356,13160844,262318913,1200144771.5051835,872899498,44454296,242648463,1486,66220672.06,11.906,549398260.8063859,11.546,12.798,3517.255,2508.223,680402132,1.252,5.518,0.121,0.788,0.029,0.034,0.009,0.219,0.011
2006,Calumet Park,3230,2482,94,233,478,9,9,1699,5997606,151375545,39633511,37666702,2324392,20993077,397944,5997606,61087108,212359651.9105529,167160662,11569665,27754083,172,9244433.78,11.531,80170269.53429884,11.531,11.531,2961.261,2186.048,115499200,0,4.353,0.115,0.713,0.028,0.187,0.099,0.288,0.028
