year,clean_name,mean_fmv_all,median_fmv_all,min_fmv_all,quant25_all_fmv,quant50_all_fmv,quant75_all_fmv,max_fmv_all,mean_av_c2,muni_PC_total,muni_parcels,muni_PC_residential,muni_PC_industrial,muni_PC_commercial,muni_PC_inTIF,muni_PC_withincents,muni_PC_incents_inTIFs,muni_PC_claimed_exe,muni_fmv_incentive,muni_fmv_taxed,muni_fmv_inTIF,muni_fmv_exempt,muni_fmv_abated,muni_fmv_tif_increment,muni_fmv_abates_inTIF,muni_fmv_incents_inTIF,muni_fmv_untaxable_value,muni_fmv,muni_fmv_c2_res,muni_fmv_residential,muni_fmv_industrial,muni_fmv_indust_incent,muni_fmv_commercial,muni_fmv_commerc_incent,muni_zero_bill,muni_levy,muni_current_rate_avg,muni_min_TC_rate,muni_max_TC_rate,muni_avg_C2_bill_noexe,muni_avg_C2_bill_withexe,muni_final_tax_to_dist,muni_final_tax_to_tif,untaxable_value_av,muni_av,muni_av_taxed,muni_av_taxed_commerc,muni_av_taxed_indust,muni_eav_taxed,muni_c2_taxed,muni_res_taxed,muni_eav_taxed_commerc,muni_eav_taxed_indust,exempt_allexemptions_eav,exempt_GHE_eav,exempt_SR_eav,exempt_FR_eav,exempt_LTHO_eav,exempt_DIS_eav,exempt_VET_eav,total_value_eav,untaxable_value_eav,zero_bills,has_HO_exemp,has_SR_exemp,has_FR_exemp,has_LTHO_exemp,has_DI_exemp,has_VR_exemp,has_DV_exemp,has_AB_exemp,muni_range_TC_rate,muni_effective_rate,muni_pct_eav_taxed,pct_fmv_taxed,pct_fmv_w_incentclass,pct_fmv_inTIF,pct_fmv_in_tif_increment,pct_fmv_untaxable_value,pct_fmv_incents_inTIFs
2006,Alsip,165240.10170721024,110206.25,0,72144,110206,139619,15104118.75,17200.665399896356,7121,5699,5873,419,283,245,39,0,4495,77946172,1009341910,25602711,146820923,19006229,19349604,0,0,38369181,1176674764.257044,622341575,662240708,359618177,77946172,132718938,0,359,55582357.32854933,0.082,0.075,0.158,3233.327,2802.327,55582357.32854933,828903.711450671,38369181.4180458,278078977,250909135.6834924,50025112.43107738,113210258.35237359,679361575.776624,198306373.15166742,224233788.44738227,135447994.41838512,306528095.51488674,75920815,51151539,3070601,9383033,0,0,0,752926638.1251999,103888395.60750078,359,4495,899,507,0,0,0,0,54,0.082,4.724,0.082,0.858,0.066,0.022,0.016,0.033,0
2006,Arlington Heights,215456.97569523894,179412.5,0,117722,179412,231581,105312431.25,29460.931660516606,29127,21574,27189,204,877,158,30,0,22135,100005906,5325558681,102831460,889179798,0,59927996,0,0,168961445,6275615331.075226,4989945300,5213801300,240248256,100005906,784937221,0,634,226494278.21726367,0.079,0.068,0.083,4389.866,5397.582,226494278.21726367,3752488.5227363445,168961444.8932747,1224008776,1063862936.1957395,286660105.3560748,66392116.374989234,2880515286.043584,1772622285.7018316,1903448072.729639,776160901.2621081,179763294.29692084,385764327,303470691,22385126,59840034,0,0,68476,3314126161.8975997,457480008.1930305,634,22133,5599,1828,0,0,0,2,0,0.015,3.609,0.079,0.849,0.016,0.016,0.01,0.027,0
2006,Barrington,253867.89847900232,219559.375,0,151712,219559,300536,7290916.666666667,38621.491726990695,2378,2288,1962,14,190,124,0,0,1472,0,537815690,31798215,52520165,0,13252943,0,0,12924517,603697862.5830675,466837281,479778460,9219747,0,108542764,0,146,17113906.41150242,0.057,0.052,0.13,5056.918,5403.284,17113906.41150242,721778.6384975786,12924517.233987287,123136450,110196058.3978573,36542994.93908649,3319109.4681750275,298366847.7180384,178480579.8603158,186811032.6863784,98943813.09707057,8986820.796030704,22752576,18717083,1134000,2901493,0,0,0,333404252.02,34994422.862743974,146,1472,328,85,0,0,0,0,0,0.078,2.835,0.057,0.891,0,0.053,0.022,0.021,0
2006,Barrington Hills,414185.61584829,415743.75,0,45214,415744,580522,3564512.5,81909.6206225681,1326,1326,1028,0,1,0,0,0,657,0,523784471,0,21843247,0,0,0,0,3745957,549210126.6148325,526269312,526269312,0,0,72787,0,157,15024834.88,0.065,0.064,0.079,8893.557,16494.605,15024834.88,0,3745956.8294869377,89261715,85193610.73798344,27659.205803094344,0,230670220.43416393,216973481.66337082,216973481.66337082,74890.06563245824,0,9462844,8472372,444500,545972,0,0,0,241685019.53399998,10142552.711518832,157,657,128,8,0,0,0,0,0,0.015,2.736,0.065,0.954,0,0,0,0.007,0
2006,Bartlett,169418.2447946208,160568.75,0,106956,160569,197912,5804011.111111111,26582.033135414673,5621,4469,5228,9,66,165,0,0,3871,0,825637702,40546771,100447629,0,25872559,0,0,23094364,952299953.9905635,867404969,876953481,14461664,0,35791282,0,191,33190780.41154103,0.083,0.073,0.307,5482.798,5207.881,33190780.41154103,1571575.3784589693,23094364.107505634,165403900,142291069.99189144,8957634.205844952,5206199.174856572,385267301.11004525,327316060.34881884,333407089.84002703,24253690.37574579,14096304.885841653,43515520,39179565,1400525,2935430,0,0,0,447847599.64,62530300.25748225,191,3871,404,128,0,0,0,0,0,0.234,3.485,0.086,0.867,0,0.043,0.027,0.024,0
2006,Bedford Park,629265.3203528613,105250,0,8275,105250,451768,24493350,15578.76050420168,1045,1041,238,430,67,27,65,0,191,193583769,575144632,86789768,5114518,4011698,77322504,0,0,48402670,657582259.76874,23173406,23173406,488869202,193583769,125012461,0,214,39859677.68600995,0.094,0.07,0.12,3346.353,3922.2,39859677.68600995,6250700.373990048,48402670.35002001,193004621,162990955.4003635,18599127.441401236,137241501.87205082,441314310.8420242,7823396.513032971,7823396.513032971,50358997.46033798,371595090.4687647,4832851,1399722,192325,623644,0,0,0,522579311.8195999,131055070.23971416,214,191,62,34,0,0,0,0,5,0.049,6.062,0.09,0.875,0.294,0.132,0.118,0.074,0
2006,Bellwood,102854.93387226181,97625,0,85112,97625,104000,5725591.666666667,15280.443111720357,6707,6559,5900,186,260,234,1,1,4365,500644,539468064,72775007,138256650,0,12122994,0,500644,25821347,689848041.48126,557354162,565211338,83638929,500644,36841916,0,270,33336944.626685206,0.112,0.111,0.115,4334.362,3199.313,33336944.626685206,1101166.1833147956,25821347.212438263,135815317,110036202.32216926,13493795.915872954,27506855.777638536,297934021.40750545,180504790.08944428,184502805.43051362,36535801.82181761,74477562.7035341,59894993,47406504,2506567,9981922,0,0,0,367733552.3092,69913879.71239784,270,4363,735,478,0,0,0,0,0,0.004,4.833,0.112,0.782,0.001,0.105,0.018,0.037,0.001
2006,Bensenville,659688.0926016667,265830.55555555556,0,175756,265831,459121,8996000,79999,83,78,1,68,2,9,4,4,0,15842512,44573416,17352072,0,0,10180694,0,15842512,2271326,54754111.68593833,499994,499994,51502743,15842512,617916,0,2,3054107.385551578,0.078,0.078,0.08,16841.04,NA,3054107.385551578,359472.71444842214,2271326.142604812,16156653,14474601.523857035,234807.91712169963,13885283.439202527,39191431.08599531,216605.01607717044,216605.01607717044,635765.9163987138,37595793.439984754,0,0,0,0,0,0,0,43745753.6628,6149842.663716788,2,0,0,0,0,0,0,0,0,0.002,5.578,0.078,0.814,0.289,0.317,0.186,0.041,0.289
2006,Berkeley,109006.8310163938,115365.625,0,27152,115366,124706,7395486.111111111,19173.301191151448,2450,2450,1778,28,59,99,0,0,1391,0,205358559,25989322,55922900,0,5785295,0,0,10784452,267066735.99016482,211265812,215813729,37363641,0,11860003,0,536,10818485.42411774,0.093,0.078,0.096,4605.362,3302.575,10818485.42411774,472937.2958822605,10784451.896435933,53252602,42468152.53556713,3608423.5245829257,12833321.220548173,114986769.80530155,66904338.957853206,69284334.66695055,9770167.535160728,34747500.53675623,24226695,18095938,1137500,4993257,0,0,0,144186745.1752,29199981.95478993,536,1391,329,196,0,0,0,0,0,0.018,4.051,0.094,0.769,0,0.097,0.022,0.04,0
2006,Berwyn,141761.99759928382,136337.5,0,120541,136338,157906,13499994.736842105,22300.853522735386,15479,14905,14188,60,868,998,12,12,10194,2637531,1631235058,150366407,501463752,0,61666766,0,2637531,98845635,2194333960.839314,1952440869,2007494794,9346498,2637531,169381421,0,296,70491021.51620893,0.088,0.086,0.092,5128.185,3525.691,70491021.51620893,4392386.373791073,98845634.72885327,394197386,295513572.89495564,51051069.92851288,2055524.707176867,800132549.9703819,621541837.1145854,652894626.9322251,138225876.93844146,5565538.697152085,217269394,161261943,8233971,47750162,0,0,23318,1067328842.3335999,267634440.59184313,296,10193,2390,1466,0,0,0,1,0,0.006,3.212,0.088,0.743,0.001,0.069,0.028,0.045,0.001
