year,clean_name,muni_PC_total,muni_PC_residential,muni_PC_industrial,muni_PC_commercial,muni_PC_inTIF,muni_PC_withincents,muni_PC_incents_inTIFs,muni_PC_claimed_exe,muni_fmv_incentive,muni_fmv_taxed,muni_fmv_inTIF,muni_fmv_exempt,muni_fmv_abated,muni_fmv_tif_increment,muni_fmv_abates_inTIF,muni_fmv_incents_inTIF,muni_fmv_untaxable_value,muni_fmv,muni_fmv_residential,muni_fmv_industrial,muni_fmv_commercial,muni_zero_bill,muni_levy,muni_current_rate_avg,muni_eav_taxed,muni_min_TC_rate,muni_max_TC_rate,muni_avg_C2_bill_noexe,muni_avg_C2_bill_withexe,muni_eav,zero_bills,has_HO_exemp,has_SF_exemp,has_FR_exemp,has_LTHO_exemp,has_DI_exemp,has_VR_exemp,has_DV_exemp,has_AB_exemp,muni_range_TC_rate,muni_effective_rate,muni_pct_eav_taxed,pct_fmv_taxed,pct_fmv_w_incentclass,pct_fmv_inTIF,pct_fmv_in_tif_increment,pct_fmv_untaxable_value,pct_fmv_incents_inTIFs
2016,Alsip,7226,5949,436,271,354,79,0,4669,118054900,1168522748,56357566,147959846,12406844,23459798,0,0,20120675,1352360988,829074180,364986844,140096904,387,68026995.64,14.01,487046898.60736525,12.01,15.072,4309.572,4177.102,541828394,387,4668,1107,602,1,92,0,7,19,3.062,5.03,0.14,0.864,0.087,0.042,0.017,0.015,0
2016,Arlington Heights,29974,27926,211,906,161,23,0,21627,51373660,8788318677,104811876,843891938,0,28292587,0,0,90651186,9660503346,8515726380,201337636,905790580,612,283833608.73,9.745,2897842523.282332,9.041,11.255,5364.507,7739.47,3151955954,612,21609,6286,2084,18,238,0,32,0,2.214,2.938,0.098,0.91,0.005,0.011,0.003,0.009,0
2016,Barrington,2601,2124,13,218,192,0,0,1451,0,952987588,40835778,52486983,0,11765992,0,0,7722655,1017240586,875873230,11478148,124383968,142,23429946.34,7.304,320632025.61605275,6.52,9.536,6442.604,8587.144,342280202,142,1448,353,101,3,9,0,0,0,3.016,2.303,0.073,0.937,0,0.04,0.012,0.008,0
2016,Barrington Hills,1335,1024,0,2,0,0,0,570,0,893286655,0,19065942,0,0,0,0,2008149,913368136,894330470,0,100596,176,19424854.39,7.796,250448414.06301752,7.623,10.365,14907.458,21475.808,255792996,176,569,142,10,1,1,0,1,0,2.742,2.127,0.078,0.978,0,0,0,0.002,0
2016,Bartlett,5784,5415,15,77,11,1,0,4247,2258600,1263829747,6158920,132367384,0,0,0,0,13258924,1396309442,1302796090,30937140,38087352,144,46117887.47,11.784,382350469.4873367,10.263,25.895,6000.556,7313.651,419425036,144,4244,740,249,2,63,0,3,0,15.632,3.303,0.121,0.905,0.002,0.004,0,0.009,0
2016,Bedford Park,1069,233,439,86,387,119,40,195,332105310,694756776,245149394,6300738,0,77170548,0,78944350,19283341,778228128,30036640,569367830,168120728,212,48828947.22,14.748,334553364.5218011,11.597,17.813,3823.814,5186.486,388608452,212,195,60,26,0,5,0,0,0,6.216,6.274,0.146,0.893,0.427,0.315,0.099,0.025,0.101
2016,Bellwood,6779,5968,172,255,2388,32,21,4474,14863450,547377901,280303736,139356282,0,13816662,0,13406950,15950400,700550908,570874280,81986220,44162518,299,39012442.29,19.62,198731921.58365926,18.012,19.65,4956.115,3607.576,243444073,299,4474,1146,748,0,151,0,17,0,1.638,5.569,0.196,0.781,0.021,0.4,0.02,0.023,0.019
2016,Bensenville,73,0,62,1,0,3,0,0,2243640,35722258,0,0,0,0,0,0,0,35722278,0,34031188,509880,3,2715136.85,11.483,23594078.548699304,11.008,11.778,NA,NA,23594091,3,0,0,0,0,0,0,0,0,0.77,7.601,0.115,1,0.063,0,0,0,0
2016,Berkeley,2454,1797,32,54,108,4,4,1459,12151380,241891186,41493918,46110955,0,0,0,12151380,4611096,288002268,234600540,39606468,12533180,540,12221140.86,14.337,84621199.36614373,12.253,14.819,4788.807,4023.254,97547047,540,1459,336,198,0,25,1,5,0,2.566,4.243,0.144,0.84,0.042,0.144,0,0.016,0.042
2016,Berwyn,15612,14303,46,860,977,7,0,10716,3597160,1874629729,178336570,341578978,0,34349249,0,0,41144533,2250558032,2031379360,6310884,197238148,330,91940425.72,15.325,599615810.2795839,15.089,15.471,5555.357,4699.611,714952178,330,10715,2299,1377,1,197,0,17,0,0.382,4.085,0.153,0.833,0.002,0.079,0.015,0.018,0
2016,Blue Island,7983,6236,222,377,1032,53,45,4091,39370350,590651023,114947866,122599868,9338828,50518953,17485080,35033880,20396903,773108536,624085460,48283384,82597842,763,32990743.7,16.423,199353758.48259693,13.708,19.926,3950.512,3220.422,255196297,763,4091,857,599,0,81,0,8,13,6.218,4.267,0.165,0.764,0.051,0.149,0.065,0.026,0.045
2016,Bridgeview,5328,4405,280,307,409,23,0,3510,62710450,932914149,68371266,119802768,0,44049551,0,0,18420519,1096766554,701409090,200323530,187332064,208,57253494.47,14.577,392532467.4793175,13.693,17.198,6035.034,4874.44,444168857,208,3509,904,504,1,114,0,7,0,3.505,5.22,0.146,0.851,0.057,0.062,0.04,0.017,0
2016,Broadview,3307,2669,298,158,354,17,0,1996,14367760,431034385,103443556,65490646,0,45902631,0,0,17831515,542329154,303337710,154996944,79377920,154,27035121.04,14.122,194576597.3585514,12.396,15.637,4310.501,3217.57,244534283,154,1994,579,378,0,49,0,8,0,3.241,4.985,0.139,0.795,0.026,0.191,0.085,0.033,0
2016,Brookfield,8828,8040,77,345,422,0,0,5891,0,1151421089,50632168,180721251,0,1033958,0,0,18309330,1333175676,1271988300,14276312,45028404,269,44690029.54,12.834,347327708.958982,11.559,13.831,4141.884,5159.485,398652263,269,5889,1388,672,2,82,0,12,0,2.272,3.352,0.129,0.864,0,0.038,0.001,0.014,0
2016,Buffalo Grove,6108,5965,0,70,0,0,0,4528,0,1079855362,0,165089612,0,0,0,0,16508961,1244945368,1165846440,0,78161588,86,37605407.33,11.211,335570439.81414545,10.598,11.427,3912.553,5634.952,381848385,86,4528,1385,614,0,76,0,9,0,0.829,3.021,0.112,0.867,0,0,0,0.013,0
2016,Burbank,9966,9346,3,371,0,0,0,7715,0,1295650910,0,251082178,0,0,0,0,25108218,1546732768,1389644670,1348968,150045020,110,53849059.82,12.632,426855002.7025012,12.53,15.716,4810.753,4137.854,497238235,110,7709,2139,1325,6,202,1,18,0,3.186,3.481,0.126,0.838,0,0,0,0.016,0
2016,Burnham,2155,1408,135,146,0,8,0,958,3284700,110282035,0,28279170,0,0,0,0,2827917,138561064,105186910,12389248,14490196,236,8898732.35,21.714,40835384.72548278,21.135,22.277,3793.593,2950.188,48762600,236,958,208,147,0,23,0,2,0,1.142,6.422,0.218,0.796,0.024,0,0,0.02,0
