agency_number,agency_name,recaptured_sp_ptab,recaptured_coe,year,total_recaptured
010010000,COUNTY OF COOK,-7226410,-276533,2021,-7502943
010010001,CONSOLIDATED ELECTIONS,-241220,-13497,2021,-254717
010010024,COUNTY OF COOK 92B&C BOND ESCROW ACCOUNT,-190,-149,2021,-339
010010025,COUNTY OF COOK 93 A&B BOND ESCROW ACCOUNT,0,-18,2021,-18
010010026,COUNTY OF COOK 96 CAPITAL IMP. BOND ESCROW,-3092,-369,2021,-3461
010010027,COUNTY OF COOK 96 REFUNDING BOND ESCROW,-2439,-485,2021,-2924
010010028,COUNTY OF COOK 97A BOND ESCROW ACCOUNT,-1566,-291,2021,-1857
010010029,COUNTY OF COOK 97B BOND ESCROW ACCOUNT,-89,-64,2021,-153
010010030,COUNTY OF COOK 98A BOND ESCROW ACCOUNT,-608,-303,2021,-911
010010031,COUNTY OF COOK 99A&B BOND ESCROW ACCOUNT,-1364,-465,2021,-1829
010010032,COUNTY OF COOK 2001A BOND ESCROW ACCOUNT,-585,-145,2021,-730
010010034,COUNTY OF COOK 2002D BOND ESCROW ACCOUNT,-3863,-357,2021,-4220
010010035,COUNTY OF COOK 2003A BOND ESCROW ACCOUNT,0,-170,2021,-170
010010036,COUNTY OF COOK 2003B BOND ESCROW ACCOUNT,-4766,-622,2021,-5388
010010037,COUNTY OF COOK 2002A BOND ESCROW ACCOUNT,-1133,-188,2021,-1321
010010038,COUNTY OF COOK 2002B BOND ESCROW ACCOUNT,-2940,-308,2021,-3248
010010039,COUNTY OF COOK 2002C BOND ESCROW ACCOUNT,-2134,-237,2021,-2371
010010040,COUNTY OF COOK 2004A BOND ESCROW ACCOUNT,-4456,-468,2021,-4924
010010041,COUNTY OF COOK 2004B BOND ESCROW ACCOUNT,-2056,-225,2021,-2281
010010042,COUNTY OF COOK 2004C BOND ESCROW ACCOUNT,-172941,-7863,2021,-180804
010010043,COUNTY OF COOK 2004D BOND ESCROW ACCOUNT,-84879,-3788,2021,-88667
010010044,COUNTY OF COOK 2004E BOND ESCROW ACCOUNT,-203,-63,2021,-266
010010045,COUNTY OF COOK 2006A BOND ESCROW ACCOUNT,0,-3364,2021,-3364
010010046,COUNTY OF COOK 2006B BOND ESCROW ACCOUNT,0,-7387,2021,-7387
010010047,COUNTY OF COOK 2009A BOND ESCROW ACCOUNT,0,-12057,2021,-12057
010010048,COUNTY OF COOK 2009B BOND ESCROW ACCOUNT,-199792,-8325,2021,-208117
010010049,COUNTY OF COOK 2009C BOND ESCROW ACCOUNT,-101944,-3372,2021,-105316
010010050,COUNTY OF COOK 2009D&E BOND ESCROW ACCOUNT,-141466,-5690,2021,-147156
010010051,COUNTY OF COOK 2010A BOND ESCROW ACCOUNT,0,-10663,2021,-10663
010010052,COUNTY OF COOK 2010C BOND ESCROW ACCOUNT,0,-52,2021,-52
010010053,COUNTY OF COOK 2010D BOND ESCROW ACCOUNT,-343409,-15371,2021,-358780
010010054,COUNTY OF COOK 2010E BOND ESCROW ACCOUNT,0,-1564,2021,-1564
010010055,COUNTY OF COOK 2010G BOND ESCROW ACCOUNT,0,-4515,2021,-4515
010010056,COUNTY OF COOK 2011A BOND ESCROW ACCOUNT,-146468,-18014,2021,-164482
010010057,COUNTY OF COOK 2011B BOND ESCROW ACCOUNT,-54312,-7121,2021,-61433
010010058,COUNTY OF COOK 2011C BOND ESCROW ACCOUNT,-117734,-5223,2021,-122957
010010059,COUNTY OF COOK 2012A BOND ESCROW ACCOUNT,-105571,-4064,2021,-109635
010010060,COUNTY OF COOK 2012B BOND ESCROW ACCOUNT,-104168,-3949,2021,-108117
010010061,COUNTY OF COOK 2012C BOND ESCROW ACCOUNT,-543420,-23640,2021,-567060
010010062,COUNTY OF COOK 2012D BOND ESCROW ACCOUNT,0,-3132,2021,-3132
010010063,COUNTY OF COOK 2013A BOND ESCROW ACCOUNT,0,-5647,2021,-5647
010010064,COUNTY OF COOK 2013B BOND ESCROW ACCOUNT,-27265,-1231,2021,-28496
010010065,COUNTY OF COOK 2014A BOND ESCROW ACCOUNT,-305706,-13443,2021,-319149
010010066,COUNTY OF COOK 2014C BOND ESCROW ACCOUNT,-65369,-2301,2021,-67670
010010067,COUNTY OF COOK 2016A BOND ESCROW ACCOUNT,-454884,-16603,2021,-471487
010010068,COUNTY OF COOK 2018 BOND ESCROW ACCOUNT,-294850,-8740,2021,-303590
010010069,COUNTY OF COOK 2019 BOND ESCROW ACCOUNT,-79990,-20688,2021,-100678
010010070,COUNTY OF COOK 2021A BOND ESCROW ACCOUNT,-13066,-1982,2021,-15048
010010090,COUNTY OF COOK EMPLOYEE ANNUITY AND BENEFITS,-2951813,-132146,2021,-3083959
010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,-1605648,-71526,2021,-1677174
010020021,FOREST PRESERVE BOND ESCROW ACCOUNT,0,-3776,2021,-3776
010020090,FOREST PRESERVE EMPLOYEE ANNUITY & BENEFIT,-82936,-3762,2021,-86698
020010000,TOWN BARRINGTON,-8997,-703,2021,-9700
020010002,GENERAL ASSISTANCE BARRINGTON,-284,-23,2021,-307
020020000,TOWN BERWYN,-6641,-133,2021,-6774
020020002,GENERAL ASSISTANCE BERWYN,-5785,-115,2021,-5900
020020004,BERWYN TOWNSHIP COMM MENTAL HEALTH DIST,-10024,-205,2021,-10229
020020005,PUBLIC HEALTH BERWYN,-11203,-229,2021,-11432
020030000,TOWN BLOOM,-56043,-1329,2021,-57372
020030002,GENERAL ASSISTANCE BLOOM,-21749,-512,2021,-22261
020030003,ROAD AND BRIDGE BLOOM,-9353,-207,2021,-9560
020040000,TOWN BREMEN,-40513,-389,2021,-40902
020040002,GENERAL ASSISTANCE BREMEN,-9033,-86,2021,-9119
020040003,ROAD AND BRIDGE BREMEN,-13378,-128,2021,-13506
020050000,TOWN CALUMET,-22283,-235,2021,-22518
020050002,GENERAL ASSISTANCE CALUMET,-6569,-71,2021,-6640
020050003,ROAD AND BRIDGE CALUMET,-4957,-52,2021,-5009
020060000,TOWN OF CICERO,-484803,-4894,2021,-489697
020060001,TOWN OF CICERO LIBRARY FUND,-44661,-445,2021,-45106
020060002,GENERAL ASSISTANCE CICERO,-3718,-36,2021,-3754
