agency_number,agency_name,refunded_sp_ptab,refunded_coe,year,total_refunds,home_rule_ind,agg_ext_base_year,lim_numerator,lim_denominator,lim_rate,prior_eav,curr_new_prop,cty_cook_eav,cty_total_eav,pct_burden,total_levy,total_max_levy,total_prelim_rate,total_reduced_levy,total_final_levy,total_final_rate,reduction_type,reduction_pct,total_non_cap_ext,total_ext,pct_inCook,refund_levyshare
010010000,COUNTY OF COOK,-4577934,-403397,2021,-4981331,1,NA,NA,NA,NA,NA,NA,NA,NA,1,782169933,782169933,0.446,NA,782169933,0.446,NA,NA,NA,782528571.92,NA,0.006
010010001,CONSOLIDATED ELECTIONS,-143621,-25545,2021,-169166,1,NA,NA,NA,NA,NA,1022359688,NA,NA,1,14432990,14432990,0.019,NA,14432990,0.019,NA,NA,NA,14922781.68,NA,0.012
010010021,COUNTY OF COOK 90 & PRIOR BOND ESCROW ACCT,0,0,2021,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010022,COUNTY OF COOK 91 BOND ESCROW,0,0,2021,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010023,COUNTY OF COOK 92A BOND ESCROW ACCOUNT,0,0,2021,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010024,COUNTY OF COOK 92B&C BOND ESCROW ACCOUNT,-81,0,2021,-81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010025,COUNTY OF COOK 93 A&B BOND ESCROW ACCOUNT,0,0,2021,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010026,COUNTY OF COOK 96 CAPITAL IMP. BOND ESCROW,-6044,-416,2021,-6460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010027,COUNTY OF COOK 96 REFUNDING BOND ESCROW,-2026,-106,2021,-2132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010028,COUNTY OF COOK 97A BOND ESCROW ACCOUNT,-734,-25,2021,-759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010029,COUNTY OF COOK 97B BOND ESCROW ACCOUNT,-40,0,2021,-40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010030,COUNTY OF COOK 98A BOND ESCROW ACCOUNT,-267,-3,2021,-270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010031,COUNTY OF COOK 99A&B BOND ESCROW ACCOUNT,-532,-10,2021,-542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010032,COUNTY OF COOK 2001A BOND ESCROW ACCOUNT,-248,-7,2021,-255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010034,COUNTY OF COOK 2002D BOND ESCROW ACCOUNT,-4013,-367,2021,-4380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010035,COUNTY OF COOK 2003A BOND ESCROW ACCOUNT,0,-22,2021,-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010036,COUNTY OF COOK 2003B BOND ESCROW ACCOUNT,-5379,-377,2021,-5756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010037,COUNTY OF COOK 2002A BOND ESCROW ACCOUNT,-1163,-139,2021,-1302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010038,COUNTY OF COOK 2002B BOND ESCROW ACCOUNT,-3284,-279,2021,-3563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010039,COUNTY OF COOK 2002C BOND ESCROW ACCOUNT,-1559,-142,2021,-1701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010040,COUNTY OF COOK 2004A BOND ESCROW ACCOUNT,-3919,-287,2021,-4206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010041,COUNTY OF COOK 2004B BOND ESCROW ACCOUNT,-2090,-126,2021,-2216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010042,COUNTY OF COOK 2004C BOND ESCROW ACCOUNT,-108685,-11812,2021,-120497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010043,COUNTY OF COOK 2004D BOND ESCROW ACCOUNT,-63990,-6485,2021,-70475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010044,COUNTY OF COOK 2004E BOND ESCROW ACCOUNT,-88,-2,2021,-90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010045,COUNTY OF COOK 2006A BOND ESCROW ACCOUNT,0,-4786,2021,-4786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010046,COUNTY OF COOK 2006B BOND ESCROW ACCOUNT,0,-13148,2021,-13148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010047,COUNTY OF COOK 2009A BOND ESCROW ACCOUNT,-521,-28520,2021,-29041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010048,COUNTY OF COOK 2009B BOND ESCROW ACCOUNT,-155312,-16175,2021,-171487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010049,COUNTY OF COOK 2009C BOND ESCROW ACCOUNT,-84179,-6856,2021,-91035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010050,COUNTY OF COOK 2009D&E BOND ESCROW ACCOUNT,-124911,-10652,2021,-135563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010051,COUNTY OF COOK 2010A BOND ESCROW ACCOUNT,-41630,-18119,2021,-59749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010052,COUNTY OF COOK 2010C BOND ESCROW ACCOUNT,0,-42,2021,-42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010053,COUNTY OF COOK 2010D BOND ESCROW ACCOUNT,-216011,-23734,2021,-239745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010054,COUNTY OF COOK 2010E BOND ESCROW ACCOUNT,0,-725,2021,-725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010055,COUNTY OF COOK 2010G BOND ESCROW ACCOUNT,-17421,-7613,2021,-25034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010056,COUNTY OF COOK 2011A BOND ESCROW ACCOUNT,-268633,-29065,2021,-297698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010057,COUNTY OF COOK 2011B BOND ESCROW ACCOUNT,-116431,-12945,2021,-129376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010058,COUNTY OF COOK 2011C BOND ESCROW ACCOUNT,-75989,-8367,2021,-84356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010059,COUNTY OF COOK 2012A BOND ESCROW ACCOUNT,-74002,-7184,2021,-81186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010060,COUNTY OF COOK 2012B BOND ESCROW ACCOUNT,-85104,-7948,2021,-93052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
