major_class_code,major_class_type,tax_code,final_tax_to_dist,final_tax_to_tif,tax_amt_exe,tax_amt_pre_exe,tax_amt_post_exe,rpm_tif_to_cps,rpm_tif_to_rpm,rpm_tif_to_dist,tif_share
1,Vacant,10002,29066.58,0,0,29066.58,29066.58,0,0,0,0
1,Vacant,10003,14755.69,0,0,14755.69,14755.69,0,0,0,0
1,Vacant,10012,38374.36,0,0,38374.36,38374.36,0,0,0,0
1,Vacant,10021,64647.61,0,0,64647.61,64647.61,0,0,0,0
1,Vacant,10030,90.64,0,0,90.64,90.64,0,0,0,0
1,Vacant,10035,487754.81,0,0,487754.81,487754.81,0,0,0,0
1,Vacant,10038,35348.049999999996,0,0,35348.049999999996,35348.049999999996,0,0,0,0
1,Vacant,10039,17057.23,0,0,17057.23,17057.23,0,0,0,0
1,Vacant,10041,333320.27,0,0,333320.27,333320.27,0,0,0,0
1,Vacant,10043,11204.380000000001,0,0,11204.380000000001,11204.380000000001,0,0,0,0
1,Vacant,10044,1699.6599999999999,0,0,1699.6599999999999,1699.6599999999999,0,0,0,0
1,Vacant,10048,18482.530000000002,0,0,18482.530000000002,18482.530000000002,0,0,0,0
1,Vacant,10055,15727.029999999999,0,0,15727.029999999999,15727.029999999999,0,0,0,0
1,Vacant,10057,65358.950000000004,0,0,65358.950000000004,65358.950000000004,0,0,0,0
1,Vacant,10059,400558.55,0,0,400558.55,400558.55,0,0,0,0
1,Vacant,10064,0.72,0,0,0.72,0.72,0,0,0,0
1,Vacant,10065,2912.44,0,0,2912.44,2912.44,0,0,0,0
1,Vacant,10069,38742.9,0,0,38742.9,38742.9,0,0,0,0
1,Vacant,10074,1.2,0,0,1.2,1.2,0,0,0,0
1,Vacant,10075,137359.16,0,0,137359.16,137359.16,0,0,0,0
1,Vacant,10076,1432.67,0,0,1432.67,1432.67,0,0,0,0
1,Vacant,10083,8429.85,0,0,8429.85,8429.85,0,0,0,0
1,Vacant,10085,25.53,0,0,25.53,25.53,0,0,0,0
1,Vacant,10086,2018.81,0,0,2018.81,2018.81,0,0,0,0
1,Vacant,10088,1.1500000000000001,0,0,1.1500000000000001,1.1500000000000001,0,0,0,0
1,Vacant,10089,0.23,0,0,0.23,0.23,0,0,0,0
1,Vacant,10090,0.23,0,0,0.23,0.23,0,0,0,0
1,Vacant,10092,12683.47,0,0,12683.47,12683.47,0,0,0,0
1,Vacant,10094,60058.41,0,0,60058.41,60058.41,0,0,0,0
1,Vacant,10095,1246.41,0,0,1246.41,1246.41,0,0,0,0
1,Vacant,10099,3257.68,0,0,3257.68,3257.68,0,0,0,0
1,Vacant,10100,18.22,16.19,0,34.410000000000004,34.410000000000004,0,0,0,0.47076720105
1,Vacant,10101,1470.98,1280.47,0,2751.4500000000003,2751.4500000000003,0,0,0,0.46537018751799997
1,Vacant,10104,0.23,0,0,0.23,0.23,0,0,0,0
1,Vacant,10107,3397.67,0,0,3397.67,3397.67,0,0,0,0
1,Vacant,10108,0.24,0,0,0.24,0.24,0,0,0,0
1,Vacant,10110,865738.84,0,0,865738.84,865738.84,0,0,0,0
1,Vacant,10113,7061.17,0,0,7061.17,7061.17,0,0,0,0
1,Vacant,10114,9190.56,0,0,9190.56,9190.56,0,0,0,0
1,Vacant,10115,916.48,0,0,916.48,916.48,0,0,0,0
1,Vacant,10119,0.56,0,0,0.56,0.56,0,0,0,0
1,Vacant,10127,2921.83,0,0,2921.83,2921.83,0,0,0,0
1,Vacant,10128,16400.12,0,0,16400.12,16400.12,0,0,0,0
1,Vacant,10129,894.29,0,0,894.29,894.29,0,0,0,0
1,Vacant,10131,44750.17,0,0,44750.17,44750.17,0,0,0,0
1,Vacant,10132,27503.87,0,0,27503.87,27503.87,0,0,0,0
1,Vacant,10134,3.9,0,0,3.9,3.9,0,0,0,0
1,Vacant,10135,5.98,0,0,5.98,5.98,0,0,0,0
1,Vacant,10136,1.8900000000000001,0,0,1.8900000000000001,1.8900000000000001,0,0,0,0
1,Vacant,10139,91943.01,0,0,91943.01,91943.01,0,0,0,0
1,Vacant,10141,9138.41,0,0,9138.41,9138.41,0,0,0,0
1,Vacant,10142,10724.93,29590.44,0,40315.37,40315.37,0,0,0,0.733973969707
1,Vacant,10152,220082.27,0,0,220082.27,220082.27,0,0,0,0
1,Vacant,11001,14100.68,0,0,14100.68,14100.68,0,0,0,0
1,Vacant,11002,44826.55,0,0,44826.55,44826.55,0,0,0,0
1,Vacant,11014,2866.48,112.69,0,2979.17,2979.17,0,0,0,0.037817634658000004
1,Vacant,11015,2327.95,0,0,2327.95,2327.95,0,0,0,0
1,Vacant,11029,4793.18,1683.3700000000001,0,6476.55,6476.55,0,0,0,0.259910798372
1,Vacant,12005,3.3699999999999997,3664.44,0,3667.81,3667.81,0,0,0,0.999078338427
1,Vacant,12016,155404.55,0,0,155404.55,155404.55,0,0,0,0
1,Vacant,12017,221315.66,0,0,221315.66,221315.66,0,0,0,0
1,Vacant,12018,0.49,0,0,0.49,0.49,0,0,0,0
1,Vacant,12019,181800.57,0,0,181800.57,181800.57,0,0,0,0
1,Vacant,12020,47008.11,0,0,47008.11,47008.11,0,0,0,0
1,Vacant,12022,1910.34,0,0,1910.34,1910.34,0,0,0,0
1,Vacant,12023,257781.45,0,0,257781.45,257781.45,0,0,0,0
1,Vacant,12024,26762.56,0,0,26762.56,26762.56,0,0,0,0
1,Vacant,12026,80273.24,0,0,80273.24,80273.24,0,0,0,0
1,Vacant,12027,181705.93,0,0,181705.93,181705.93,0,0,0,0
1,Vacant,12028,1513116.43,0,0,1513116.43,1513116.43,0,0,0,0
1,Vacant,12030,152951.57,0,0,152951.57,152951.57,0,0,0,0
1,Vacant,12033,100.88,0,0,100.88,100.88,0,0,0,0
1,Vacant,12034,532073.72,0,0,532073.72,532073.72,0,0,0,0
1,Vacant,12035,37632.11,0,0,37632.11,37632.11,0,0,0,0
1,Vacant,12037,171470.59,0,0,171470.59,171470.59,0,0,0,0
1,Vacant,12040,151076.15,0,0,151076.15,151076.15,0,0,0,0
1,Vacant,12041,611200.61,0,0,611200.61,611200.61,0,0,0,0
1,Vacant,12053,13999.09,0,0,13999.09,13999.09,0,0,0,0
1,Vacant,12054,136803.6,0,0,136803.6,136803.6,0,0,0,0
1,Vacant,12055,95.72,0,0,95.72,95.72,0,0,0,0
1,Vacant,12059,176887.71,0,0,176887.71,176887.71,0,0,0,0
1,Vacant,12064,216439.37,0,0,216439.37,216439.37,0,0,0,0
1,Vacant,12072,137597.32,0,0,137597.32,137597.32,0,0,0,0
1,Vacant,12075,13323.2,0,0,13323.2,13323.2,0,0,0,0
1,Vacant,12093,8846.619999999999,0,0,8846.619999999999,8846.619999999999,0,0,0,0
1,Vacant,12119,2790.38,0,0,2790.38,2790.38,0,0,0,0
1,Vacant,12126,928.12,111580.46,0,112508.58,112508.58,0,0,0,0.991749173752
1,Vacant,12127,15995.15,9310.5,0,25305.65,25305.65,0,0,0,0.36792249816899997
1,Vacant,12128,157.04,0,0,157.04,157.04,0,0,0,0
1,Vacant,12136,4076.74,0,0,4076.74,4076.74,0,0,0,0
1,Vacant,12137,25668.86,0,0,25668.86,25668.86,0,0,0,0
1,Vacant,12141,14174.1,0,0,14174.1,14174.1,0,0,0,0
1,Vacant,12144,13932.93,18791.28,0,32724.21,32724.21,0,0,0,0.57423035957
1,Vacant,12146,37987.15,0,0,37987.15,37987.15,0,0,0,0
1,Vacant,12147,145022.96,0,0,145022.96,145022.96,0,0,0,0
1,Vacant,12152,881.12,151498.8,0,152379.92,152379.92,0,0,0,0.9942178918919999
1,Vacant,12153,81.32,1008.85,0,1090.17,1090.17,0,0,0,0.925405840526
1,Vacant,12154,62.38,23886.89,0,23949.27,23949.27,0,0,0,0.99739590885
1,Vacant,12155,3158.98,123512.2,0,126671.18,126671.18,0,0,0,0.9750617651029999
1,Vacant,12162,0.43,0,0,0.43,0.43,0,0,0,0
1,Vacant,12163,92426.42,0,0,92426.42,92426.42,0,0,0,0
1,Vacant,12164,529.28,0,0,529.28,529.28,0,0,0,0
1,Vacant,12167,9644.65,6482.7699999999995,0,16127.42,16127.42,0,0,0,0.40197649012200004
1,Vacant,12171,20.82,4346.17,0,4366.99,4366.99,0,0,0,0.995236482106
1,Vacant,12172,5275.740000000001,1720.72,0,6996.46,6996.46,0,0,0,0.24593898262500002
1,Vacant,12173,27503.94,12273.869999999999,0,39777.81,39777.81,0,0,0,0.308561421096
1,Vacant,12174,0.45,0,0,0.45,0.45,0,0,0,0
1,Vacant,12179,114799.81999999999,0,0,114799.81999999999,114799.81999999999,0,0,0,0
1,Vacant,12183,867.83,334.4,0,1202.23,1202.23,0,0,0,0.278144063467
1,Vacant,12187,7799.3,0,0,7799.3,7799.3,0,0,0,0
1,Vacant,12197,1111.38,604.05,0,1715.4299999999998,1715.4299999999998,0,0,0,0.35212484475399997
1,Vacant,12198,219941.52,13928.71,0,233870.23,233870.23,0,0,0,0.059557976137
1,Vacant,12199,8350,1510.27,0,9860.27,9860.27,0,0,0,0.153166401552
1,Vacant,12200,270.33,232.35999999999999,0,502.69,502.69,0,0,0,0.46220668263500003
1,Vacant,12202,4930.5599999999995,36099.25,0,41029.81,41029.81,0,0,0,0.879830040271
1,Vacant,12208,19969.3,0,0,19969.3,19969.3,0,0,0,0
1,Vacant,12210,10558.69,98565.68000000001,0,109124.37,109124.37,0,0,0,0.903241936572
1,Vacant,12211,2372.71,17561.06,0,19933.77,19933.77,0,0,0,0.880969858411
1,Vacant,12214,846.75,3386.13,0,4232.88,4232.88,0,0,0,0.7999590918389999
