major_class_code,major_class_type,tax_code,final_tax_to_dist,final_tax_to_tif,tax_amt_exe,tax_amt_pre_exe,tax_amt_post_exe,rpm_tif_to_cps,rpm_tif_to_rpm,rpm_tif_to_dist,tif_share
1,Vacant,10002,29024.97,0,0,29024.97,29024.97,0,0,0,0
1,Vacant,10003,14755.56,0,0,14755.56,14755.56,0,0,0,0
1,Vacant,10012,38339.26,0,0,38339.26,38339.26,0,0,0,0
1,Vacant,10021,63816.28,0,0,63816.28,63816.28,0,0,0,0
1,Vacant,10030,90.64,0,0,90.64,90.64,0,0,0,0
1,Vacant,10035,484151.84,0,0,484151.84,484151.84,0,0,0,0
1,Vacant,10038,35348.049999999996,0,0,35348.049999999996,35348.049999999996,0,0,0,0
1,Vacant,10039,17037.88,0,0,17037.88,17037.88,0,0,0,0
1,Vacant,10041,329635.01,0,0,329635.01,329635.01,0,0,0,0
1,Vacant,10043,11197.67,0,0,11197.67,11197.67,0,0,0,0
1,Vacant,10044,1699.6599999999999,0,0,1699.6599999999999,1699.6599999999999,0,0,0,0
1,Vacant,10048,18482.530000000002,0,0,18482.530000000002,18482.530000000002,0,0,0,0
1,Vacant,10055,15722.91,0,0,15722.91,15722.91,0,0,0,0
1,Vacant,10057,65312.52,0,0,65312.52,65312.52,0,0,0,0
1,Vacant,10059,398534.51,0,0,398534.51,398534.51,0,0,0,0
1,Vacant,10064,0.72,0,0,0.72,0.72,0,0,0,0
1,Vacant,10065,2912.44,0,0,2912.44,2912.44,0,0,0,0
1,Vacant,10069,38703,0,0,38703,38703,0,0,0,0
1,Vacant,10074,1.2,0,0,1.2,1.2,0,0,0,0
1,Vacant,10075,137359.16,0,0,137359.16,137359.16,0,0,0,0
1,Vacant,10076,1432.65,0,0,1432.65,1432.65,0,0,0,0
1,Vacant,10083,8429.09,0,0,8429.09,8429.09,0,0,0,0
1,Vacant,10085,25.52,0,0,25.52,25.52,0,0,0,0
1,Vacant,10086,2018.6100000000001,0,0,2018.6100000000001,2018.6100000000001,0,0,0,0
1,Vacant,10088,1.1500000000000001,0,0,1.1500000000000001,1.1500000000000001,0,0,0,0
1,Vacant,10089,0.23,0,0,0.23,0.23,0,0,0,0
1,Vacant,10090,0.23,0,0,0.23,0.23,0,0,0,0
1,Vacant,10092,12683.47,0,0,12683.47,12683.47,0,0,0,0
1,Vacant,10094,60058.41,0,0,60058.41,60058.41,0,0,0,0
1,Vacant,10095,1246.2,0,0,1246.2,1246.2,0,0,0,0
1,Vacant,10099,3257.68,0,0,3257.68,3257.68,0,0,0,0
1,Vacant,10100,18.21,16.19,0,34.4,34.4,0,0,0,0.47076720105
1,Vacant,10101,1470.8899999999999,1280.39,0,2751.2799999999997,2751.2799999999997,0,0,0,0.46537018751799997
1,Vacant,10104,0.23,0,0,0.23,0.23,0,0,0,0
1,Vacant,10107,3391.68,0,0,3391.68,3391.68,0,0,0,0
1,Vacant,10108,0.24,0,0,0.24,0.24,0,0,0,0
1,Vacant,10110,865738.84,0,0,865738.84,865738.84,0,0,0,0
1,Vacant,10113,7061.09,0,0,7061.09,7061.09,0,0,0,0
1,Vacant,10114,9189.24,0,0,9189.24,9189.24,0,0,0,0
1,Vacant,10115,916.48,0,0,916.48,916.48,0,0,0,0
1,Vacant,10119,0.56,0,0,0.56,0.56,0,0,0,0
1,Vacant,10127,2921.83,0,0,2921.83,2921.83,0,0,0,0
1,Vacant,10128,16400.12,0,0,16400.12,16400.12,0,0,0,0
1,Vacant,10129,894.29,0,0,894.29,894.29,0,0,0,0
1,Vacant,10131,44729.39,0,0,44729.39,44729.39,0,0,0,0
1,Vacant,10132,27468.97,0,0,27468.97,27468.97,0,0,0,0
1,Vacant,10134,3.9,0,0,3.9,3.9,0,0,0,0
1,Vacant,10135,5.98,0,0,5.98,5.98,0,0,0,0
1,Vacant,10136,1.8900000000000001,0,0,1.8900000000000001,1.8900000000000001,0,0,0,0
1,Vacant,10139,91901.98,0,0,91901.98,91901.98,0,0,0,0
1,Vacant,10141,9138.41,0,0,9138.41,9138.41,0,0,0,0
1,Vacant,10142,10724.93,29590.44,0,40315.37,40315.37,0,0,0,0.733973969707
1,Vacant,10152,220082.27,0,0,220082.27,220082.27,0,0,0,0
1,Vacant,11001,12977.82,0,0,12977.82,12977.82,0,0,0,0
1,Vacant,11002,39527.93,0,0,39527.93,39527.93,0,0,0,0
1,Vacant,11014,2864.99,112.62,0,2977.61,2977.61,0,0,0,0.037817634658000004
1,Vacant,11015,2327.93,0,0,2327.93,2327.93,0,0,0,0
1,Vacant,11029,4793.18,1683.3700000000001,0,6476.55,6476.55,0,0,0,0.259910798372
1,Vacant,12005,3.3699999999999997,3664.44,0,3667.81,3667.81,0,0,0,0.999078338427
1,Vacant,12016,140260.56,0,0,140260.56,140260.56,0,0,0,0
1,Vacant,12017,219948.94999999998,0,0,219948.94999999998,219948.94999999998,0,0,0,0
1,Vacant,12018,0.49,0,0,0.49,0.49,0,0,0,0
1,Vacant,12019,169502.09,0,0,169502.09,169502.09,0,0,0,0
1,Vacant,12020,46053.99,0,0,46053.99,46053.99,0,0,0,0
1,Vacant,12022,1902.6,0,0,1902.6,1902.6,0,0,0,0
1,Vacant,12023,245061.54,0,0,245061.54,245061.54,0,0,0,0
1,Vacant,12024,26262.91,0,0,26262.91,26262.91,0,0,0,0
1,Vacant,12026,75005.25,0,0,75005.25,75005.25,0,0,0,0
1,Vacant,12027,179151.87,0,0,179151.87,179151.87,0,0,0,0
1,Vacant,12028,1340509.94,0,0,1340509.94,1340509.94,0,0,0,0
1,Vacant,12030,141849.51,0,0,141849.51,141849.51,0,0,0,0
1,Vacant,12033,97.84,0,0,97.84,97.84,0,0,0,0
1,Vacant,12034,505568.21,0,0,505568.21,505568.21,0,0,0,0
1,Vacant,12035,36358.73,0,0,36358.73,36358.73,0,0,0,0
1,Vacant,12037,168178.08,0,0,168178.08,168178.08,0,0,0,0
1,Vacant,12040,139919.85,0,0,139919.85,139919.85,0,0,0,0
1,Vacant,12041,590394.86,0,0,590394.86,590394.86,0,0,0,0
1,Vacant,12053,13999.09,0,0,13999.09,13999.09,0,0,0,0
1,Vacant,12054,134833.29,0,0,134833.29,134833.29,0,0,0,0
1,Vacant,12055,95.36,0,0,95.36,95.36,0,0,0,0
1,Vacant,12059,176082.52,0,0,176082.52,176082.52,0,0,0,0
1,Vacant,12064,185033.08,0,0,185033.08,185033.08,0,0,0,0
1,Vacant,12072,137547.53,0,0,137547.53,137547.53,0,0,0,0
1,Vacant,12075,12970.95,0,0,12970.95,12970.95,0,0,0,0
1,Vacant,12093,8845.68,0,0,8845.68,8845.68,0,0,0,0
1,Vacant,12119,2790.38,0,0,2790.38,2790.38,0,0,0,0
1,Vacant,12126,921.39,110758.87,0,111680.26,111680.26,0,0,0,0.991749173752
1,Vacant,12127,15995.15,9310.5,0,25305.65,25305.65,0,0,0,0.36792249816899997
1,Vacant,12128,156.8,0,0,156.8,156.8,0,0,0,0
1,Vacant,12136,4055.94,0,0,4055.94,4055.94,0,0,0,0
1,Vacant,12137,25648.76,0,0,25648.76,25648.76,0,0,0,0
1,Vacant,12141,14164.69,0,0,14164.69,14164.69,0,0,0,0
1,Vacant,12144,13932.93,18791.28,0,32724.21,32724.21,0,0,0,0.57423035957
1,Vacant,12146,37987.15,0,0,37987.15,37987.15,0,0,0,0
1,Vacant,12147,144961.73,0,0,144961.73,144961.73,0,0,0,0
1,Vacant,12152,881.12,151498.8,0,152379.92,152379.92,0,0,0,0.9942178918919999
1,Vacant,12153,81.32,1008.85,0,1090.17,1090.17,0,0,0,0.925405840526
1,Vacant,12154,62.38,23886.89,0,23949.27,23949.27,0,0,0,0.99739590885
1,Vacant,12155,3158.98,123512.2,0,126671.18,126671.18,0,0,0,0.9750617651029999
1,Vacant,12162,0.43,0,0,0.43,0.43,0,0,0,0
1,Vacant,12163,92426.42,0,0,92426.42,92426.42,0,0,0,0
1,Vacant,12164,528.73,0,0,528.73,528.73,0,0,0,0
1,Vacant,12167,9642.68,6481.45,0,16124.130000000001,16124.130000000001,0,0,0,0.40197649012200004
1,Vacant,12171,20.82,4346.17,0,4366.99,4366.99,0,0,0,0.995236482106
1,Vacant,12172,5275.740000000001,1720.72,0,6996.46,6996.46,0,0,0,0.24593898262500002
1,Vacant,12173,27480.73,12263.47,0,39744.2,39744.2,0,0,0,0.308561421096
1,Vacant,12174,0.45,0,0,0.45,0.45,0,0,0,0
1,Vacant,12179,114799.81999999999,0,0,114799.81999999999,114799.81999999999,0,0,0,0
