tax_code_num,major_class_code,major_class_type,eav,exe_homeowner,exe_senior,exe_freeze,exe_longtime_homeowner,exe_disabled,exe_vet_returning,exe_vet_dis,exe_abate,pin_count
10002,1,Vacant,310906,0,0,0,0,0,0,0,0,6
10002,2,Residential,12582219,420000,96000,103704,0,0,0,0,0,71
10002,5A,Commercial,49761,0,0,0,0,0,0,0,0,1
10002,NA,NA,0,0,0,0,0,0,0,0,0,24
10003,1,Vacant,183780,0,0,0,0,0,0,0,0,3
10003,2,Residential,169785,10000,0,0,0,0,0,0,0,1
10003,NA,NA,0,0,0,0,0,0,0,0,0,12
10004,NA,NA,0,0,0,0,0,0,0,0,0,11
10005,2,Residential,268339,10000,0,0,0,0,0,0,0,1
10012,1,Vacant,477768,0,0,0,0,0,0,0,0,11
10012,2,Residential,18463259,850000,272000,38299,0,0,0,0,0,111
10012,NA,NA,0,0,0,0,0,0,0,0,0,3
10021,1,Vacant,787138,0,0,0,0,0,0,0,0,82
10021,2,Residential,166247770,9736290,2152000,1528184,0,8000,0,2500,0,1553
10021,3,Multi-Family,2917670,0,0,0,0,0,0,0,0,15
10021,4,Not For Profit,4630091,0,0,0,0,0,0,0,0,1
10021,5A,Commercial,73747019,0,0,0,0,0,0,0,0,111
10021,5B,Industrial,10107170,0,0,0,0,0,0,0,0,9
10021,9,Multi-Family Incentive,699158,0,0,0,0,0,0,0,0,1
10021,NA,NA,0,0,0,0,0,0,0,0,0,104
10030,1,Vacant,979,0,0,0,0,0,0,0,0,1
10030,2,Residential,456026,30000,16000,0,0,0,0,0,0,3
10035,1,Vacant,5470558,0,0,0,0,0,0,0,0,96
10035,2,Residential,159874612,4152690,1136000,119132,0,4000,0,0,0,796
10035,NA,NA,0,0,0,0,0,0,0,0,0,139
10038,1,Vacant,415958,0,0,0,0,0,0,0,0,7
10038,5A,Commercial,10849785,0,0,0,0,0,0,0,0,8
10038,NA,NA,0,0,0,0,0,0,0,0,0,4
10039,1,Vacant,175739,0,0,0,0,0,0,0,0,6
10039,2,Residential,14795297,633300,128000,10647,0,0,0,0,0,100
10039,NA,NA,0,0,0,0,0,0,0,0,0,3
10040,NA,NA,0,0,0,0,0,0,0,0,0,2
10041,1,Vacant,4023193,0,0,0,0,0,0,0,0,229
10041,2,Residential,282861412,10020000,2688000,747133,0,8000,0,7500,0,1292
10041,5A,Commercial,20527758,0,0,0,0,0,0,0,0,40
10041,5B,Industrial,1216109,0,0,0,0,0,0,0,0,1
10041,NA,NA,0,0,0,0,0,0,0,0,0,16
10043,1,Vacant,128521,0,0,0,0,0,0,0,0,7
10043,2,Residential,6344111,210000,64000,49963,0,0,0,0,0,32
10044,1,Vacant,22247,0,0,0,0,0,0,0,0,1
10048,1,Vacant,189623,0,0,0,0,0,0,0,0,3
10048,2,Residential,23692,0,0,0,0,0,0,0,0,4
10048,5A,Commercial,36780646,0,0,0,0,0,0,0,0,9
10053,2,Residential,388601,0,0,0,0,0,0,0,0,3
10055,1,Vacant,196196,0,0,0,0,0,0,0,0,3
10055,2,Residential,5738932,250000,64000,0,0,0,0,0,0,32
10057,1,Vacant,738686,0,0,0,0,0,0,0,0,12
10057,2,Residential,15623147,405000,104000,14439,0,0,0,0,0,59
10057,NA,NA,0,0,0,0,0,0,0,0,0,1
10059,1,Vacant,4247254,0,0,0,0,0,0,0,0,11
10059,2,Residential,64540437,6480000,1496000,763917,0,16000,0,0,0,746
10059,5A,Commercial,9403515,0,0,0,0,0,0,0,0,9
10059,5B,Industrial,36641026,0,0,0,0,0,0,0,0,4
10059,6B,Industrial Incentive,6245121,0,0,0,0,0,0,0,0,6
10059,NA,NA,0,0,0,0,0,0,0,0,0,15
10062,2,Residential,101434,0,0,0,0,0,0,0,0,1
10062,NA,NA,0,0,0,0,0,0,0,0,0,1
10064,1,Vacant,9,0,0,0,0,0,0,0,0,3
10064,2,Residential,10877072,460000,72000,0,0,0,0,0,0,55
10064,NA,NA,0,0,0,0,0,0,0,0,0,1
10065,1,Vacant,32321,0,0,0,0,0,0,0,0,2
10065,NA,NA,0,0,0,0,0,0,0,0,0,3
10069,1,Vacant,482358,0,0,0,0,0,0,0,0,23
10069,2,Residential,31429040,1060000,232000,6272,0,2000,0,5000,0,140
10074,1,Vacant,15,0,0,0,0,0,0,0,0,5
10074,2,Residential,12240902,970000,672000,226746,0,2000,0,0,0,118
10074,NA,NA,0,0,0,0,0,0,0,0,0,2
10075,1,Vacant,1499227,0,0,0,0,0,0,0,0,4
10075,5B,Industrial,11843144,0,0,0,0,0,0,0,0,1
10076,1,Vacant,19479,0,0,0,0,0,0,0,0,1
10076,2,Residential,92889,10000,8000,0,0,0,0,0,0,1
10076,5A,Commercial,1726553,0,0,0,0,0,0,0,0,1
10076,NA,NA,0,0,0,0,0,0,0,0,0,8
10077,2,Residential,271909,0,0,0,0,0,0,0,0,1
10077,NA,NA,0,0,0,0,0,0,0,0,0,1
10083,1,Vacant,90829,0,0,0,0,0,0,0,0,1
10083,2,Residential,561985,30000,8000,0,0,0,0,0,0,5
10085,1,Vacant,318,0,0,0,0,0,0,0,0,1
10085,2,Residential,6906084,330000,120000,16937,0,0,0,0,0,47
10085,NA,NA,0,0,0,0,0,0,0,0,0,1
10086,1,Vacant,21806,0,0,0,0,0,0,0,0,2
10086,2,Residential,3881971,200000,40000,0,0,0,0,0,0,25
10086,NA,NA,0,0,0,0,0,0,0,0,0,2
10088,1,Vacant,15,0,0,0,0,0,0,0,0,5
10088,2,Residential,4659763,170000,32000,2000,0,0,0,0,0,18
10088,NA,NA,0,0,0,0,0,0,0,0,0,1
10089,1,Vacant,3,0,0,0,0,0,0,0,0,1
10089,2,Residential,3350035,90000,32000,0,0,0,0,0,0,14
10089,NA,NA,0,0,0,0,0,0,0,0,0,1
10090,1,Vacant,3,0,0,0,0,0,0,0,0,1
10090,2,Residential,3586127,220000,120000,20208,0,0,0,0,0,28
10090,NA,NA,0,0,0,0,0,0,0,0,0,2
10092,1,Vacant,144393,0,0,0,0,0,0,0,0,2
10092,5A,Commercial,5104590,0,0,0,0,0,0,0,0,1
10094,1,Vacant,659983,0,0,0,0,0,0,0,0,18
10094,2,Residential,1400870,0,0,0,0,0,0,0,0,6
10094,5A,Commercial,4925819,0,0,0,0,0,0,0,0,2
10095,1,Vacant,15518,0,0,0,0,0,0,0,0,1
10095,2,Residential,5658620,200000,16000,0,0,0,0,0,0,30
10099,1,Vacant,34819,0,0,0,0,0,0,0,0,1
10099,2,Residential,19034,0,0,0,0,0,0,0,0,2
10100,1,Vacant,414,0,0,0,0,0,0,0,0,1
10100,2,Residential,2047652,75134,16000,0,0,0,0,0,0,58
10100,3,Multi-Family,701514,0,0,0,0,0,0,0,0,8
10100,5A,Commercial,22080102,0,0,0,0,0,0,0,0,66
10100,NA,NA,0,0,0,0,0,0,0,0,0,7
10101,1,Vacant,33501,0,0,0,0,0,0,0,0,2
10101,2,Residential,1048474,50000,16000,0,0,0,0,0,0,11
10101,5A,Commercial,4846878,0,0,0,0,0,0,0,0,19
10101,NA,NA,0,0,0,0,0,0,0,0,0,16
10104,1,Vacant,3,0,0,0,0,0,0,0,0,1
10104,2,Residential,14389633,770000,328000,18242,0,2000,0,0,0,103
10106,5A,Commercial,4544112,0,0,0,0,0,0,0,0,1
10107,1,Vacant,42302,0,0,0,0,0,0,0,0,3
10107,2,Residential,37312228,1770000,464000,6532,0,2000,0,0,0,208
10107,NA,NA,0,0,0,0,0,0,0,0,0,1
10108,1,Vacant,3,0,0,0,0,0,0,0,0,1
10109,NA,NA,0,0,0,0,0,0,0,0,0,7
10110,1,Vacant,9216851,0,0,0,0,0,0,0,0,33
10110,4,Not For Profit,1753898,0,0,0,0,0,0,0,0,1
10110,5A,Commercial,138094734,0,0,0,0,0,0,0,0,44
10110,5B,Industrial,14965021,0,0,0,0,0,0,0,0,4
