agency_name,agency_num,agency_tax_rate,agency_major_type,agency_minor_type,final_tax_to_dist,final_tax_to_tif,tax_amt_exe,tax_amt_pre_exe,tax_amt_post_exe
ACORN PUBLIC LIBRARY DISTRICT,060010000,0.002359999062526839,MISCELLANEOUS,LIBRARY,1195908.19,25807.3,285081.7814356674,1506741.46,1221715.49
ADDISON CREEK RIVER CONSERVANCY DISTRICT,130040000,4.099979112295367e-4,MISCELLANEOUS,MISC,131734.63,0,11561.338399743428,143289.12,131734.63
ALSIP MERRIONETTE PARK PUBLIC LIBRARY DISTRICT,060020000,0.004279998592658743,MISCELLANEOUS,LIBRARY,2933423.21,13681.94,325291.7357981704,3272397.1,2947105.15
ALSIP PARK DISTRICT,050010000,0.0051699992662159085,MISCELLANEOUS,PARK,3295719.3,16527.04,348734.79366365954,3660980.95,3312246.34
ARLINGTON HEIGHTS PARK DISTRICT,050020000,0.00520999970128439,MISCELLANEOUS,PARK,15674662.37,178044.77,1648983.666665434,17501690.44,15852707.14
ARLINGTON HEIGHTS TOWNSHIP HIGH SCHOOL 214,042150000,0.026639999917405444,SCHOOL,SECONDARY,249369051.91,15803292.05,26914833.421273362,292085971.95,265172343.96
BARRINGTON COUNTRYSIDE FIRE PROTECTION DISTRICT,070010000,0.006449999437206867,MISCELLANEOUS,FIRE,4372436.51,0,198667.6839652995,4571104.14,4372436.51
BARRINGTON HILLS PARK DISTRICT,050030000,6.799993803000624e-4,MISCELLANEOUS,PARK,128290.52,0,5077.374492865406,133367.9,128290.52
BARRINGTON PARK DISTRICT,050040000,0.008579997795476841,MISCELLANEOUS,PARK,3058358.63,128689.76,175428.5225258345,3362476.94,3187048.39
BARRINGTON PUBLIC LIBRARY DISTRICT,060030000,0.0026899998937240637,MISCELLANEOUS,LIBRARY,3926661.77,51325.11,178213.36720918468,4156200.22,3977986.88
BARTLETT FIRE PROTECTION DISTRICT,070020000,0.009199999722136257,MISCELLANEOUS,FIRE,3530225.42,39531.3,476079.12002118153,4045596.23,3569756.72
BARTLETT PARK DISTRICT,050050000,0.007969998634534268,MISCELLANEOUS,PARK,3078894.15,34246.13,412429.3533802452,3525362.06,3113140.28
BARTLETT PUBLIC LIBRARY DISTRICT,060040000,0.003139998049107019,MISCELLANEOUS,LIBRARY,872601.54,13492.199999999999,119276.11347328752,1005288.16,886093.74
BEDFORD PARK PARK DISTRICT,050060000,0.0034299980267771773,MISCELLANEOUS,PARK,1650917.5,324101.53,21896.116133515763,1996915.15,1975019.03
BEDFORD PARK PUBLIC LIBRARY DISTRICT,060050000,0.0032999983032137173,MISCELLANEOUS,LIBRARY,1522844.56,274619.5,10857.591717266012,1808321.66,1797464.06
BENSENVILLE FIRE PROTECTION DISTRICT 2,070025000,0.011239975020871635,MISCELLANEOUS,FIRE,284222,0,0,284222,284222
BENSENVILLE PARK DISTRICT,050070000,0.00298999904248505,MISCELLANEOUS,PARK,160679.33,0,0,160679.33,160679.33
BERKELEY PARK DISTRICT,050080000,0.0025699997455398372,MISCELLANEOUS,PARK,216178.53,13051.61,47476.57418926148,276706.71,229230.14
