"","clean_name","incent_prop","Alea_cat","cur_munilevel_rate","av","eav","final_tax_to_dist","final_tax_to_tif","current_taxable_eav","pins_in_muni","all_exemptions","abatements","new_av","new_TEAV_noIncents","new_TEAV_noExemps","forgone_EAV_incent","forgone_TIF_EAV","munilevy","muni_exemptions","muni_abatements","muni_forgoneTIF","muni_forgone_EAV_incent","muni_current_TEAV","muni_TEAV_noExe","muni_TEAV_noInc","muni_TEAV_max","muni_TEAV_neither","muni_rate_noExe","muni_rate_noInc","muni_rate_neither","muni_rate_noTIFs","muni_rate_lowest","change_noExe","change_noInc","change_neither","change_max"
"1","Alsip","Incentive","Industrial",12.9236317793828,18869551,56659602,7387650.1,0,56546057.8401962,3,0,0,47173877.5,141365144.600491,56546057.8401962,84819086.7602944,0,82505440.33,65009586,5181682,31754.7642184215,84819086.7602944,639093208.216122,704102794.216122,723912294.976416,794135317.740634,788921880.976416,11.717811803581,11.3971596977349,10.4579987346639,12.9091249925937,10.3893427841408,1.20581997580184,1.52647208164788,2.46563304471892,2.53428899524202
"2","Alsip","Non-Incentive","Commercial",12.9236317793828,44074699,132343103,16107844.81,290281.8,125171454.497274,14,0,4715738,44074699,125171454.497274,125171454.497274,0,22461.31775923,82505440.33,65009586,5181682,31754.7642184215,84819086.7602944,639093208.216122,704102794.216122,723912294.976416,794135317.740634,788921880.976416,11.717811803581,11.3971596977349,10.4579987346639,12.9091249925937,10.3893427841408,1.20581997580184,1.52647208164788,2.46563304471892,2.53428899524202
"3","Alsip","Non-Incentive","Industrial",12.9236317793828,74649894,224151242,28838341.35,94497.97,223197674.16704,7,0,452834,74649894,223197674.16704,223197674.16704,0,7312.02897244052,82505440.33,65009586,5181682,31754.7642184215,84819086.7602944,639093208.216122,704102794.216122,723912294.976416,794135317.740634,788921880.976416,11.717811803581,11.3971596977349,10.4579987346639,12.9091249925937,10.3893427841408,1.20581997580184,1.52647208164788,2.46563304471892,2.53428899524202
"4","Alsip","Non-Incentive","Land",12.9236317793828,1974279,5928170,761150.72,0,5869502.11540629,2,0,0,1974279,5869502.11540629,5869502.11540629,0,0,82505440.33,65009586,5181682,31754.7642184215,84819086.7602944,639093208.216122,704102794.216122,723912294.976416,794135317.740634,788921880.976416,11.717811803581,11.3971596977349,10.4579987346639,12.9091249925937,10.3893427841408,1.20581997580184,1.52647208164788,2.46563304471892,2.53428899524202
"5","Alsip","Non-Incentive","Non-Incentive",12.9236317793828,97775081,293585583,29410453.35,25607.11,228308519.596204,27,65009586,13110,97775081,228308519.596204,293318105.596204,0,1981.417486751,82505440.33,65009586,5181682,31754.7642184215,84819086.7602944,639093208.216122,704102794.216122,723912294.976416,794135317.740634,788921880.976416,11.717811803581,11.3971596977349,10.4579987346639,12.9091249925937,10.3893427841408,1.20581997580184,1.52647208164788,2.46563304471892,2.53428899524202
"6","Arlington Heights","Incentive","Commercial",10.1791638299958,574594,1725333,187975.04,0,1725333.08857274,1,0,0,1436485,4313332.72143185,1725333.08857274,2587999.63285911,0,319606289.91,333647442,0,328265.010349224,44318045.0921874,3142152811.73033,3475800253.73033,3186470856.82251,3520446563.83286,3520118298.82251,9.19518575807081,10.0301024007703,9.07941900750633,10.1705080191442,9.078572394578,0.983978071924943,0.14906142922548,1.09974482248942,1.10059143541775
"7","Arlington Heights","Incentive","Industrial",10.1791638299958,9686967,29087058,2985805.95,0,27820030.3062189,3,0,0,24217417.5,69550075.7655472,27820030.3062189,41730045.4593283,0,319606289.91,333647442,0,328265.010349224,44318045.0921874,3142152811.73033,3475800253.73033,3186470856.82251,3520446563.83286,3520118298.82251,9.19518575807081,10.0301024007703,9.07941900750633,10.1705080191442,9.078572394578,0.983978071924943,0.14906142922548,1.09974482248942,1.10059143541775
"8","Arlington Heights","Non-Incentive","Commercial",10.1791638299958,254988682,765654519,75745109.48,2765083.51,748944215.745238,19,987620,0,254988682,748944215.745238,749931835.745238,0,271641.517533288,319606289.91,333647442,0,328265.010349224,44318045.0921874,3142152811.73033,3475800253.73033,3186470856.82251,3520446563.83286,3520118298.82251,9.19518575807081,10.0301024007703,9.07941900750633,10.1705080191442,9.078572394578,0.983978071924943,0.14906142922548,1.09974482248942,1.10059143541775
"9","Arlington Heights","Non-Incentive","Industrial",10.1791638299958,44060144,132299393,13883334.4,67834.23,132156100.188352,5,0,0,44060144,132156100.188352,132156100.188352,0,6664.02772692463,319606289.91,333647442,0,328265.010349224,44318045.0921874,3142152811.73033,3475800253.73033,3186470856.82251,3520446563.83286,3520118298.82251,9.19518575807081,10.0301024007703,9.07941900750633,10.1705080191442,9.078572394578,0.983978071924943,0.14906142922548,1.09974482248942,1.10059143541775
"10","Arlington Heights","Non-Incentive","Land",10.1791638299958,3505273,10525288,1061244.77,19044.29,10445897.4992141,2,0,0,3505273,10445897.4992141,10445897.4992141,0,1870.90907642931,319606289.91,333647442,0,328265.010349224,44318045.0921874,3142152811.73033,3475800253.73033,3186470856.82251,3520446563.83286,3520118298.82251,9.19518575807081,10.0301024007703,9.07941900750633,10.1705080191442,9.078572394578,0.983978071924943,0.14906142922548,1.09974482248942,1.10059143541775
"11","Arlington Heights","Non-Incentive","Non-Incentive",10.1791638299958,851290519,2556169901,225742820.27,489501.29,2221061234.90273,32,332659822,0,851290519,2221061234.90273,2553721056.90273,0,48088.5560125821,319606289.91,333647442,0,328265.010349224,44318045.0921874,3142152811.73033,3475800253.73033,3186470856.82251,3520446563.83286,3520118298.82251,9.19518575807081,10.0301024007703,9.07941900750633,10.1705080191442,9.078572394578,0.983978071924943,0.14906142922548,1.09974482248942,1.10059143541775
"12","Barrington","Non-Incentive","Commercial",8.22896088193457,38417222,115355388,8388621.06,1100630.33,102045252.801427,13,0,0,38417222,102045252.801427,102045252.801427,0,133750.827813056,28298165.78,19682273,0,151112.629874073,0,343762935.362284,363445208.362284,343762935.362284,363596320.992158,363445208.362284,7.78608855720343,8.23188391447064,7.78608855720343,8.22826690134078,7.78285261599506,0.442872324731131,-0.00292303253607962,0.442872324731131,0.446108265939504
"13","Barrington","Non-Incentive","Industrial",8.22896088193457,3366027,10107170,830101.81,0,10107169.2438817,2,0,0,3366027,10107169.2438817,10107169.2438817,0,0,28298165.78,19682273,0,151112.629874073,0,343762935.362284,363445208.362284,343762935.362284,363596320.992158,363445208.362284,7.78608855720343,8.23188391447064,7.78608855720343,8.22826690134078,7.78285261599506,0.442872324731131,-0.00292303253607962,0.442872324731131,0.446108265939504
"14","Barrington","Non-Incentive","Land",8.22896088193457,437093,1312466,106832.47,1296.66,1301269.04576407,1,0,0,437093,1301269.04576407,1301269.04576407,0,157.572750509316,28298165.78,19682273,0,151112.629874073,0,343762935.362284,363445208.362284,343762935.362284,363596320.992158,363445208.362284,7.78608855720343,8.23188391447064,7.78608855720343,8.22826690134078,7.78285261599506,0.442872324731131,-0.00292303253607962,0.442872324731131,0.446108265939504
"15","Barrington","Non-Incentive","Non-Incentive",8.22896088193457,83831856,251721911,18972610.44,141572.93,230309244.271212,23,19682273,0,83831856,230309244.271212,249991517.271212,0,17204.2293105077,28298165.78,19682273,0,151112.629874073,0,343762935.362284,363445208.362284,343762935.362284,363596320.992158,363445208.362284,7.78608855720343,8.23188391447064,7.78608855720343,8.22826690134078,7.78285261599506,0.442872324731131,-0.00292303253607962,0.442872324731131,0.446108265939504
"16","Barrington Hills","Non-Incentive","Commercial",9.01527506596306,16572,49761,4652.15,0,49760.9369986095,1,0,0,16572,49760.9369986095,49760.9369986095,0,0,18247263.55,7374912,0,0,0,202614003.197583,209988915.197583,202614003.197583,209988915.197583,209988915.197583,8.6896317992932,9.00592420169786,8.6896317992932,9.00592420169786,8.6896317992932,0.325643266669866,0.00935086426520648,0.325643266669866,0.325643266669866
"17","Barrington Hills","Non-Incentive","Land",9.01527506596306,2260205,6786724,607667.98,0,6763724.5818761,2,0,0,2260205,6763724.5818761,6763724.5818761,0,0,18247263.55,7374912,0,0,0,202614003.197583,209988915.197583,202614003.197583,209988915.197583,209988915.197583,8.6896317992932,9.00592420169786,8.6896317992932,9.00592420169786,8.6896317992932,0.325643266669866,0.00935086426520648,0.325643266669866,0.325643266669866
"18","Barrington Hills","Non-Incentive","Non-Incentive",9.01527506596306,67840811,203433504,17634943.42,0,195800517.678708,16,7374912,0,67840811,195800517.678708,203175429.678708,0,0,18247263.55,7374912,0,0,0,202614003.197583,209988915.197583,202614003.197583,209988915.197583,209988915.197583,8.6896317992932,9.00592420169786,8.6896317992932,9.00592420169786,8.6896317992932,0.325643266669866,0.00935086426520648,0.325643266669866,0.325643266669866
"19","Bartlett","Incentive","Industrial",12.4603997323967,2464012,7398689,426576.34,486430.72,3486746.17355725,2,0,0,6160030,8716865.43389313,3486746.17355725,5230119.26033588,39038.1312354926,48906288.83,51777032,0,42674.3035070932,5230119.26033588,385805439.944232,437582471.944232,391035559.204568,442855265.508075,442812591.204568,11.1764734571528,12.50686483078,11.0444666211866,12.6750104572493,11.0434023571767,1.28392627524397,-0.0464650983832708,1.41593311121012,1.41699737522
"20","Bartlett","Non-Incentive","Commercial",12.4603997323967,11252179,33786926,4179603.78,0,33786924.2963213,12,0,0,11252179,33786924.2963213,33786924.2963213,0,0,48906288.83,51777032,0,42674.3035070932,5230119.26033588,385805439.944232,437582471.944232,391035559.204568,442855265.508075,442812591.204568,11.1764734571528,12.50686483078,11.0444666211866,12.6750104572493,11.0434023571767,1.28392627524397,-0.0464650983832708,1.41593311121012,1.41699737522
"21","Bartlett","Non-Incentive","Industrial",12.4603997323967,5709972,17145332,3079178.02,0,17922328.1864674,2,0,0,5709972,17922328.1864674,17922328.1864674,0,0,48906288.83,51777032,0,42674.3035070932,5230119.26033588,385805439.944232,437582471.944232,391035559.204568,442855265.508075,442812591.204568,11.1764734571528,12.50686483078,11.0444666211866,12.6750104572493,11.0434023571767,1.28392627524397,-0.0464650983832708,1.41593311121012,1.41699737522
"22","Bartlett","Non-Incentive","Land",12.4603997323967,1997005,5996404,762097.27,45308.16,6031057.75701273,2,0,0,1997005,6031057.75701273,6031057.75701273,0,3636.17227160056,48906288.83,51777032,0,42674.3035070932,5230119.26033588,385805439.944232,437582471.944232,391035559.204568,442855265.508075,442812591.204568,11.1764734571528,12.50686483078,11.0444666211866,12.6750104572493,11.0434023571767,1.28392627524397,-0.0464650983832708,1.41593311121012,1.41699737522
"23","Bartlett","Non-Incentive","Non-Incentive",12.4603997323967,125341444,376297495,40458833.42,0,324578383.530873,27,51777032,0,125341444,324578383.530873,376355415.530873,0,0,48906288.83,51777032,0,42674.3035070932,5230119.26033588,385805439.944232,437582471.944232,391035559.204568,442855265.508075,442812591.204568,11.1764734571528,12.50686483078,11.0444666211866,12.6750104572493,11.0434023571767,1.28392627524397,-0.0464650983832708,1.41593311121012,1.41699737522
"24","Bedford Park","Incentive","Commercial",12.9865917573872,318412,956096,85711.31,18818.67,783968.810024696,1,0,0,796030,1959922.02506174,783968.810024696,1175953.21503704,1449.0845905967,61689669.73,2424118,866063,744908.290082899,230966192.553729,483985182.873107,486409300.873107,714951375.426836,718986464.716919,717375493.426836,12.6826665565948,8.62851263041076,8.59935560877807,12.7266020522814,8.58008777039893,0.303925200792467,4.35807912697649,4.38723614860918,4.40650398698832
