"","clean_name","agency_num"
"1","Barrington Hills","030040000"
"2","Bartlett","030050000"
"3","Bensenville","030080000"
"4","Buffalo Grove","030150000"
"5","Burr Ridge","030180000"
"6","Deerfield","030280000"
"7","Deerfield","030280001"
"8","East Dundee","030320000"
"9","Frankfort","030440000"
"10","Hanover Park","030500000"
"11","Hinsdale","030560000"
"12","Hinsdale","030560001"
"13","Hoffman Estates","030580002"
"14","Mt Prospect","030820002"
"15","Oak Brook","030890000"
"16","Roselle","031120000"
"17","Steger","031210000"
"18","University Park","031280000"
"19","Homer Glen","030585000"
"20","Elgin","030340000"
