Column1,agency_name,major_class_type,burden_change,taxrate_change,tax_rate_current,taxrate_new,PropType,ResidentialProps,current_burden,agency_num,major_class_code,final_tax_to_dist,MuniLevy,final_tax_to_dist_noexemps,burden_noexemps
70,CITY OF BERWYN,Residential,-0.10488,0.023978121,0.139328723,0.115350603,Single-Family,Residential,0.788768711,30100000,2,87681479.67,111162471.9,99339733.01,0.893644513
135,CITY OF BERWYN,Multi-Family Incentive,0,0.023978121,0.139328723,0.115350603,Multi-Family,Residential,0.000652366,30100000,9,72518.57,111162471.9,72483.93,0.000652054
136,CITY OF BERWYN,NA,0,0.023978121,0.139328723,0.115350603,Commercial-Industrial,Commercial,0,30100000,NA,0,111162471.9,0,0
395,CITY OF BERWYN,Not For Profit,0.00002,0.023978121,0.139328723,0.115350603,Commercial-Industrial,Commercial,0.000172279,30100000,4,19150.99,111162471.9,17095.11,0.000153785
479,CITY OF BERWYN,Vacant,0.00006,0.023978121,0.139328723,0.115350603,Commercial-Industrial,Commercial,0.000619947,30100000,1,68914.84,111162471.9,62491.85,0.000562167
500,CITY OF BERWYN,Commercial Incentive,0.00007,0.023978121,0.139328723,0.115350603,Commercial-Industrial,Commercial,0.000608415,30100000,7A,67632.86,111162471.9,59638.58,0.000536499
560,CITY OF BERWYN,Industrial,0.00014,0.023978121,0.139328723,0.115350603,Commercial-Industrial,Commercial,0.005254334,30100000,5B,584084.75,111162471.9,568424.7,0.005113459
888,CITY OF BERWYN,Multi-Family,0.00316,0.023978121,0.139328723,0.115350603,Multi-Family,Residential,0.042897197,30100000,3,4768558.44,111162471.9,4417231,0.039736711
982,CITY OF BERWYN,Commercial,0.00977,0.023978121,0.139328723,0.115350603,Commercial-Industrial,Commercial,0.161026751,30100000,5A,17900131.73,111162471.9,16813609.03,0.151252565
21,CITY OF BLUE ISLAND,Residential,-0.18206,0.027243721,0.153841237,0.126597516,Single-Family,Residential,0.595447936,30110000,2,22328698.93,37498994.62,29155782.02,0.777508366
137,CITY OF BLUE ISLAND,NA,0,0.027243721,0.153841237,0.126597516,Commercial-Industrial,Commercial,0,30110000,NA,0,37498994.62,0,0
356,CITY OF BLUE ISLAND,Not For Profit,0.00001,0.027243721,0.153841237,0.126597516,Commercial-Industrial,Commercial,0.000111749,30110000,4,4190.46,37498994.62,3990.23,0.000106409
431,CITY OF BLUE ISLAND,Multi-Family Incentive,0.00003,0.027243721,0.153841237,0.126597516,Multi-Family,Residential,0.000844098,30110000,9,31652.83,37498994.62,30704.84,0.000818818
553,CITY OF BLUE ISLAND,Commercial/Industrial Incentive,0.00013,0.027243721,0.153841237,0.126597516,Commercial-Industrial,Commercial,0.011195421,30110000,8,419817.03,37498994.62,415021.75,0.011067543
