tax_code,final_tax_to_dist,final_tax_to_tif,tax_amt_exe,tax_amt_pre_exe,tax_amt_post_exe,agency_tax_rate,rpm_tif_to_cps,rpm_tif_to_rpm,rpm_tif_to_dist,tif_share,weighted_tax_rate
10002,1146775.32,0,57936.12264585333,1204711.44,1146775.32,0.006677856645598236,0,0,0,0,843.6354967454803
10003,27584.84,0,802.899956471858,28387.739999999998,27584.84,0.006176153511321984,0,0,0,0,136.47948226440982
10004,0,0,0,0,0,0.007162307044998577,0,0,0,0,0
10005,23408.09,0,906.0999240740465,24314.190000000002,23408.09,0.0069699994159542035,0,0,0,0,1870.322673277735
10012,1428148.02,0,93195.21031234747,1521343.22,1428148.02,0.006178461182608134,0,0,0,0,936.2112006258608
10021,20180082.22,0,1102757.2992074878,21282839.44,20180082.22,0.006317691875654347,0,0,0,0,872.6767073414898
10030,38050.85,0,4258.679831144575,42309.53,38050.85,0.007714999694102489,0,0,0,0,881.4483588008271
10035,14241277.91,0,482518.01396127034,14723795.89,14241277.91,0.006368570959245338,0,0,0,0,1020.0773537330679
10038,957362.13,0,0,957362.13,957362.13,0.005665329566948488,0,0,0,0,3359.165626923314
10039,1378163.38,0,74925.16952447232,1453088.55,1378163.38,0.006932856560329394,0,0,0,0,952.2205976837388
10040,0,0,0,0,0,0.006829230152003149,0,0,0,0,0
10041,24448737.66,0,1116041.8717516235,25564779.49,24448737.66,0.005917856759492103,0,0,0,0,1157.1962968715548
10043,536040.65,0,28243.092474565972,564283.74,536040.65,0.006227142445845,0,0,0,0,1033.4868976730697
10044,1699.6599999999999,0,0,1699.6599999999999,1699.6599999999999,0.005876922707360198,0,0,0,0,130.74389947064233
10048,3604261.01,0,0,3604261.01,3604261.01,0.007497691994028416,0,0,0,0,17328.177918013113
10053,31688.75,0,0,31688.75,31688.75,0.005998571052636082,0,0,0,0,754.4942684295138
10055,450589.54,0,25170.23834809793,475759.77999999997,450589.54,0.00616615344147426,0,0,0,0,1045.6259983654354
10057,1400577.37,0,46313.87960508501,1446891.24,1400577.37,0.006806153388394975,0,0,0,0,1545.8240503920738
10059,10590149.62,0,825770.513578854,11415920.209999999,10590149.62,0.0067364284189508974,0,0,0,0,1030.8759134750767
10062,11082.68,0,0,11082.68,11082.68,0.00780428562245434,0,0,0,0,395.8099539140168
10064,849641.4,0,43693.15701202546,893334.5599999999,849641.4,0.005866428170250465,0,0,0,0,1081.5188879406119
10065,2912.44,0,0,2912.44,2912.44,0.007509166367848249,0,0,0,0,48.54075323504465
10069,2458283.54,0,104839.4410016887,2563122.97,2458283.54,0.005737142526707553,0,0,0,0,1123.1916475612904
10074,851701.97,0,153644.35847296726,1005346.36,851701.97,0.005866428170250465,0,0,0,0,574.4836825479825
10075,1222427.99,0,0,1222427.99,1222427.99,0.007047692151660654,0,0,0,0,18806.584676248942
10076,133928.72,0,1323.899938584534,135252.62,133928.72,0.0061291663823358055,0,0,0,0,1024.641161179213
10077,22535.81,0,0,22535.81,22535.81,0.005919999597114956,0,0,0,0,804.8505852259653
10083,57060.92,0,3526.779759006859,60587.700000000004,57060.92,0.007139230281390403,0,0,0,0,776.7649128192658
10085,517217.73,0,37504.377679905425,554722.1,517217.73,0.005737142526707553,0,0,0,0,808.6329106273081
10086,339192.48,0,22219.19911901517,361411.68,339192.48,0.0071215381791715285,0,0,0,0,958.6516189128171
10088,360917.92,0,16523.998929857986,377441.92,360917.92,0.0057857139110147,0,0,0,0,1123.3392665350107
10089,259276.03,0,9799.0394356165,269075.07,259276.03,0.005737142526707553,0,0,0,0,1201.227842242895
10090,261299.84,0,29176.846110422965,290476.68,261299.84,0.005399999650280387,0,0,0,0,624.6806692212905
10092,461070.64,0,0,461070.64,461070.64,0.006756922926024354,0,0,0,0,11822.324523670697
10094,634417.36,0,0,634417.36,634417.36,0.006066666282637985,0,0,0,0,1626.7112303601782
10095,438038.9,0,17349.11900076364,455388.02,438038.9,0.005737142526707553,0,0,0,0,1049.281172376873
10099,3850.7599999999998,0,0,3850.7599999999998,3850.7599999999998,0.007196922698544391,0,0,0,0,98.73698147556335
10100,1088374.88,968139.42,7575.965478603794,2064090.28,2056514.3,0.005937854053688441,0,0,0,0.47076720105,1053.107342253535
10101,257432.72,224083.38,5420.57962931143,486936.68,481516.1,0.006317691875654347,0,0,0,0.46537018751799997,780.3472172926854
10104,1065958.35,0,89817.1922669071,1155775.54,1065958.35,0.005737142526707553,0,0,0,0,793.8018523023266
10106,413514.16,0,0,413514.16,413514.16,0.005687499639973111,0,0,0,0,25844.635363997495
10107,2820196.11,0,180120.1598658356,3000316.2800000003,2820196.11,0.006178461182608134,0,0,0,0,1088.6486490545803
10108,0.24,0,0,0.24,0.24,0.005919999597114956,0,0,0,0,0.01775999879134487
10109,0,0,0,0,0,0.005777999642041948,0,0,0,0,0
10110,15407384.73,0,0,15407384.73,15407384.73,0.007225384339378366,0,0,0,0,13316.667806538657
10112,0,0,0,0,0,0.006007856831780398,0,0,0,0,0
10113,36286.87,0,803.1999537390575,37090.07,36286.87,0.006178461182608134,0,0,0,0,713.2709066109004
10114,488416.43,0,14084.499087591204,502500.93,488416.43,0.005917856759492103,0,0,0,0,1087.6645926351716
10115,916.48,0,0,916.48,916.48,0.007288333048743567,0,0,0,0,76.37444201778384
10116,1135.5,0,0,1135.5,1135.5,0.006709999752462207,0,0,0,0,40.551883504005346
10118,20.740000000000002,0,0,20.740000000000002,20.740000000000002,0.007603636053380275,0,0,0,0,1.8857017412383081
10119,0.56,0,0,0.56,0.56,0.006923570827337234,0,0,0,0,0.0207707124820117
10120,23198.84,51277.119999999995,0,74475.96,74475.96,0.005866428170250465,0,0,0,0.68850558995,2659.8561316760715
10123,0,0,0,0,0,0.006041332852411731,0,0,0,0,0
